"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6041632698327.250000,20.962463
"user_annotation","layer_0/forward/mlp",6041632719372.028320,1.380321
"user_annotation","layer_1/forward/attention",6041632721068.137695,4.148142
"user_annotation","layer_1/forward/mlp",6041632725291.034180,40.385090
"user_annotation","layer_2/forward/attention",6041632765961.011719,26.315937
"user_annotation","layer_2/forward/mlp",6041632792351.669922,30.237871
"user_annotation","layer_2/recompute/attention",6041632920001.150391,26.890571
"user_annotation","layer_2/recompute/mlp",6041632946995.265625,12.384053
"user_annotation","python_gc/generation_0",6041632947424.399414,0.841609
"user_annotation","layer_1/recompute/attention",6041632970752.646484,4.752783
"user_annotation","layer_1/recompute/mlp",6041632975596.261719,67.082772
"user_annotation","layer_0/recompute/attention",6041633051862.316406,73.107372
"user_annotation","layer_0/recompute/mlp",6041633125060.676758,1.232762
