"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6041632699020.404297,20.427169
"user_annotation","layer_0/forward/mlp",6041632719539.483398,1.405228
"user_annotation","layer_1/forward/attention",6041632721247.207031,4.195138
"user_annotation","layer_1/forward/mlp",6041632725529.414062,40.189908
"user_annotation","layer_2/forward/attention",6041632766006.378906,26.605561
"user_annotation","layer_2/forward/mlp",6041632792684.648438,33.866313
"user_annotation","layer_2/recompute/attention",6041632920156.637695,26.916646
"user_annotation","layer_2/recompute/mlp",6041632947174.332031,12.219910
"user_annotation","python_gc/generation_0",6041632947607.894531,1.048713
"user_annotation","layer_1/recompute/attention",6041632971051.295898,4.839870
"user_annotation","layer_1/recompute/mlp",6041632975984.352539,66.688720
"user_annotation","layer_0/recompute/attention",6041633052053.389648,72.942773
"user_annotation","layer_0/recompute/mlp",6041633125085.322266,1.223949
