"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6041632690040.263672,29.660359
"user_annotation","layer_0/forward/mlp",6041632719788.782227,1.798635
"user_annotation","layer_1/forward/attention",6041632721899.329102,4.331713
"user_annotation","layer_1/forward/mlp",6041632726308.126953,39.741787
"user_annotation","layer_2/forward/attention",6041632766354.649414,25.938212
"user_annotation","layer_2/forward/mlp",6041632792368.897461,29.866901
"user_annotation","layer_2/recompute/attention",6041632919003.485352,27.976060
"user_annotation","layer_2/recompute/mlp",6041632947106.947266,12.379227
"user_annotation","python_gc/generation_0",6041632947568.159180,0.977041
"user_annotation","layer_1/recompute/attention",6041632971447.147461,5.171482
"user_annotation","layer_1/recompute/mlp",6041632976712.066406,65.913145
"user_annotation","layer_0/recompute/attention",6041633052259.896484,72.740422
"user_annotation","layer_0/recompute/mlp",6041633125091.952148,1.230338
