waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
0,28671092213,33.047,4,0.0,1.028,laggard_gpu_busy,gemm=17.6ms;cat_copy=10.6ms;moe_permute=3.3ms,
0,28837835671,17.561,6,0.0,1.017,laggard_gpu_busy,gemm=6.9ms;cat_copy=6.1ms;moe_permute=3.0ms,
0,28919506442,14.114,7,0.0,1.018,laggard_gpu_busy,gemm=6.1ms;cat_copy=3.6ms;moe_permute=2.9ms,
0,29005634818,8.067,3,0.0,1.034,laggard_gpu_busy,gemm=5.4ms;moe_permute=2.9ms;hybridep_meta=0.0ms,
0,29079464083,13.371,2,0.0,1.023,laggard_gpu_busy,gemm=6.1ms;cat_copy=3.0ms;moe_permute=2.9ms,
0,29222315020,25.479,1,0.0,0.808,laggard_gpu_busy,cat_copy=8.4ms;gemm=7.2ms;moe_permute=3.0ms,
0,29306022919,25.869,2,0.0,0.83,laggard_gpu_busy,cat_copy=8.4ms;gemm=8.0ms;moe_permute=3.0ms,
0,29478971885,10.18,4,0.0,1.033,laggard_gpu_busy,gemm=6.8ms;moe_permute=3.1ms;elementwise=0.6ms,
0,29624245698,16.305,1,0.0,1.018,laggard_gpu_busy,gemm=6.6ms;cat_copy=5.5ms;moe_permute=2.7ms,
0,29702962610,12.056,1,0.0,1.022,laggard_gpu_busy,gemm=5.4ms;cat_copy=2.9ms;moe_permute=2.4ms,
0,29855966954,23.223,1,0.0,1.018,laggard_gpu_busy,cat_copy=9.6ms;gemm=8.7ms;moe_permute=3.2ms,
0,30011302999,17.744,6,0.0,1.015,laggard_gpu_busy,cat_copy=7.0ms;gemm=6.4ms;moe_permute=2.8ms,
0,30096016858,10.534,4,0.0,1.033,laggard_gpu_busy,gemm=6.0ms;moe_permute=2.6ms;cat_copy=1.3ms,
0,30248759088,15.202,3,0.0,1.02,laggard_gpu_busy,gemm=6.5ms;cat_copy=4.4ms;moe_permute=2.7ms,
0,30394464297,17.452,6,0.0,1.019,laggard_gpu_busy,cat_copy=6.9ms;gemm=6.4ms;moe_permute=2.8ms,
