gpu,start_ns,end_ns,duration_s
0,23172790674,50838628557,27.665837883
1,23172790674,50838628557,27.665837883
2,23172790674,50838628557,27.665837883
3,23172790674,50838628557,27.665837883
4,23172790674,50838628557,27.665837883
5,23172790674,50838628557,27.665837883
6,23172790674,50838628557,27.665837883
7,23172790674,50838628557,27.665837883
