layers,offloaded_layers,baseline_peak_allocated_bytes,offload_peak_allocated_bytes,allocation_saved_bytes,allocation_saved_gib,linear_prediction_bytes,prediction_error_bytes,saved_per_offloaded_layer_bytes,baseline_peak_reserved_bytes,offload_peak_reserved_bytes,reserved_saved_bytes,baseline_aggregate_tps_per_gpu,offload_aggregate_tps_per_gpu,baseline_median_tps_per_gpu,offload_median_tps_per_gpu,median_tps_change_percent,max_loss_delta,max_grad_norm_delta,baseline_main_tps_per_gpu,offload_main_tps_per_gpu
2,1,69959224320,66929560064,3029664256,2.821594715118408,3029664256,0,3029664256,73253519360,72311898112,941621248,12803.069835600469,11899.850537362749,13203.000971669655,12064.84339272002,-8.620446074281418,0.0000019075814889912843,0.000000003958120942115784,"11989.42045999748;13302.899942623986;13203.000971669655","11262.46194570966;12433.477557214193;12064.84339272002"
4,3,116519821312,107430828544,9088992768,8.464784145355225,9088992768,0,3029664256,119734796288,116060585984,3674210304,11553.975711383428,5164.517787592041,11722.046203357108,7212.029102941952,-38.47465725841892,0.0000019075814916568753,0.00000007631024345755577,"11182.772439053038;11722.046203357108;11776.02713373595","7212.029102941952;3224.7114352508015;7568.632782126978"
6,5,163169451520,148021130240,15148321280,14.107973575592041,15148321280,0,3029664256,166367068160,156430761984,9936306176,9921.526225933638,6783.36368048428,10034.394860075452,6888.438034569168,-31.351734403270516,0.0000028613722387051954,0.0000002550659701228142,"9591.959048285833;10034.394860075452;10156.242241804977","6134.420589400621;6888.438034569168;7458.618181953113"
