arm,modules,stock_mcore_recognized,worked_on_glm52_before_changes,peak_allocated_bytes,peak_allocated_gib,peak_reserved_bytes,peak_reserved_gib,incremental_saved_bytes,incremental_saved_gib,cumulative_saved_bytes,cumulative_saved_gib,aggregate_tps_per_gpu,median_tps_per_gpu,main0_tps_per_gpu,main1_tps_per_gpu,main2_tps_per_gpu,main0_loss,main1_loss,main2_loss,main0_grad_norm,main1_grad_norm,main2_grad_norm
00-no-recompute-no-offload,,not_applicable,not_applicable,69959224320,65.1546049118042,73253519360,68.22265625,0,0,0,0,13025.712894106648,13212.598828710394,12518.761813315985,13378.239954927914,13212.598828710394,11.951192619948724,11.950594593151019,11.951530261872787,0.0007247415487654507,0.0007244049338623881,0.0007243238505907357
01-core-attn,core_attn,yes,no,68722952704,64.00323724746704,72144125952,67.189453125,1236271616,1.1513676643371582,1236271616,1.1513676643371582,11087.318354832621,12463.747714377452,8949.901455217729,12720.438619697909,12463.747714377452,11.951192619948724,11.950594593151019,11.951530261872787,0.0007247425965033472,0.0007244039443321526,0.0007243268773891032
02-core-attn-moe-act,core_attn+moe_act,yes,yes,67380513280,62.75299310684204,72332869632,67.365234375,1342439424,1.250244140625,2578711040,2.401611804962158,7492.3766690962375,10959.460631548063,10959.460631548063,12175.458162926794,4404.719897401077,11.951191666157978,11.950594593151019,11.951530261872787,0.0007247470202855766,0.0007244058069773018,0.0007243246654979885
03-core-attn-moe-act-qkv-linear,core_attn+moe_act+qkv_linear,yes,no,67198519808,62.58349847793579,73442263040,68.3984375,181993472,0.16949462890625,2760704512,2.571106433868408,7671.458214557592,8151.850779610399,5316.498285368408,12454.12507045874,8151.850779610399,11.951192619948724,11.950594593151019,11.951530261872787,0.0007247414323501289,0.0007244046428240836,0.0007243292639032006
04-core-attn-moe-act-qkv-linear-attn-proj,core_attn+moe_act+qkv_linear+attn_proj,yes,no,66929560064,62.33301019668579,72374812672,67.404296875,268959744,0.25048828125,3029664256,2.821594715118408,11831.759229033074,11979.895477672286,11179.54546285157,12401.932026036795,11979.895477672286,11.951190712367232,11.950593639360273,11.951530261872787,0.0007247391622513533,0.0007244029548019171,0.0007243241416290402
05-core-attn-moe-act-qkv-linear-attn-proj-moe-router,core_attn+moe_act+qkv_linear+attn_proj+moe_router,no,no,66923039232,62.326937198638916,72525807616,67.544921875,6520832,0.006072998046875,3036185088,2.827667713165283,11797.455109307824,11984.693351595874,11241.329087629456,12210.770637480451,11984.693351595874,11.951191666157978,11.950593639360273,11.951530261872787,0.0007247464964166284,0.0007243985310196877,0.0007243300206027925
06-all,attn_norm+qkv_linear+core_attn+attn_proj+mlp_norm+moe_router+moe_dispatcher+expert_fc1+moe_act+shared_experts,mixed,mixed,66569079296,61.997286319732666,72504836096,67.525390625,353959936,0.32965087890625,3390145024,3.157318592071533,9269.521004773373,9643.793345083528,7559.9772585362525,9643.793345083528,11406.13042022823,11.951192619948724,11.950593639360273,11.951530261872787,0.0007247410248965025,0.0007244010339491069,0.0007243228610605001
