"ts_us","dur_us","name"
6030668742502.775391,25657855.555000,"block_0/forward"
6030694401859.276367,990261.624000,"block_1/forward"
6030695392257.330078,26519591.862000,"block_2/forward"
6030723732679.699219,715808.182000,"block_2/backward_including_recompute"
6030723732920.574219,293563.610000,"block_2/recompute"
6030724448602.802734,1194497.611000,"block_1/backward_including_recompute"
6030724448791.462891,787038.670000,"block_1/recompute"
6030725643212.534180,1065903.167000,"block_0/backward_including_recompute"
6030725643403.506836,7137.070000,"block_0/recompute"
