Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,9437177,248,38053.1,37488.5,26176,65856,5009.6,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_TNT
0.0,9388513,251,37404.4,34848.0,17344,108416,13209.1,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_NNT
0.0,9367528,78,120096.5,112832.5,88832,214177,23780.8,nvjet_sm103_tst_160x192_64x6_2x2f_2cta_h_bz_TNN
0.0,9328258,208,44847.4,44513.0,23552,80768,10497.8,nvjet_sm103_tst_96x128_64x7_4x1_v_bz_TNN
0.0,9072263,274,33110.4,30528.0,15008,109536,12440.3,nvjet_sm103_tst_64x8_64x16_2x2_h_bz_TNT
0.0,9059752,1256,7213.2,7136.0,6624,8832,205.4,"void transformer_engine::normalization::rmsnorm_bwd_finalize_general_kernel<__nv_bfloat16, float, (unsigned int)4, (unsigned int)1, (unsigned int)4, (unsigned int)32>(transformer_engine::normalization::BackwardKernelParams)"
0.0,8937234,171,52264.5,48384.0,26880,102881,12070.2,nvjet_sm103_tst_192x176_64x6_2x2_2cta_h_bz_NNT
0.0,8876311,558,15907.4,15728.0,9472,47777,3083.5,nvjet_sm103_tst_48x64_64x15_4x1_v_bz_TNN
0.0,8774949,124,70765.7,70177.0,47041,117664,9519.9,nvjet_sm103_tst_192x176_64x6_2x1_2cta_v_bz_NNT
0.0,8772292,1200,7310.2,7296.0,7008,8160,118.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at::TensorIterator &, const c10::Scalar &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float, bool) (instance 1)], std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,8752763,234,37405.0,33776.0,17728,111744,13080.0,nvjet_sm103_tst_64x72_64x12_4x1_v_bz_TNT
0.0,8738455,242,36109.3,32416.0,15232,95489,12987.2,nvjet_sm103_tst_64x96_64x15_2x2_2cta_h_bz_TNT
0.0,8692331,76,114372.8,112897.5,91393,144833,8946.4,nvjet_sm103_tst_192x240_64x5_2x1_2cta_v_bz_NNT
0.0,8679041,202,42965.5,40640.5,23104,133410,13300.6,nvjet_sm103_tst_128x96_64x9_2x2_2cta_h_bz_TNT
0.0,8504350,232,36656.7,30976.0,17248,133280,16602.2,nvjet_sm103_tst_128x48_64x11_2x1_2cta_v_bz_NNT
0.0,8151522,8,1018940.3,1011941.5,976330,1081674,33538.3,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.0,8128250,250,32513.0,29376.5,13600,112736,12596.6,nvjet_sm103_tst_64x80_64x16_2x2_2cta_h_bz_TNT
0.0,7991067,3000,2663.7,2560.0,2176,3872,365.0,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,7885328,156,50547.0,51024.5,30945,82816,10771.8,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_TNT
0.0,7610505,168,45300.6,42656.5,19264,131008,15765.4,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_TNT
0.0,7608977,135,56362.8,56896.0,30208,94496,13933.2,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_NNT
0.0,7509125,4458,1684.4,1664.0,1216,2304,141.2,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,7487252,144,51994.8,50688.5,26624,135616,15838.9,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_NNT
0.0,7410445,506,14645.1,14304.0,9537,29408,3265.5,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_TNT
0.0,7386168,154,47962.1,44816.5,21888,128640,16031.1,nvjet_sm103_tst_128x88_64x7_1x4_h_bz_TNT
0.0,7333558,88,83335.9,82976.5,37376,128064,20957.7,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_NNT
0.0,7292091,600,12153.5,12096.0,11616,13856,276.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::sigmoid_backward_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float, float) (instance 1)], std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,7171992,200,35860.0,32433.0,14112,116001,14026.8,nvjet_sm103_tst_64x112_64x14_2x2_2cta_h_bz_TNT
0.0,6885493,124,55528.2,53088.5,31200,137473,16831.5,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_NNT
0.0,6793709,171,39729.3,36449.0,20576,76640,9949.2,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_NNT
0.0,6588722,110,59897.5,59120.5,32320,104864,16125.7,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_NNT
0.0,6268773,94,66689.1,64640.0,36672,137889,18372.0,nvjet_sm103_tst_128x256_64x6_2x2_2cta_h_bz_TNT
0.0,6266959,624,10043.2,10112.0,8608,11040,427.9,nvjet_sm103_tst_64x32_64x16_1x2_h_bz_splitK_NTT
0.0,6252177,151,41405.1,40864.0,23648,90529,9302.2,nvjet_sm103_tst_192x128_64x6_2x2_2cta_h_bz_NNT
0.0,6018192,84,71645.1,67840.5,35809,127297,21150.6,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_NNT
0.0,6003853,136,44146.0,40848.0,22528,126753,15318.2,nvjet_sm103_tst_128x88_64x7_2x1_v_bz_NNT
0.0,5970485,600,9950.8,9888.0,9152,12288,424.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,5960550,302,19736.9,19168.0,11712,29313,3037.0,nvjet_sm103_tst_128x80_64x10_2x1_2cta_v_bz_TNT
0.0,5947600,167,35614.4,32160.0,19072,119585,13043.9,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_NNT
0.0,5863557,3168,1850.9,1824.0,1664,2464,128.1,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(bool, long, long) (instance 1)], std::array<char *, (unsigned long)4>>(int, T2, T3)"
0.0,5843042,280,20868.0,19888.5,12416,43936,4558.9,nvjet_sm103_tst_128x72_64x8_2x1_v_bz_TNT
0.0,5827794,128,45529.6,44080.5,24353,86721,13471.8,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_NNT
0.0,5803818,253,22940.0,21984.0,15488,45952,5172.7,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_NNT
0.0,5787822,178,32515.9,30368.0,16737,97568,11171.0,nvjet_sm103_tst_128x40_64x10_2x2_h_bz_splitK_TNT
0.0,5701475,278,20508.9,19696.0,12512,41345,3995.0,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_TNT
0.0,5620932,3352,1676.9,1760.0,1024,2208,224.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,5613904,242,23198.0,22512.0,12160,47617,4355.4,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_TNT
0.0,5424554,24,226023.1,226001.0,221377,230787,3018.8,nvjet_sm103_tst_32x384_64x4_1x4_2cta_h_bz_splitK_NTN
0.0,5418698,56,96762.5,96321.0,64161,146114,16675.7,nvjet_sm103_tst_256x112_64x5_2x1_2cta_v_bz_NNT
