gpu,gr_active_pct,sm_active_pct,sm_issue_pct,tensor_active_pct,dram_read_pct,dram_write_pct,nvlink_rx_req_user_pct,nvlink_rx_resp_user_pct,nvlink_tx_req_user_pct,nvlink_tx_resp_user_pct
0,69.13,64.11,33.76,4.27,13.23,2.68,0.2,0.15,0.2,0.17
1,96.94,66.24,34.54,5.39,13.4,2.93,0.26,0.15,0.19,0.21
2,97.12,64.91,34.12,4.71,13.29,2.8,0.22,0.15,0.19,0.17
3,97.01,64.64,34.09,4.56,13.32,2.77,0.24,0.16,0.19,0.19
4,96.87,63.34,33.78,3.89,13.02,2.6,0.1,0.19,0.21,0.05
5,96.97,65.05,34.28,4.72,13.45,2.82,0.26,0.16,0.19,0.21
6,97.11,64.75,34.17,4.6,13.42,2.81,0.23,0.16,0.19,0.19
7,97.13,63.23,33.73,3.88,13.1,2.61,0.08,0.19,0.21,0.04
