category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tss_128x256_64x6_2x2_2cta_h_bz_TNT,1200,0.012,80.0,0.085
gemm,nvjet_sm103_tst_32x128_64x10_1x4_2cta_h_bz_NTN,624,0.012,151.4,0.157
gemm,nvjet_sm103_tst_128x160_64x8_2x1_2cta_v_bz_NNT,1389,0.011,59.0,0.215
gemm,nvjet_sm103_tst_256x224_64x4_2x1_2cta_v_bz_NNT,818,0.011,99.8,0.247
gemm,nvjet_sm103_tst_256x224_64x4_2x2_2cta_h_bz_TNT,626,0.009,123.6,0.231
gemm,nvjet_sm103_tst_256x136_64x4_1x2_h_bz_TNT,914,0.008,40.7,0.257
gemm,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_TNT,882,0.007,62.8,0.16
gemm,nvjet_sm103_tst_256x240_64x4_2x2_2cta_h_bz_TNT,458,0.007,131.4,0.21
gemm,splitKreduce_kernel,9014,0.007,3.4,0.085
gemm,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_TNT,872,0.006,53.0,0.158
gemm,nvjet_sm103_tst_128x240_64x6_2x1_2cta_v_bz_TNT,740,0.005,32.4,0.217
gemm,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_TNT,670,0.005,62.3,0.175
gemm,nvjet_sm103_tst_256x136_64x4_1x2_h_bz_NNT,561,0.005,70.0,0.186
gemm,nvjet_sm103_tst_64x32_64x16_2x1_2cta_v_bz_splitK_NTT,1224,0.005,33.2,0.036
gemm,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_TNT,624,0.004,43.9,0.134
gemm,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_NNT,626,0.004,51.8,0.111
gemm,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_NNT,506,0.004,63.0,0.131
gemm,nvjet_sm103_tst_128x240_64x6_2x1_2cta_v_bz_NNT,384,0.004,65.6,0.177
gemm,nvjet_sm103_tst_256x128_64x5_2x4f_2cta_h_bz_NNT,283,0.004,118.2,0.222
gemm,nvjet_sm103_tst_256x136_64x4_2x1_v_bz_TNT,412,0.004,71.0,0.161
gemm,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_NNT,142,0.004,193.6,0.76
gemm,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_NNT,426,0.003,60.7,0.16
gemm,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_TNT,554,0.003,31.7,0.201
gemm,nvjet_sm103_tst_128x232_64x4_2x1_v_bz_TNT,300,0.003,38.7,0.254
gemm,nvjet_sm103_tst_128x256_64x6_4x1f_2cta_v_bz_NNT,160,0.003,118.4,0.269
gemm,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_TNT,654,0.003,36.9,0.121
gemm,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN,736,0.003,27.8,0.115
gemm,nvjet_sm103_tst_192x224_64x5_2x2_2cta_h_bz_TNT,300,0.003,73.4,0.149
gemm,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_NNT,174,0.003,101.8,0.257
gemm,nvjet_sm103_tst_256x120_64x4_1x4f_h_bz_TNT,230,0.003,119.2,0.241
gemm,nvjet_sm103_tst_256x136_64x4_1x4_h_bz_TNT,322,0.003,67.0,0.103
gemm,nvjet_sm103_tst_64x512_64x5_2x2_2cta_h_bz_TNT,336,0.003,74.0,0.078
gemm,nvjet_sm103_tst_96x128_64x9_2x2_2cta_h_bz_NNN,611,0.003,33.3,0.1
gemm,nvjet_sm103_tst_96x64_64x13_2x2_2cta_h_bz_NNN,872,0.003,27.3,0.115
gemm,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_TNT,334,0.002,49.9,0.128
gemm,nvjet_sm103_tst_128x128_64x8_2x1_2cta_v_bz_NNT,433,0.002,39.0,0.136
gemm,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_NNT,313,0.002,41.4,0.123
gemm,nvjet_sm103_tst_128x144_64x8_2x2_2cta_h_bz_TNT,376,0.002,45.6,0.129
gemm,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_TNT,240,0.002,51.9,0.136
gemm,nvjet_sm103_tst_128x208_64x7_2x1_2cta_v_bz_NNT,358,0.002,47.4,0.169
gemm,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_TNT,292,0.002,56.9,0.129
gemm,nvjet_sm103_tst_128x216_64x4_2x1_v_bz_TNT,126,0.002,97.9,0.213
gemm,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_TNT,260,0.002,59.7,0.124
gemm,nvjet_sm103_tst_128x232_64x4_4x1f_v_bz_TNT,148,0.002,121.5,0.232
gemm,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_TNT,276,0.002,61.7,0.144
gemm,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_NNT,465,0.002,30.9,0.099
gemm,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_TNT,476,0.002,37.8,0.127
gemm,nvjet_sm103_tst_192x112_64x6_2x2_2cta_h_bz_TNT,338,0.002,31.3,0.123
gemm,nvjet_sm103_tst_192x256_64x5_2x1_2cta_v_bz_TNT,48,0.002,258.8,0.261
gemm,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_TNT,262,0.002,53.5,0.148
gemm,nvjet_sm103_tst_256x224_64x4_2x2_2cta_h_bz_NNT,195,0.002,84.9,0.224
gemm,nvjet_sm103_tst_256x224_64x4_2x2f_2cta_h_bz_NNT,72,0.002,246.7,0.313
gemm,nvjet_sm103_tst_256x224_64x4_2x2f_2cta_h_bz_TNT,52,0.002,245.9,0.352
gemm,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_TNT,130,0.002,100.6,0.116
gemm,nvjet_sm103_tst_32x256_64x6_1x2_2cta_h_bz_splitK_NNN,64,0.002,199.1,0.203
gemm,nvjet_sm103_tst_32x64_64x16_1x2_2cta_h_bz_splitK_NTN,624,0.002,21.2,0.024
gemm,nvjet_sm103_tst_64x16_64x16_2x2_2cta_h_bz_TNT,472,0.002,30.5,0.112
gemm,nvjet_sm103_tst_64x24_64x16_2x2_h_bz_TNT,398,0.002,30.1,0.114
gemm,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_TNT,386,0.002,28.9,0.118
gemm,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_NNT,430,0.002,25.9,0.105
gemm,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_TNT,504,0.002,30.8,0.124
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_TNT,532,0.002,23.8,0.067
gemm,nvjet_sm103_tst_96x64_64x15_2x2_2cta_h_bz_TNN,1114,0.002,16.4,0.029
gemm,nvjet_sm103_tst_128x104_64x7_1x4_h_bz_NNT,117,0.001,41.3,0.111
gemm,nvjet_sm103_tst_128x104_64x7_1x4_h_bz_TNT,106,0.001,45.1,0.081
gemm,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_NNT,124,0.001,34.1,0.068
gemm,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_TNT,248,0.001,20.9,0.051
gemm,nvjet_sm103_tst_128x112_64x9_2x1_2cta_v_bz_NNT,127,0.001,30.9,0.084
gemm,nvjet_sm103_tst_128x112_64x9_2x1_2cta_v_bz_TNT,254,0.001,20.1,0.043
gemm,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_NNT,122,0.001,40.4,0.075
gemm,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_TNT,182,0.001,40.9,0.119
gemm,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_NNT,101,0.001,41.8,0.087
gemm,nvjet_sm103_tst_128x120_64x6_2x1_v_bz_TNT,222,0.001,21.7,0.059
gemm,nvjet_sm103_tst_128x128_64x8_2x1_2cta_v_bz_TNT,220,0.001,20.4,0.047
gemm,nvjet_sm103_tst_128x136_64x6_2x1_v_bz_TNT,196,0.001,22.2,0.049
gemm,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_NNT,101,0.001,47.1,0.087
gemm,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_TNT,146,0.001,50.9,0.087
gemm,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_NNT,185,0.001,36.4,0.105
gemm,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_TNT,224,0.001,21.0,0.048
gemm,nvjet_sm103_tst_128x144_64x8_2x2_2cta_h_bz_NNT,100,0.001,45.0,0.08
gemm,nvjet_sm103_tst_128x160_64x8_4x1f_2cta_v_bz_NNT,63,0.001,73.3,0.09
gemm,nvjet_sm103_tst_128x160_64x8_4x1f_2cta_v_bz_TNT,126,0.001,37.9,0.059
gemm,nvjet_sm103_tst_128x168_64x5_4x1_v_bz_TNT,74,0.001,57.0,0.126
gemm,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_NNT,199,0.001,49.5,0.116
gemm,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_TNT,240,0.001,22.1,0.043
gemm,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_NNT,135,0.001,51.5,0.133
gemm,nvjet_sm103_tst_128x200_64x5_4x1_v_bz_TNT,142,0.001,58.5,0.137
gemm,nvjet_sm103_tst_128x208_64x7_2x1_2cta_v_bz_TNT,380,0.001,23.1,0.142
