layer,gpu,start_ns,wall_ms
layer:12,0,1607311517,68.208
layer:12,0,24788132251,111.061
layer:12,1,1607194500,67.781
layer:12,1,24789374939,110.682
layer:12,2,1606772279,68.922
layer:12,2,24789130012,111.144
layer:12,3,1607108757,69.113
layer:12,3,24789062114,111.097
layer:12,4,1607902491,68.396
layer:12,4,24789044429,110.722
layer:12,5,1607416964,68.891
layer:12,5,24789346745,111.186
layer:12,6,1606845242,69.095
layer:12,6,24789164247,110.67
layer:12,7,1606630468,69.452
layer:12,7,24789262620,110.85
layer:13,0,1675655796,72.914
layer:13,0,24556115154,107.775
layer:13,1,1675138483,73.737
layer:13,1,24556779244,107.612
layer:13,2,1675829984,72.962
layer:13,2,24556642292,106.956
layer:13,3,1676357305,72.236
layer:13,3,24556727168,109.963
layer:13,4,1676441525,72.266
layer:13,4,24556862122,106.898
layer:13,5,1676469282,72.461
layer:13,5,24556769931,106.962
layer:13,6,1676080671,72.442
layer:13,6,24556909207,107.861
layer:13,7,1676245869,72.738
layer:13,7,24557369740,106.458
layer:14,0,1748704100,84.134
layer:14,0,24344273890,108.638
layer:14,1,1749032539,83.873
layer:14,1,24346250508,105.765
layer:14,2,1748925947,83.331
layer:14,2,24346049232,105.932
layer:14,3,1748732620,83.139
layer:14,3,24346171132,105.929
layer:14,4,1748853177,83.903
layer:14,4,24346240128,105.799
layer:14,5,1749085993,83.728
layer:14,5,24346120817,106.165
layer:14,6,1748662836,83.771
layer:14,6,24346219657,105.686
layer:14,7,1749136912,83.179
layer:14,7,24345920719,107.969
layer:15,0,1832982476,149.474
layer:15,0,24140682987,110.395
layer:15,1,1833046483,149.238
layer:15,1,24141389175,110.649
layer:15,2,1832397152,150.357
layer:15,2,24141546294,110.757
layer:15,3,1832020758,150.514
layer:15,3,24141441694,110.937
layer:15,4,1832899025,150.262
layer:15,4,24142863597,109.316
layer:15,5,1832955445,149.645
layer:15,5,24141535969,111.003
layer:15,6,1832572305,150.265
layer:15,6,24141627953,112.199
layer:15,7,1832453738,150.287
layer:15,7,24141830408,110.177
layer:16,0,1982594709,69.258
layer:16,0,23917376828,112.053
layer:16,1,1982442116,70.464
layer:16,1,23918366347,111.584
layer:16,2,1982892232,70.135
layer:16,2,23918207037,111.785
layer:16,3,1982688584,69.953
layer:16,3,23918463547,112.297
layer:16,4,1983316100,69.131
layer:16,4,23919627969,110.7
layer:16,5,1982735124,68.818
layer:16,5,23918368430,111.688
layer:16,6,1982980420,70.15
layer:16,6,23918545524,111.404
layer:16,7,1982890788,69.766
layer:16,7,23918516416,111.608
layer:17,0,2051987318,79.385
layer:17,0,23706400291,104.638
layer:17,1,2053070447,78.459
layer:17,1,23707152601,104.95
layer:17,2,2053180489,78.126
layer:17,2,23707058141,104.913
layer:17,3,2052791151,78.833
layer:17,3,23707407978,104.98
layer:17,4,2052600955,79.648
layer:17,4,23707111434,105.034
layer:17,5,2051696475,79.716
layer:17,5,23707195127,104.953
layer:17,6,2053270243,77.762
layer:17,6,23707168130,104.729
layer:17,7,2052805382,78.333
layer:17,7,23707487183,104.649
layer:18,0,2131510467,76.045
layer:18,0,23474424847,107.251
layer:18,1,2131681058,76.291
layer:18,1,23475371474,107.144
layer:18,2,2131447436,75.292
layer:18,2,23475158107,107.575
layer:18,3,2131775941,75.231
layer:18,3,23475269748,108.689
layer:18,4,2132396850,74.896
layer:18,4,23475352659,107.433
layer:18,5,2131551912,75.746
layer:18,5,23475421856,107.249
layer:18,6,2131176787,75.17
layer:18,6,23475292895,107.184
layer:18,7,2131278540,79.003
layer:18,7,23475420277,107.456
layer:19,0,2207692979,153.168
layer:19,0,23248814353,107.171
layer:19,1,2208134540,153.171
layer:19,1,23249642244,107.403
layer:19,2,2206875355,153.861
layer:19,2,23249335553,107.744
layer:19,3,2207167598,154.34
layer:19,3,23249468006,107.838
layer:19,4,2207447275,154.169
layer:19,4,23249397723,107.942
layer:19,5,2207440472,153.727
layer:19,5,23249569703,107.432
layer:19,6,2206487209,154.008
layer:19,6,23249400773,107.701
layer:19,7,2210481896,149.896
layer:19,7,23249714639,107.637
layer:20,0,2360995828,78.571
layer:20,0,23042026074,108.961
layer:20,1,2361455075,77.527
layer:20,1,23043025606,107.671
layer:20,2,2360880071,78.403
layer:20,2,23042826841,108.047
layer:20,3,2361648789,77.993
layer:20,3,23042962679,107.867
layer:20,4,2361771242,78.011
layer:20,4,23043162440,107.79
layer:20,5,2361316703,79.426
layer:20,5,23042999350,107.892
layer:20,6,2360636686,80.717
layer:20,6,23043178195,107.612
layer:20,7,2360531595,79.776
layer:20,7,23043744758,107.587
layer:21,0,2439701235,72.073
layer:21,0,22810467324,105.007
layer:21,1,2439142274,73.477
layer:21,1,22810924810,105.537
layer:21,2,2439422637,73.459
layer:21,2,22811119805,105.268
layer:21,3,2439783732,71.868
layer:21,3,22810901856,105.547
layer:21,4,2439933367,73.012
layer:21,4,22810872522,105.897
layer:21,5,2440884050,71.778
layer:21,5,22811008071,105.536
layer:21,6,2441491372,70.446
layer:21,6,22810968646,105.563
layer:21,7,2440448753,72.431
layer:21,7,22811130787,105.548
layer:22,0,2511906629,85.413
layer:22,0,22586297450,111.177
layer:22,1,2512764288,84.349
layer:22,1,22587113831,110.616
layer:22,2,2513022170,84.045
layer:22,2,22587201044,110.9
layer:22,3,2511797330,85.129
layer:22,3,22587233681,110.582
layer:22,4,2513089007,84.524
layer:22,4,22587173722,110.718
layer:22,5,2512804409,84.23
layer:22,5,22587286582,110.648
layer:22,6,2512072899,85.182
layer:22,6,22587259342,110.726
layer:22,7,2513028655,85.14
layer:22,7,22587177885,110.868
layer:23,0,2597453608,149.501
layer:23,0,22347558754,116.591
layer:23,1,2597252822,149.638
