Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.1,143842421,32,4495075.7,4312597.0,2386691,7522422,2143509.3,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)3, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.1,130875748,208,629210.3,41152.0,3328,2780657,930365.0,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.1,113653131,1096,103698.1,59280.5,1792,713734,134899.8,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,112586015,72,1563694.7,452515.0,17568,16932316,2676348.0,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.1,101513188,352,288389.7,182497.0,12128,795044,296923.4,"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.1,94324386,496,190170.1,126048.5,1824,506689,169350.2,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.1,89604022,128,700031.4,68992.0,25152,5467022,1371885.2,nvjet_sm103_tst_256x256_64x4_2x1_2cta_v_bz_NNT
0.1,81671831,16,5104489.4,5637809.0,442977,7913597,2170259.9,ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.1,71456807,16,4466050.4,4543923.5,3745810,4972137,494934.8,"void hybrid_ep::dispatch_kernel<unsigned short, hybrid_ep::warp_group<(int)0, (int)0>, hybrid_ep::warp_group<(int)1, (int)0>, hybrid_ep::warp_group<(int)3, (int)1>, hybrid_ep::warp_group<(int)0, (int)0>, hybrid_ep::warp_group<(int)0, (int)0>, (int)10, (int)10, (int)8, (int)8, (int)1, (int)6, (int)64, (int)6144, (int)32768, (int)32, (int)8, (int)1, (int)16, (int)2368, (bool)1>(hybrid_ep::dispatch_kernel_param_t<T1>)"
0.1,69586362,192,362429.0,541600.5,1472,546212,255624.9,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.1,64773466,16,4048341.6,4064127.5,3829267,4203947,90716.0,"void hybrid_ep::combine_kernel<hybrid_ep::warp_group<(int)0, (int)0>, hybrid_ep::warp_group<(int)4, (int)0>, hybrid_ep::warp_group<(int)0, (int)4>, hybrid_ep::warp_group<(int)2, (int)4>, hybrid_ep::warp_group<(int)0, (int)6>, hybrid_ep::warp_group<(int)0, (int)0>, hybrid_ep::warp_group<(int)0, (int)0>, (int)2, (int)10, (int)2, (int)2, (int)2, (int)4, (int)64, (int)6144, (int)32768, (int)32, (int)8, (int)1, (int)16, (int)2368, (int)1, (int)2, (bool)0>(hybrid_ep::combine_kernel_param_t)"
0.1,57805026,328,176234.8,136064.5,18464,497666,182006.7,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
0.0,53337122,24,2222380.1,588725.0,21504,9807657,3251789.2,ncclDevKernel_AllReduce_Sum_u64_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.0,51813280,32,1619165.0,1611276.5,1605963,1678339,17513.7,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_copy_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIterator &, long, long, long)::[lambda(int) (instance 1)]>(long, T3)"
0.0,49601416,711,69762.9,2689.0,1760,454017,117317.1,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,48654821,64,760231.6,760082.5,758248,763365,1304.5,element_mul_kernel
0.0,48462088,64,757220.1,757108.0,754881,759745,1033.8,cross_entropy_kernel
0.0,45607224,24,1900301.0,2178646.5,401731,3206825,890051.5,"void unpermute_kernel<(int)512, __nv_bfloat16, float>(T2 *, T2 *, T3 *, T3 *, int *, int *, int, int, int, int)"
0.0,44584207,224,199036.6,172656.5,7456,384162,108020.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,40771465,58,702956.3,856608.5,171233,1347907,398164.7,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,40385121,24,1682713.4,1910174.0,341411,2651783,759982.8,"void permute_kernel<(int)512, unsigned short, float, float>(T2 *, T2 *, T4 *, T4 *, T3 *, T3 *, int *, int *, int, int, int, int, int, int)"
0.0,37671990,636,59232.7,6688.0,992,149761,58788.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,36605683,58,631132.5,769761.0,154113,1205860,357083.4,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctorOnSelf_add<c10::BFloat16>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,35063809,40,876595.2,865636.0,852201,967459,27400.3,"void transformer_engine::normalization::rmsnorm_bwd_general_kernel<transformer_engine::normalization::Kernel_traits<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)4096, (unsigned int)1, (unsigned int)1, (unsigned int)4, (unsigned int)16, transformer_engine::normalization::Kernel_traits_base<(unsigned int)4096, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)128>>, (bool)0>(transformer_engine::normalization::BackwardKernelParams)"
0.0,35004790,72,486177.6,485009.5,480900,528194,6009.2,"void transformer_engine::normalization::rmsnorm_fwd_general_kernel<transformer_engine::normalization::Kernel_traits<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)8192, (unsigned int)1, (unsigned int)1, (unsigned int)4, (unsigned int)16, transformer_engine::normalization::Kernel_traits_base<(unsigned int)8192, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, unsigned int, (unsigned int)128>>>(transformer_engine::normalization::ForwardKernelParams)"
0.0,34722433,8,4340304.1,4368703.0,4001428,4470445,144159.6,"void hybrid_ep::combine_kernel<hybrid_ep::warp_group<(int)0, (int)0>, hybrid_ep::warp_group<(int)4, (int)0>, hybrid_ep::warp_group<(int)0, (int)4>, hybrid_ep::warp_group<(int)2, (int)4>, hybrid_ep::warp_group<(int)0, (int)6>, hybrid_ep::warp_group<(int)0, (int)0>, hybrid_ep::warp_group<(int)0, (int)0>, (int)2, (int)10, (int)2, (int)2, (int)2, (int)4, (int)64, (int)6144, (int)32768, (int)32, (int)8, (int)1, (int)16, (int)2368, (int)1, (int)2, (bool)1>(hybrid_ep::combine_kernel_param_t)"
0.0,32815507,8,4101938.4,4196928.5,3348625,4599017,516038.2,"void hybrid_ep::dispatch_kernel<unsigned short, hybrid_ep::warp_group<(int)0, (int)0>, hybrid_ep::warp_group<(int)1, (int)0>, hybrid_ep::warp_group<(int)3, (int)1>, hybrid_ep::warp_group<(int)0, (int)0>, hybrid_ep::warp_group<(int)0, (int)0>, (int)10, (int)10, (int)8, (int)8, (int)1, (int)6, (int)64, (int)6144, (int)32768, (int)32, (int)8, (int)1, (int)16, (int)2368, (bool)0>(hybrid_ep::dispatch_kernel_param_t<T1>)"
0.0,32267020,16,2016688.8,2016477.0,2013091,2020943,2504.5,"void at::native::radixSortKVInPlace<(int)2, (int)-1, (int)64, (int)32, long, long, unsigned int>(at::cuda::detail::TensorInfo<T5, T7>, T7, T7, T7, at::cuda::detail::TensorInfo<T6, T7>, T7, bool)"
0.0,31076466,8,3884558.3,4503277.0,17600,5761733,2058447.1,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.0,30836522,26,1186020.1,1202177.0,354210,1937541,446767.8,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,29865534,64,466649.0,466769.0,456897,473537,3790.6,online_softmax_kernel
0.0,28921841,224,129115.4,2864.0,2528,934882,208302.9,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,28796256,96,299961.0,48864.5,12704,735620,334365.7,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)3, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,23806326,29,820907.8,983041.0,195297,1576452,472928.9,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::silu_backward_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16, c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,22528607,32,704019.0,709572.0,656197,752582,41181.5,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)1, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
0.0,22528439,281,80172.4,69536.0,1312,324000,91172.7,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,19913359,16,1244584.9,1241653.5,1230858,1281953,12283.8,"void at::native::indexFuncLargeIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1, at::native::<unnamed>::ReduceAdd>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, T3, long, long, const T8 &, T1)"
0.0,18039776,16,1127486.0,1122617.5,1070402,1192362,52288.4,"void at::native::radixSortKVInPlace<(int)2, (int)-1, (int)64, (int)32, int, long, unsigned int>(at::cuda::detail::TensorInfo<T5, T7>, T7, T7, T7, at::cuda::detail::TensorInfo<T6, T7>, T7, bool)"
0.0,17521532,224,78221.1,67232.5,29888,169345,42374.7,nvjet_sm103_tst_32x256_64x6_1x4_2cta_h_bz_TNN
