"track_id","kernels","ms"
4,11547,3408.378386
8,7514,127.341467
10,7388,117.635121
9,7418,117.454535
11,7303,115.005839
5,1035,110.426062
15,322,12.501248
13,352,12.439531
12,322,11.877577
14,323,11.559984
17,404,1.846618
