"name","calls","ms","estimated_occupancy","blocks_per_sm"
"cudnn_generated_fort_native_sdpa_sm100_flash_bprop_f16_knob_31_128x128x128_1x4x1_cga1x1x1_kernel0_0",48,1151.966895,0.000000,69.189186
"cudnn_generated_fort_native_sdpa_sm100_flash_fprop_f16_knob_7_128x128x128_4x1x1_cga1x1x1_kernel0_0",96,680.928834,0.000000,34.594593
