api,signature,phase,inner_range,calls_all_pids,total_s_all_pids,max_ms
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < autograd::THPVariable_nonzero < autograd::PyNode::apply,backward,recompute,624,45.532,173.278
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item < dynamo_eval_custom_code,forward,layer+moe,600,32.278,130.437
cudaStreamSynchronize,"Executor::metadata_preprocess_core < HybridEPBuffer::metadata_preprocessing < pybind11::cpp_function::initialize<pybind11::cpp_function::initialize<HandleImpl, HybridEPBuffer, HybridEpConfigInstance, at::Tensor, long, std::optional<long>, std::optional<long>, bool, bool, bool, pybind11::name, pybind11::is_method, pybind11::sibling, pybind11::kw_only, pybind11::arg, pybind11::arg, pybind11::arg, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v> < pybind11::cpp_function::dispatcher < ",forward,layer+moe+moe_dispatch+hybridep_dispatch,600,0.963,91.292
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item < dynamo_eval_custom_code,backward,recompute+layer+moe,600,46.165,163.084
cudaStreamSynchronize,"Executor::metadata_preprocess_core < HybridEPBuffer::metadata_preprocessing < pybind11::cpp_function::initialize<pybind11::cpp_function::initialize<HandleImpl, HybridEPBuffer, HybridEpConfigInstance, at::Tensor, long, std::optional<long>, std::optional<long>, bool, bool, bool, pybind11::name, pybind11::is_method, pybind11::sibling, pybind11::kw_only, pybind11::arg, pybind11::arg, pybind11::arg, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v, pybind11::arg_v> < pybind11::cpp_function::dispatcher <  < autograd::PyNode::apply",backward,recompute+layer+moe+moe_dispatch+hybridep_dispatch,600,0.41,13.009
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < make_info < at::meta::structured_index_Tensor::meta,forward,layer+attention,360,0.045,6.05
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item < ,forward,layer+attention+dsa_indexer,336,6.899,113.205
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item < autograd::PyNode::apply,backward,recompute+layer+attention+dsa_indexer,336,14.304,147.275
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < _to_copy < ops::_to_copy::call,backward,-,64,0.784,15.2
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item,-,-,48,0.43,63.203
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < _to_copy < ops::_to_copy::call,-,-,38,0.0,0.028
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item,forward,lm_head,8,0.284,36.622
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < _to_copy < autograd::VariableType::,forward,lm_head,8,0.0,0.009
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < autograd::THPVariable_item,forward,-,8,0.453,65.367
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < long at::Tensor::item<long> < repeat_interleave_cuda,-,-,7,0.0,0.014
cudaStreamSynchronize,_local_scalar_dense_cuda < ops::_local_scalar_dense::call < item < ops::item::call < unsigned char at::Tensor::item<unsigned char> < repeat_interleave_cuda,-,-,7,0.0,0.014
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < make_info < at::meta::structured_index_Tensor::meta,forward,lm_head,3,0.064,55.744
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < copy_kernel_cuda < copy_impl,-,-,2,0.0,0.004
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < make_info < _index_put_impl_,forward,lm_head,1,0.0,0.012
cudaStreamSynchronize,void nonzero_cuda_out_impl<bool> < nonzero_out_cuda < nonzero_cuda < ops::nonzero::call < expandTensors < makeLinearIndex,backward,-,1,0.013,13.459
cudaStreamSynchronize,copy_kernel_cuda < copy_impl < copy_ < ops::copy_::call < _to_copy < autograd::VariableType::,-,-,1,0.0,0.007
