gpu,globalTid,api,calls,total_s,max_ms
0,0x1000aa500133e,cudaStreamSynchronize,279,13.415,163.084
0,0x1000aa5004057,cudaStreamSynchronize,254,5.342,113.205
1,0x1000aa600132e,cudaStreamSynchronize,278,13.36,173.278
1,0x1000aa6000aa6,cudaStreamSynchronize,253,5.178,110.5
2,0x1000aa7001337,cudaStreamSynchronize,278,13.411,168.397
2,0x1000aa7000aa7,cudaStreamSynchronize,253,5.126,109.118
3,0x1000aa8001320,cudaStreamSynchronize,278,13.194,167.192
3,0x1000aa8000aa8,cudaStreamSynchronize,253,5.166,130.437
4,0x1000aac0012be,cudaStreamSynchronize,278,13.422,171.946
4,0x1000aac000aac,cudaStreamSynchronize,253,5.144,109.179
5,0x1000ab000132a,cudaStreamSynchronize,278,13.429,170.864
5,0x1000ab0000ab0,cudaStreamSynchronize,253,5.183,109.8
6,0x1000ab400131b,cudaStreamSynchronize,278,13.453,172.178
6,0x1000ab4000ab4,cudaStreamSynchronize,254,5.065,109.432
7,0x1000ab80012c9,cudaStreamSynchronize,278,13.524,172.674
7,0x1000ab8000ab8,cudaStreamSynchronize,254,5.21,110.815
