k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
134,9.683,9.804,1.012,6,9.485,9.704,9.676,9.694,9.704,9.694,9.804,9.705
135,9.682,9.713,1.003,1,9.55,9.713,9.693,9.703,9.696,9.697,9.708,9.7
136,9.693,9.778,1.009,4,9.496,9.716,9.682,9.704,9.778,9.707,9.713,9.747
137,9.684,9.71,1.003,1,9.572,9.71,9.684,9.705,9.695,9.702,9.702,9.703
138,9.698,9.798,1.01,3,9.496,9.722,9.683,9.798,9.746,9.707,9.718,9.714
139,9.687,9.775,1.009,4,9.478,9.706,9.68,9.701,9.775,9.699,9.747,9.711
140,9.69,9.759,1.007,4,9.512,9.715,9.678,9.714,9.759,9.706,9.711,9.728
141,9.69,9.752,1.006,4,9.49,9.704,9.701,9.707,9.752,9.7,9.741,9.722
142,9.779,9.926,1.015,6,9.527,9.753,9.737,9.881,9.802,9.775,9.926,9.827
143,9.736,9.849,1.012,4,9.512,9.734,9.712,9.732,9.849,9.733,9.809,9.808
144,9.759,9.952,1.02,6,9.514,9.762,9.718,9.738,9.817,9.757,9.952,9.813
145,9.747,9.938,1.02,6,9.51,9.731,9.714,9.788,9.747,9.749,9.938,9.797
146,9.737,9.788,1.005,3,9.554,9.767,9.726,9.788,9.772,9.752,9.78,9.753
147,9.771,9.834,1.006,5,9.585,9.8,9.762,9.799,9.821,9.834,9.782,9.785
148,9.804,9.881,1.008,4,9.614,9.829,9.786,9.841,9.881,9.814,9.836,9.831
149,9.831,9.912,1.008,6,9.639,9.857,9.825,9.853,9.87,9.835,9.912,9.856
150,9.748,9.882,1.014,1,9.548,9.882,9.767,9.752,9.762,9.764,9.738,9.771
151,9.76,9.85,1.009,7,9.572,9.781,9.768,9.772,9.787,9.775,9.779,9.85
152,9.863,9.95,1.009,3,9.638,9.876,9.87,9.95,9.887,9.88,9.902,9.904
153,9.752,9.831,1.008,5,9.58,9.773,9.769,9.762,9.774,9.831,9.76,9.768
154,9.819,9.925,1.011,1,9.637,9.925,9.765,9.797,9.785,9.859,9.86,9.923
155,9.794,9.912,1.012,1,9.618,9.912,9.771,9.877,9.804,9.818,9.747,9.805
