what,gpu,instances,wall_s,gpu_kernel_s
layer_forward,0,78,6.886,6.918
layer_recompute_forward,0,78,9.381,5.454
backward_minus_recompute_forward,0,1,,10.545
layer_forward,1,78,6.872,6.874
layer_recompute_forward,1,78,9.122,5.679
backward_minus_recompute_forward,1,1,,10.563
layer_forward,2,78,6.865,6.88
layer_recompute_forward,2,78,9.06,5.8
backward_minus_recompute_forward,2,1,,10.575
layer_forward,3,78,6.831,6.761
layer_recompute_forward,3,78,9.114,5.538
backward_minus_recompute_forward,3,1,,10.392
layer_forward,4,78,6.869,6.883
layer_recompute_forward,4,78,9.031,5.749
backward_minus_recompute_forward,4,1,,10.537
layer_forward,5,78,6.873,6.868
layer_recompute_forward,5,78,9.08,5.767
backward_minus_recompute_forward,5,1,,10.575
layer_forward,6,78,6.852,6.857
layer_recompute_forward,6,78,9.102,5.752
backward_minus_recompute_forward,6,1,,10.57
layer_forward,7,78,6.864,6.878
layer_recompute_forward,7,78,9.038,5.798
backward_minus_recompute_forward,7,1,,10.568
