phase,gpu,metric,avg
step,7,NVLink TX Requests Protocol Data [Throughput %],0.86
step,7,NVLink TX Requests User Data [Throughput %],2.02
step,7,NVLink TX Responses Protocol Data [Throughput %],0.27
step,7,NVLink TX Responses User Data [Throughput %],1.66
forward,0,GR Active [Throughput %],98.62
forward,0,SMs Active [Throughput %],67.93
forward,0,SM Issue [Throughput %],22.8
forward,0,Tensor Active [Throughput %],29.1
forward,0,DRAM Read Bandwidth [Throughput %],11.78
forward,0,DRAM Write Bandwidth [Throughput %],8.38
forward,0,NVLink RX Requests Protocol Data [Throughput %],0.97
forward,0,NVLink RX Requests User Data [Throughput %],2.32
forward,0,NVLink RX Responses Protocol Data [Throughput %],0.29
forward,0,NVLink RX Responses User Data [Throughput %],1.85
forward,0,NVLink TX Requests Protocol Data [Throughput %],0.79
forward,0,NVLink TX Requests User Data [Throughput %],2.35
forward,0,NVLink TX Responses Protocol Data [Throughput %],0.49
forward,0,NVLink TX Responses User Data [Throughput %],2.03
forward,1,GR Active [Throughput %],98.07
forward,1,SMs Active [Throughput %],68.72
forward,1,SM Issue [Throughput %],23.26
forward,1,Tensor Active [Throughput %],29.52
forward,1,DRAM Read Bandwidth [Throughput %],11.71
forward,1,DRAM Write Bandwidth [Throughput %],8.38
forward,1,NVLink RX Requests Protocol Data [Throughput %],0.78
forward,1,NVLink RX Requests User Data [Throughput %],2.31
forward,1,NVLink RX Responses Protocol Data [Throughput %],0.42
forward,1,NVLink RX Responses User Data [Throughput %],2.0
forward,1,NVLink TX Requests Protocol Data [Throughput %],0.92
forward,1,NVLink TX Requests User Data [Throughput %],2.36
forward,1,NVLink TX Responses Protocol Data [Throughput %],0.3
forward,1,NVLink TX Responses User Data [Throughput %],1.82
forward,2,GR Active [Throughput %],98.1
forward,2,SMs Active [Throughput %],68.22
forward,2,SM Issue [Throughput %],23.03
forward,2,Tensor Active [Throughput %],28.94
forward,2,DRAM Read Bandwidth [Throughput %],11.73
forward,2,DRAM Write Bandwidth [Throughput %],8.38
forward,2,NVLink RX Requests Protocol Data [Throughput %],0.79
forward,2,NVLink RX Requests User Data [Throughput %],2.34
forward,2,NVLink RX Responses Protocol Data [Throughput %],0.42
forward,2,NVLink RX Responses User Data [Throughput %],1.96
forward,2,NVLink TX Requests Protocol Data [Throughput %],0.91
forward,2,NVLink TX Requests User Data [Throughput %],2.33
forward,2,NVLink TX Responses Protocol Data [Throughput %],0.3
forward,2,NVLink TX Responses User Data [Throughput %],1.85
forward,3,GR Active [Throughput %],96.42
forward,3,SMs Active [Throughput %],68.39
forward,3,SM Issue [Throughput %],23.18
forward,3,Tensor Active [Throughput %],29.27
forward,3,DRAM Read Bandwidth [Throughput %],11.82
forward,3,DRAM Write Bandwidth [Throughput %],8.42
forward,3,NVLink RX Requests Protocol Data [Throughput %],0.81
forward,3,NVLink RX Requests User Data [Throughput %],2.38
forward,3,NVLink RX Responses Protocol Data [Throughput %],0.41
forward,3,NVLink RX Responses User Data [Throughput %],1.98
forward,3,NVLink TX Requests Protocol Data [Throughput %],0.91
forward,3,NVLink TX Requests User Data [Throughput %],2.34
forward,3,NVLink TX Responses Protocol Data [Throughput %],0.3
forward,3,NVLink TX Responses User Data [Throughput %],1.88
forward,4,GR Active [Throughput %],98.18
forward,4,SMs Active [Throughput %],68.22
forward,4,SM Issue [Throughput %],23.12
forward,4,Tensor Active [Throughput %],29.06
forward,4,DRAM Read Bandwidth [Throughput %],11.81
forward,4,DRAM Write Bandwidth [Throughput %],8.37
forward,4,NVLink RX Requests Protocol Data [Throughput %],0.78
forward,4,NVLink RX Requests User Data [Throughput %],2.31
forward,4,NVLink RX Responses Protocol Data [Throughput %],0.43
forward,4,NVLink RX Responses User Data [Throughput %],1.98
forward,4,NVLink TX Requests Protocol Data [Throughput %],0.92
forward,4,NVLink TX Requests User Data [Throughput %],2.35
forward,4,NVLink TX Responses Protocol Data [Throughput %],0.3
forward,4,NVLink TX Responses User Data [Throughput %],1.82
forward,5,GR Active [Throughput %],97.95
forward,5,SMs Active [Throughput %],67.22
forward,5,SM Issue [Throughput %],22.81
forward,5,Tensor Active [Throughput %],28.48
forward,5,DRAM Read Bandwidth [Throughput %],11.77
forward,5,DRAM Write Bandwidth [Throughput %],8.32
forward,5,NVLink RX Requests Protocol Data [Throughput %],0.77
forward,5,NVLink RX Requests User Data [Throughput %],2.28
forward,5,NVLink RX Responses Protocol Data [Throughput %],0.43
forward,5,NVLink RX Responses User Data [Throughput %],1.98
forward,5,NVLink TX Requests Protocol Data [Throughput %],0.92
forward,5,NVLink TX Requests User Data [Throughput %],2.34
forward,5,NVLink TX Responses Protocol Data [Throughput %],0.29
forward,5,NVLink TX Responses User Data [Throughput %],1.79
forward,6,GR Active [Throughput %],97.83
forward,6,SMs Active [Throughput %],70.06
forward,6,SM Issue [Throughput %],23.49
forward,6,Tensor Active [Throughput %],30.49
forward,6,DRAM Read Bandwidth [Throughput %],12.27
forward,6,DRAM Write Bandwidth [Throughput %],8.62
forward,6,NVLink RX Requests Protocol Data [Throughput %],0.87
forward,6,NVLink RX Requests User Data [Throughput %],2.55
forward,6,NVLink RX Responses Protocol Data [Throughput %],0.4
forward,6,NVLink RX Responses User Data [Throughput %],1.97
forward,6,NVLink TX Requests Protocol Data [Throughput %],0.91
forward,6,NVLink TX Requests User Data [Throughput %],2.34
forward,6,NVLink TX Responses Protocol Data [Throughput %],0.33
forward,6,NVLink TX Responses User Data [Throughput %],2.05
forward,7,GR Active [Throughput %],98.15
forward,7,SMs Active [Throughput %],66.77
forward,7,SM Issue [Throughput %],22.68
forward,7,Tensor Active [Throughput %],28.18
forward,7,DRAM Read Bandwidth [Throughput %],11.69
forward,7,DRAM Write Bandwidth [Throughput %],8.29
forward,7,NVLink RX Requests Protocol Data [Throughput %],0.77
forward,7,NVLink RX Requests User Data [Throughput %],2.26
forward,7,NVLink RX Responses Protocol Data [Throughput %],0.43
forward,7,NVLink RX Responses User Data [Throughput %],1.99
forward,7,NVLink TX Requests Protocol Data [Throughput %],0.93
forward,7,NVLink TX Requests User Data [Throughput %],2.33
forward,7,NVLink TX Responses Protocol Data [Throughput %],0.29
forward,7,NVLink TX Responses User Data [Throughput %],1.79
backward,0,GR Active [Throughput %],96.85
backward,0,SMs Active [Throughput %],70.87
backward,0,SM Issue [Throughput %],17.87
backward,0,Tensor Active [Throughput %],26.36
backward,0,DRAM Read Bandwidth [Throughput %],10.78
backward,0,DRAM Write Bandwidth [Throughput %],7.03
backward,0,NVLink RX Requests Protocol Data [Throughput %],0.87
backward,0,NVLink RX Requests User Data [Throughput %],1.88
backward,0,NVLink RX Responses Protocol Data [Throughput %],0.26
backward,0,NVLink RX Responses User Data [Throughput %],1.67
backward,0,NVLink TX Requests Protocol Data [Throughput %],0.67
backward,0,NVLink TX Requests User Data [Throughput %],1.9
backward,0,NVLink TX Responses Protocol Data [Throughput %],0.47
backward,0,NVLink TX Responses User Data [Throughput %],1.87
backward,1,GR Active [Throughput %],98.37
backward,1,SMs Active [Throughput %],71.79
backward,1,SM Issue [Throughput %],18.08
backward,1,Tensor Active [Throughput %],26.83
backward,1,DRAM Read Bandwidth [Throughput %],10.82
backward,1,DRAM Write Bandwidth [Throughput %],7.04
backward,1,NVLink RX Requests Protocol Data [Throughput %],0.66
backward,1,NVLink RX Requests User Data [Throughput %],1.87
backward,1,NVLink RX Responses Protocol Data [Throughput %],0.4
backward,1,NVLink RX Responses User Data [Throughput %],1.81
backward,1,NVLink TX Requests Protocol Data [Throughput %],0.81
backward,1,NVLink TX Requests User Data [Throughput %],1.91
backward,1,NVLink TX Responses Protocol Data [Throughput %],0.26
backward,1,NVLink TX Responses User Data [Throughput %],1.64
backward,2,GR Active [Throughput %],99.16
backward,2,SMs Active [Throughput %],71.99
backward,2,SM Issue [Throughput %],18.46
backward,2,Tensor Active [Throughput %],26.4
backward,2,DRAM Read Bandwidth [Throughput %],10.85
backward,2,DRAM Write Bandwidth [Throughput %],7.04
backward,2,NVLink RX Requests Protocol Data [Throughput %],0.68
backward,2,NVLink RX Requests User Data [Throughput %],1.91
backward,2,NVLink RX Responses Protocol Data [Throughput %],0.4
backward,2,NVLink RX Responses User Data [Throughput %],1.8
backward,2,NVLink TX Requests Protocol Data [Throughput %],0.81
backward,2,NVLink TX Requests User Data [Throughput %],1.89
backward,2,NVLink TX Responses Protocol Data [Throughput %],0.26
backward,2,NVLink TX Responses User Data [Throughput %],1.67
backward,3,GR Active [Throughput %],96.43
backward,3,SMs Active [Throughput %],71.47
backward,3,SM Issue [Throughput %],18.09
