k,laggard_gpu,lateness_ms,laggard_gpu_idle_since_prev_release_ms,laggard_interval_ms,sum_wait_all_gpus_ms,laggard_nvtx
0,0,0.407,25.544,418.929,2.907,forward|layer|moe|hybridep_dispatch
1,7,0.789,0.005,4.459,4.852,forward|layer|moe|moe_experts
2,0,13.292,0.175,32.918,95.285,forward|layer|moe
3,5,0.091,0.002,3.71,1.007,forward|layer|moe
4,0,0.09,0.837,31.364,0.696,forward|layer|moe|hybridep_dispatch
5,0,0.596,0.004,4.011,4.049,forward|layer|moe|moe_experts
6,3,3.238,0.168,24.827,30.071,forward|layer|moe
7,3,0.045,0.003,3.452,0.351,forward|layer|moe
8,0,0.091,0.843,31.507,0.663,forward|layer|moe|hybridep_dispatch
9,0,0.778,0.006,4.628,4.701,forward|layer|moe|moe_experts
10,7,20.866,0.148,38.774,142.71,forward|layer|attention
11,4,0.024,0.001,3.815,0.896,forward|layer|attention
12,0,0.052,3.374,99.89,0.421,forward|layer|moe|hybridep_dispatch
13,3,0.592,0.004,4.033,3.726,forward|layer|moe|moe_experts
14,1,5.665,0.188,25.757,38.928,forward|layer|moe
15,2,0.016,0.002,3.425,0.275,forward|layer|moe
16,0,0.058,0.872,31.334,0.457,forward|layer|moe|hybridep_dispatch
17,1,0.503,0.004,4.649,4.777,forward|layer|moe|moe_experts
18,6,20.418,0.206,38.473,140.246,forward|layer|moe
19,2,0.029,0.003,3.833,0.81,forward|layer|moe
20,0,0.06,0.891,31.574,0.447,forward|layer|moe|hybridep_dispatch
21,0,0.47,0.006,4.473,4.433,forward|layer|moe|moe_experts
22,4,14.397,0.176,34.36,108.31,forward|layer|moe
23,3,0.037,0.004,3.693,0.704,forward|layer|moe
24,0,0.062,0.837,30.971,0.503,forward|layer|moe|hybridep_dispatch
25,7,0.489,0.005,4.116,4.106,forward|layer|moe|moe_experts
26,5,7.404,0.184,27.447,52.675,forward|layer|attention
27,4,0.081,0.002,3.541,0.704,forward|layer|attention
28,0,0.041,3.37,103.744,0.359,forward|layer|moe|hybridep_dispatch
29,0,0.411,0.004,4.503,5.018,forward|layer|moe|moe_experts
30,2,10.972,0.158,30.194,75.907,forward|layer|moe
31,3,0.039,0.003,3.736,0.543,forward|layer|moe
32,0,0.029,0.831,30.82,0.296,forward|layer|moe|hybridep_dispatch
33,7,0.711,0.007,4.437,4.752,forward|layer|moe|moe_experts
34,3,11.754,0.193,32.357,91.975,forward|layer|moe
35,2,0.058,0.003,3.702,0.647,forward|layer|moe
36,0,0.021,0.833,32.043,0.291,forward|layer|moe|hybridep_dispatch
37,3,0.56,0.004,4.929,5.628,forward|layer|moe|moe_experts
38,6,21.409,0.198,42.534,174.103,forward|layer|moe
39,1,0.063,0.003,4.021,1.154,forward|layer|moe
40,6,0.103,0.731,32.536,0.777,forward|layer|moe|hybridep_dispatch
41,3,0.434,0.003,4.577,4.201,forward|layer|moe|moe_experts
42,6,18.446,0.21,36.997,127.71,forward|layer|attention
43,4,0.038,0.004,3.824,0.388,forward|layer|attention
44,0,0.039,2.975,104.577,0.355,forward|layer|moe|hybridep_dispatch
45,7,0.714,0.006,4.28,4.453,forward|layer|moe|moe_experts
46,3,10.204,0.178,30.496,77.476,forward|layer|moe
47,7,0.015,0.004,3.568,0.274,forward|layer|moe
48,6,0.012,0.713,31.513,0.242,forward|layer|moe|hybridep_dispatch
49,0,0.413,0.004,4.66,5.63,forward|layer|moe|moe_experts
50,2,22.034,0.179,38.704,144.25,forward|layer|moe
51,4,0.026,0.002,3.83,0.512,forward|layer|moe
52,0,0.057,0.847,31.841,0.434,forward|layer|moe|hybridep_dispatch
53,1,0.512,0.004,4.619,4.772,forward|layer|moe|moe_experts
54,4,17.443,0.168,36.797,128.117,forward|layer|moe
55,7,0.047,0.005,3.803,0.828,forward|layer|moe
56,7,0.043,0.803,30.581,0.424,forward|layer|moe|hybridep_dispatch
57,0,0.468,0.006,4.872,4.795,forward|layer|moe|moe_experts
58,4,26.321,0.204,43.201,179.032,forward|layer|attention
59,7,0.075,0.005,4.072,1.177,forward|layer|attention
60,3,0.06,2.898,101.148,0.544,forward|layer|moe|hybridep_dispatch
61,1,0.725,0.004,4.69,4.548,forward|layer|moe|moe_experts
62,3,20.727,0.194,39.947,154.524,forward|layer|moe
63,7,0.06,0.004,3.918,1.106,forward|layer|moe
64,0,0.096,0.858,30.736,0.724,forward|layer|moe|hybridep_dispatch
65,3,0.75,0.004,4.874,4.603,forward|layer|moe|moe_experts
66,0,13.134,0.168,33.046,98.452,forward|layer|moe
67,2,0.029,0.002,4.063,1.058,forward|layer|moe
68,0,0.034,0.824,30.863,0.393,forward|layer|moe|hybridep_dispatch
69,0,0.781,0.005,4.988,6.149,forward|layer|moe|moe_experts
70,4,27.362,0.196,42.568,175.063,forward|layer|moe
71,7,0.059,0.004,4.072,0.671,forward|layer|moe
72,4,0.105,0.743,32.914,0.903,forward|layer|moe|hybridep_dispatch
73,1,0.719,0.004,4.936,5.63,forward|layer|moe|moe_experts
74,0,19.0,0.165,38.314,139.812,forward|layer|attention
75,0,0.092,0.005,4.121,1.08,forward|layer|attention
76,6,0.147,3.44,102.605,1.195,forward|layer|moe|hybridep_dispatch
77,1,0.42,0.003,4.742,4.818,forward|layer|moe|moe_experts
78,6,23.923,0.192,41.728,167.625,forward|layer|moe
79,5,0.008,0.002,3.89,0.576,forward|layer|moe
80,0,0.056,0.853,33.992,0.458,forward|layer|moe|hybridep_dispatch
81,0,0.527,0.004,4.328,4.199,forward|layer|moe|moe_experts
82,4,8.299,0.165,28.028,57.33,forward|layer|moe
83,0,0.036,0.002,3.617,0.405,forward|layer|moe
84,0,0.043,0.854,31.527,0.336,forward|layer|moe|hybridep_dispatch
85,7,0.566,0.005,4.04,3.716,forward|layer|moe|moe_experts
86,1,5.98,0.201,27.119,49.202,forward|layer|moe
87,4,0.015,0.003,3.437,0.233,forward|layer|moe
88,1,0.059,0.825,32.332,0.491,forward|layer|moe|hybridep_dispatch
89,1,0.555,0.003,4.328,4.476,forward|layer|moe|moe_experts
90,5,9.947,0.187,29.791,70.633,forward|layer|attention
91,1,0.046,0.003,3.581,0.538,forward|layer|attention
92,0,0.059,3.442,98.996,0.439,forward|layer|moe|hybridep_dispatch
93,0,0.78,0.005,4.672,4.462,forward|layer|moe|moe_experts
94,7,11.653,0.167,31.732,87.591,forward|layer|moe
95,5,0.041,0.003,3.91,0.965,forward|layer|moe
96,0,0.059,0.848,31.183,0.462,forward|layer|moe|hybridep_dispatch
97,1,0.415,0.004,4.865,4.73,forward|layer|moe|moe_experts
