gpu,idle_s,gaps_over_1ms,max_gap_ms,idle_pct
0,0.332,5,3.851,1.25
1,0.988,4,659.754,3.72
2,0.323,1,6.369,1.21
3,0.326,1,6.178,1.23
4,0.331,1,6.131,1.25
5,0.323,5,5.944,1.22
6,0.702,3,383.395,2.64
7,0.325,2,6.226,1.22
