"category","name","calls","sum_ms","max_ms"
"cuda_runtime","cudaStreamSynchronize",91,788.182917,487.791050
"cuda_runtime","cudaEventSynchronize",4,108.955593,49.921558
"user_annotation","python_gc/generation_0",2,1.020622,0.838989
