gpu,idle_s,gaps_over_1ms,max_gap_ms,idle_pct
0,0.63,19,80.592,2.18
1,1.642,12,1215.415,5.69
2,0.437,8,129.47,1.51
3,0.576,18,60.558,2.0
4,0.488,6,81.725,1.69
5,1.339,13,472.454,4.64
6,2.11,14,1476.329,7.31
7,0.371,5,35.335,1.29
