waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
3,36369459057,8.271,6,0.001,1.026,laggard_gpu_busy,gemm=5.3ms;moe_permute=3.2ms;hybridep_meta=0.0ms,backward|moe|recompute
3,36416520766,10.235,6,0.0,1.04,laggard_gpu_busy,gemm=7.5ms;moe_permute=3.1ms;hybridep_meta=0.0ms,backward|moe|recompute
3,36536750340,84.509,5,0.0,0.005,laggard_gpu_idle(host),hybridep_meta=0.3ms;other=0.1ms;hybridep_dispatch=0.0ms,backward|moe|hybridep_dispatch|recompute
3,36638188735,33.956,4,0.0,1.029,laggard_gpu_busy,gemm=18.0ms;elementwise=8.8ms;moe_permute=3.9ms,backward|moe|recompute
3,36693872314,47.291,4,0.0,1.014,laggard_gpu_busy,gemm=18.2ms;elementwise=12.0ms;cat_copy=9.9ms,backward|moe|recompute
3,36867114530,24.891,0,0.0,0.914,laggard_gpu_busy,gemm=9.8ms;elementwise=6.8ms;moe_permute=2.9ms,backward|moe|recompute
3,36911772601,29.185,0,0.0,1.025,laggard_gpu_busy,gemm=14.0ms;elementwise=8.0ms;moe_permute=3.0ms,backward|moe|recompute
3,37068603436,26.54,6,0.0,1.043,laggard_gpu_busy,gemm=13.1ms;elementwise=7.7ms;moe_permute=3.1ms,backward|attention|recompute|dsa_indexer
3,37117859596,34.703,6,0.0,1.018,laggard_gpu_busy,gemm=15.2ms;elementwise=7.9ms;cat_copy=5.8ms,backward|attention|recompute|dsa_indexer
3,37294346290,7.078,0,0.0,1.03,laggard_gpu_busy,gemm=4.7ms;moe_permute=2.6ms;hybridep_meta=0.0ms,backward|moe|recompute
3,37336371921,8.709,0,0.0,1.034,laggard_gpu_busy,gemm=6.3ms;moe_permute=2.7ms;hybridep_meta=0.0ms,backward|moe|recompute
3,37475012254,39.129,1,0.0,1.028,laggard_gpu_busy,gemm=21.0ms;elementwise=10.5ms;activation=3.9ms,backward|moe|recompute
3,37537317365,52.964,1,0.0,1.012,laggard_gpu_busy,gemm=21.0ms;elementwise=13.1ms;cat_copy=10.9ms,backward|moe|recompute
3,37898025608,16.462,5,0.0,0.026,laggard_gpu_idle(host),hybridep_meta=0.3ms;other=0.1ms;hybridep_dispatch=0.0ms,backward|moe|hybridep_dispatch|recompute
3,37944874834,12.931,6,0.0,1.023,laggard_gpu_busy,gemm=7.5ms;moe_permute=3.2ms;elementwise=1.7ms,backward|attention|recompute|dsa_indexer
3,37995006202,15.417,6,0.0,1.038,laggard_gpu_busy,gemm=12.8ms;moe_permute=3.2ms;hybridep_meta=0.0ms,backward|attention|recompute|dsa_indexer
3,38145958520,17.385,7,0.0,1.015,laggard_gpu_busy,gemm=6.7ms;elementwise=6.7ms;moe_permute=2.9ms,backward|moe|recompute
3,38191174676,20.806,7,0.0,1.03,laggard_gpu_busy,gemm=13.5ms;moe_permute=3.0ms;activation=2.8ms,backward|moe|recompute
3,38352512504,65.051,0,0.0,0.026,laggard_gpu_idle(host),moe_permute=1.7ms;hybridep_meta=0.0ms;hybridep_combine=0.0ms,backward|moe|hybridep_combine|recompute
3,38454049115,13.337,4,0.0,1.053,laggard_gpu_busy,gemm=11.0ms;moe_permute=3.1ms;hybridep_meta=0.0ms,backward|moe|recompute
3,38603354133,12.694,0,0.0,1.023,laggard_gpu_busy,gemm=5.9ms;elementwise=3.9ms;moe_permute=2.5ms,backward|moe|recompute
3,38642707806,15.012,0,0.0,1.045,laggard_gpu_busy,gemm=11.8ms;moe_permute=2.6ms;cat_copy=1.0ms,backward|moe|recompute
3,38806690365,14.172,1,0.0,0.03,laggard_gpu_idle(host),hybridep_meta=0.3ms;other=0.1ms,backward|moe|hybridep_dispatch|recompute
3,38851968221,10.522,7,0.0,1.026,laggard_gpu_busy,gemm=7.1ms;moe_permute=3.0ms;cat_copy=0.3ms,backward|attention|recompute|dsa_indexer
3,38900808316,12.796,7,0.0,1.038,laggard_gpu_busy,gemm=10.1ms;moe_permute=3.2ms;hybridep_meta=0.0ms,backward|attention|recompute|dsa_indexer
3,39047156699,22.925,6,0.0,1.011,laggard_gpu_busy,gemm=8.9ms;elementwise=7.6ms;moe_permute=3.2ms,backward|moe|recompute
3,39095402901,26.677,6,0.0,1.023,laggard_gpu_busy,gemm=14.5ms;elementwise=4.4ms;moe_permute=3.2ms,backward|moe|recompute
3,39261821547,14.074,1,0.0,1.019,laggard_gpu_busy,gemm=6.6ms;elementwise=4.1ms;moe_permute=2.8ms,backward|moe|recompute
3,39306098977,17.112,1,0.0,1.041,laggard_gpu_busy,gemm=13.4ms;moe_permute=3.1ms;cat_copy=1.1ms,backward|moe|recompute
3,39433707091,81.75,4,0.0,0.006,laggard_gpu_idle(host),hybridep_meta=0.4ms;other=0.1ms,backward|moe|hybridep_dispatch|recompute
3,39534587953,17.835,5,0.0,1.019,laggard_gpu_busy,gemm=6.4ms;elementwise=6.1ms;moe_permute=2.8ms,backward|moe|recompute
3,39576576690,21.322,5,0.0,1.036,laggard_gpu_busy,gemm=12.6ms;moe_permute=2.9ms;activation=2.6ms,backward|moe|recompute
3,39754552306,21.017,0,0.0,1.012,laggard_gpu_busy,gemm=7.9ms;elementwise=7.6ms;moe_permute=3.2ms,backward|attention|recompute|dsa_indexer
3,39805458181,28.129,0,0.0,1.021,laggard_gpu_busy,gemm=15.7ms;cat_copy=4.9ms;moe_permute=3.3ms,backward|attention|recompute|dsa_indexer
3,39967900886,15.061,2,0.0,1.02,laggard_gpu_busy,gemm=5.9ms;elementwise=5.7ms;moe_permute=2.5ms,backward|moe|recompute
3,40007647811,17.726,2,0.0,1.042,laggard_gpu_busy,gemm=11.8ms;moe_permute=2.7ms;activation=2.3ms,backward|moe|recompute
3,40165896206,5.217,1,0.001,1.049,laggard_gpu_busy,gemm=2.8ms;moe_permute=2.7ms;hybridep_meta=0.0ms,backward|moe|recompute
3,40208568693,6.888,1,0.001,1.062,laggard_gpu_busy,gemm=4.5ms;moe_permute=2.8ms;hybridep_meta=0.0ms,backward|moe|recompute
3,40352052589,27.069,5,0.0,1.017,laggard_gpu_busy,gemm=10.4ms;elementwise=9.3ms;moe_permute=3.6ms,backward|moe|recompute
3,40407527284,35.067,5,0.0,1.017,laggard_gpu_busy,gemm=17.1ms;cat_copy=6.5ms;elementwise=5.1ms,backward|moe|recompute
3,40576886501,8.667,6,0.001,1.035,laggard_gpu_busy,gemm=5.3ms;moe_permute=2.5ms;cat_copy=0.6ms,backward|attention|recompute|dsa_indexer
3,40615677744,10.413,6,0.0,1.032,laggard_gpu_busy,gemm=8.0ms;moe_permute=2.7ms;hybridep_meta=0.0ms,backward|attention|recompute|dsa_indexer
3,40923816915,8.344,0,0.001,0.0,laggard_gpu_idle(host),hybridep_meta=0.0ms;hybridep_dispatch=0.0ms,backward|moe|hybridep_dispatch|recompute
3,40951249044,24.818,6,0.0,1.033,laggard_gpu_busy,gemm=11.2ms;elementwise=7.7ms;moe_permute=3.0ms,backward|moe|recompute
3,41000179006,32.883,6,0.0,1.019,laggard_gpu_busy,gemm=15.1ms;elementwise=6.3ms;cat_copy=5.8ms,backward|moe|recompute
3,41144055073,61.411,4,0.0,0.007,laggard_gpu_idle(host),hybridep_meta=0.3ms;other=0.1ms,backward|moe|hybridep_dispatch|recompute
3,41224587922,19.91,0,0.0,1.048,laggard_gpu_busy,gemm=8.7ms;elementwise=6.3ms;moe_permute=2.9ms,backward|moe|recompute
3,41268729583,23.398,0,0.0,1.029,laggard_gpu_busy,gemm=13.3ms;elementwise=3.3ms;moe_permute=3.0ms,backward|moe|recompute
3,41404067618,22.079,1,0.0,0.02,laggard_gpu_idle(host),hybridep_meta=0.4ms;other=0.1ms;hybridep_dispatch=0.0ms,backward|moe|hybridep_dispatch|recompute
3,41458292189,8.771,5,0.001,1.033,laggard_gpu_busy,gemm=6.2ms;moe_permute=2.9ms;hybridep_meta=0.0ms,backward|attention|recompute|dsa_indexer
3,41506663682,11.115,5,0.0,1.038,laggard_gpu_busy,gemm=8.4ms;moe_permute=3.1ms;hybridep_meta=0.0ms,backward|attention|recompute|dsa_indexer
3,41658442062,13.981,2,0.0,1.021,laggard_gpu_busy,gemm=7.0ms;elementwise=3.3ms;moe_permute=3.2ms,backward|moe|recompute
3,41705826378,17.238,2,0.0,1.043,laggard_gpu_busy,gemm=14.1ms;moe_permute=3.2ms;cat_copy=0.6ms,backward|moe|recompute
3,42058197003,32.006,5,0.0,0.014,laggard_gpu_idle(host),hybridep_meta=0.4ms;other=0.1ms;hybridep_dispatch=0.0ms,backward|moe|hybridep_dispatch|recompute
3,42291663124,12.05,0,0.0,0.039,laggard_gpu_idle(host),hybridep_meta=0.4ms;other=0.1ms,backward|moe|hybridep_dispatch|recompute
3,42330515936,9.573,6,0.0,1.025,laggard_gpu_busy,gemm=6.0ms;moe_permute=2.9ms;cat_copy=0.7ms,backward|attention|recompute|dsa_indexer
3,42373165938,11.364,6,0.0,1.034,laggard_gpu_busy,gemm=8.8ms;moe_permute=2.9ms;hybridep_meta=0.0ms,backward|attention|recompute|dsa_indexer
3,42524788010,12.495,7,0.0,1.021,laggard_gpu_busy,gemm=6.3ms;elementwise=3.0ms;moe_permute=2.8ms,backward|moe|recompute
