gpu,start_ns,end_ns,duration_s
0,19079984159,47965812885,28.885828726
1,19091501020,47956473779,28.864972759
2,19091013148,47956509691,28.865496543
3,19091910675,47956502891,28.864592216
4,19089971461,47956467493,28.866496032
5,19090979243,47956496165,28.865516922
6,19091436789,47956435099,28.86499831
7,19090118659,47956529191,28.866410532
