category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tss_128x256_64x6_2x2_2cta_h_bz_TNT,1200,0.012,79.8,0.084
gemm,nvjet_sm103_tst_32x128_64x10_1x4_2cta_h_bz_NTN,624,0.012,152.7,0.157
gemm,nvjet_sm103_tst_128x160_64x8_2x1_2cta_v_bz_NNT,1409,0.011,57.8,0.214
gemm,nvjet_sm103_tst_256x224_64x4_2x1_2cta_v_bz_NNT,802,0.011,103.6,0.337
gemm,nvjet_sm103_tst_256x224_64x4_2x2_2cta_h_bz_TNT,612,0.009,123.4,0.237
gemm,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_TNT,892,0.008,65.2,0.163
gemm,nvjet_sm103_tst_256x136_64x4_1x2_h_bz_TNT,880,0.008,42.2,0.258
gemm,nvjet_sm103_tst_256x240_64x4_2x2_2cta_h_bz_TNT,452,0.007,129.6,0.235
gemm,splitKreduce_kernel,9025,0.007,3.5,0.076
gemm,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_TNT,842,0.006,53.2,0.157
gemm,nvjet_sm103_tst_128x240_64x6_2x1_2cta_v_bz_TNT,768,0.005,33.9,0.238
gemm,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_TNT,620,0.005,62.2,0.182
gemm,nvjet_sm103_tst_256x136_64x4_1x2_h_bz_NNT,536,0.005,70.8,0.161
gemm,nvjet_sm103_tst_256x136_64x4_2x1_v_bz_TNT,450,0.005,73.5,0.241
gemm,nvjet_sm103_tst_64x32_64x16_2x1_2cta_v_bz_splitK_NTT,1224,0.005,33.2,0.036
gemm,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_TNT,640,0.004,44.1,0.127
gemm,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_NNT,635,0.004,53.3,0.136
gemm,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_NNT,510,0.004,61.7,0.127
gemm,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_NNT,441,0.004,60.6,0.178
gemm,nvjet_sm103_tst_128x240_64x6_2x1_2cta_v_bz_NNT,398,0.004,67.2,0.169
gemm,nvjet_sm103_tst_256x128_64x5_2x4f_2cta_h_bz_NNT,262,0.004,120.4,0.203
gemm,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_NNT,135,0.004,199.0,0.829
gemm,nvjet_sm103_tst_128x144_64x8_2x2_2cta_h_bz_TNT,434,0.003,47.0,0.133
gemm,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_TNT,550,0.003,32.5,0.22
gemm,nvjet_sm103_tst_128x232_64x4_2x1_v_bz_TNT,348,0.003,86.6,0.267
gemm,nvjet_sm103_tst_128x232_64x4_4x1f_v_bz_TNT,156,0.003,127.4,0.224
gemm,nvjet_sm103_tst_128x256_64x6_4x1f_2cta_v_bz_NNT,156,0.003,120.5,0.29
gemm,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_TNT,626,0.003,37.0,0.12
gemm,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN,696,0.003,28.4,0.126
gemm,nvjet_sm103_tst_192x224_64x5_2x2_2cta_h_bz_TNT,312,0.003,74.8,0.157
gemm,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_NNT,189,0.003,104.6,0.233
gemm,nvjet_sm103_tst_256x120_64x4_1x4f_h_bz_TNT,234,0.003,121.7,0.246
gemm,nvjet_sm103_tst_256x136_64x4_1x4_h_bz_TNT,322,0.003,67.9,0.15
gemm,nvjet_sm103_tst_64x512_64x5_2x2_2cta_h_bz_TNT,336,0.003,74.4,0.077
gemm,nvjet_sm103_tst_96x128_64x9_2x2_2cta_h_bz_NNN,598,0.003,33.7,0.134
gemm,nvjet_sm103_tst_96x64_64x13_2x2_2cta_h_bz_NNN,868,0.003,27.3,0.075
gemm,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_TNT,336,0.002,50.9,0.123
gemm,nvjet_sm103_tst_128x128_64x8_2x1_2cta_v_bz_NNT,435,0.002,39.4,0.135
gemm,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_NNT,304,0.002,42.5,0.097
gemm,nvjet_sm103_tst_128x176_64x7_2x2_2cta_h_bz_TNT,228,0.002,53.3,0.086
gemm,nvjet_sm103_tst_128x208_64x7_2x1_2cta_v_bz_NNT,361,0.002,46.4,0.159
gemm,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_TNT,284,0.002,57.4,0.138
gemm,nvjet_sm103_tst_128x224_64x7_2x2_2cta_h_bz_TNT,260,0.002,60.1,0.149
gemm,nvjet_sm103_tst_128x232_64x4_2x1_v_bz_NNT,183,0.002,69.1,0.142
gemm,nvjet_sm103_tst_128x240_64x6_2x2_2cta_h_bz_TNT,280,0.002,63.6,0.137
gemm,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_NNT,454,0.002,32.0,0.112
gemm,nvjet_sm103_tst_128x72_64x8_1x4_h_bz_TNT,266,0.002,41.9,0.137
gemm,nvjet_sm103_tst_128x80_64x10_2x2_2cta_h_bz_TNT,464,0.002,38.8,0.13
gemm,nvjet_sm103_tst_128x96_64x9_2x1_2cta_v_bz_NNT,304,0.002,35.8,0.156
gemm,nvjet_sm103_tst_192x112_64x6_2x2_2cta_h_bz_TNT,334,0.002,33.9,0.102
gemm,nvjet_sm103_tst_192x160_64x6_2x2_2cta_h_bz_TNT,324,0.002,36.7,0.097
gemm,nvjet_sm103_tst_192x256_64x5_2x1_2cta_v_bz_TNT,48,0.002,259.0,0.263
gemm,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_TNT,310,0.002,54.9,0.243
gemm,nvjet_sm103_tst_256x224_64x4_2x2_2cta_h_bz_NNT,197,0.002,86.5,0.226
gemm,nvjet_sm103_tst_256x224_64x4_2x2f_2cta_h_bz_NNT,59,0.002,251.6,0.307
gemm,nvjet_sm103_tst_256x224_64x4_2x2f_2cta_h_bz_TNT,60,0.002,255.7,0.394
gemm,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_TNT,126,0.002,103.3,0.118
gemm,nvjet_sm103_tst_32x256_64x6_1x2_2cta_h_bz_splitK_NNN,64,0.002,199.2,0.202
gemm,nvjet_sm103_tst_32x64_64x16_1x2_2cta_h_bz_splitK_NTN,624,0.002,21.2,0.023
gemm,nvjet_sm103_tst_64x16_64x16_2x2_2cta_h_bz_TNT,480,0.002,30.5,0.123
gemm,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_TNT,384,0.002,30.8,0.125
gemm,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_NNT,422,0.002,26.0,0.074
gemm,nvjet_sm103_tst_64x64_64x16_2x2_2cta_h_bz_TNT,496,0.002,31.2,0.069
gemm,nvjet_sm103_tst_64x8_64x16_4x1_v_bz_splitK_TNT,546,0.002,23.9,0.11
gemm,nvjet_sm103_tst_96x64_64x15_2x2_2cta_h_bz_TNN,1098,0.002,16.5,0.042
gemm,nvjet_sm103_tst_128x104_64x7_1x4_h_bz_NNT,109,0.001,43.2,0.084
gemm,nvjet_sm103_tst_128x104_64x7_1x4_h_bz_TNT,100,0.001,47.6,0.08
gemm,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_NNT,121,0.001,34.4,0.059
gemm,nvjet_sm103_tst_128x104_64x7_2x1_v_bz_TNT,242,0.001,21.0,0.057
gemm,nvjet_sm103_tst_128x112_64x9_2x1_2cta_v_bz_NNT,122,0.001,31.7,0.082
gemm,nvjet_sm103_tst_128x112_64x9_2x1_2cta_v_bz_TNT,244,0.001,20.1,0.049
gemm,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_NNT,115,0.001,38.5,0.126
gemm,nvjet_sm103_tst_128x112_64x9_2x2_2cta_h_bz_TNT,154,0.001,42.1,0.127
gemm,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_NNT,120,0.001,43.0,0.131
gemm,nvjet_sm103_tst_128x120_64x6_2x1_v_bz_TNT,188,0.001,22.2,0.041
gemm,nvjet_sm103_tst_128x128_64x8_2x1_2cta_v_bz_TNT,248,0.001,20.8,0.042
gemm,nvjet_sm103_tst_128x136_64x6_2x1_v_bz_TNT,194,0.001,22.4,0.052
gemm,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_NNT,95,0.001,48.6,0.134
gemm,nvjet_sm103_tst_128x136_64x6_4x1_v_bz_TNT,136,0.001,52.3,0.1
gemm,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_NNT,168,0.001,36.2,0.089
gemm,nvjet_sm103_tst_128x144_64x8_2x1_2cta_v_bz_TNT,220,0.001,21.5,0.034
gemm,nvjet_sm103_tst_128x144_64x8_2x2_2cta_h_bz_NNT,88,0.001,45.6,0.08
gemm,nvjet_sm103_tst_128x160_64x8_2x2f_2cta_h_bz_TNT,44,0.001,104.7,0.167
gemm,nvjet_sm103_tst_128x160_64x8_4x1f_2cta_v_bz_NNT,65,0.001,74.6,0.122
gemm,nvjet_sm103_tst_128x160_64x8_4x1f_2cta_v_bz_TNT,130,0.001,38.4,0.055
gemm,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_NNT,187,0.001,50.0,0.148
gemm,nvjet_sm103_tst_128x176_64x7_2x1_2cta_v_bz_TNT,224,0.001,22.8,0.046
