gpu,category,kernels,summed_gpu_s,max_ms,median_us
6,gemm,21593,5.24,7.215,75.1
6,hybridep_sync,900,5.227,1256.65,705.5
6,dsa_backward,312,3.756,52.456,534.6
6,elementwise,34589,2.253,2.047,8.8
6,cat_copy,9222,2.09,2.993,12.8
6,fp32_simt_head,16,1.851,116.877,115767.7
6,dsa_forward,156,1.253,9.635,7934.7
6,dsa_indexer,798,1.201,3.142,1538.4
6,moe_permute,450,0.866,3.706,1816.0
6,hybridep_combine,225,0.85,4.382,3785.1
6,hybridep_dispatch,225,0.76,4.185,3471.0
6,nccl,429,0.712,132.009,619.2
6,activation,609,0.42,1.567,786.6
6,norm,1251,0.305,0.96,45.0
6,topk_router,683,0.144,0.605,20.4
6,hybridep_meta,750,0.111,22.969,1.7
6,cub_scan_sort,1198,0.076,2.037,1.9
6,other,1070,0.014,0.085,2.2
6,cross_entropy,8,0.006,0.757,756.5
6,nonzero_cub,135,0.0,0.002,1.5
7,hybridep_sync,900,7.641,1500.616,71.5
7,gemm,21566,4.796,7.295,73.6
7,dsa_backward,312,3.727,51.964,530.7
7,elementwise,34408,2.058,1.992,8.8
7,cat_copy,9095,2.01,2.934,12.7
7,fp32_simt_head,16,1.852,117.122,115757.2
7,dsa_forward,156,1.244,8.931,7925.7
7,dsa_indexer,798,1.18,2.771,1384.2
7,hybridep_dispatch,225,0.981,5.012,4457.6
7,hybridep_combine,225,0.867,4.387,3881.7
7,nccl,429,0.76,131.248,693.1
7,moe_permute,450,0.745,3.392,1617.1
7,activation,540,0.352,1.568,755.5
7,norm,1251,0.305,0.974,44.9
7,topk_router,683,0.143,0.551,20.2
7,hybridep_meta,750,0.11,22.939,1.7
7,cub_scan_sort,1198,0.076,2.039,1.9
7,other,1070,0.014,0.086,2.2
7,cross_entropy,8,0.006,0.759,757.0
7,nonzero_cub,135,0.0,0.002,1.5
