"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6033729438292.523438,696.720135
"user_annotation","layer_0/forward/mlp",6033730135108.393555,1.322200
"user_annotation","layer_1/forward/attention",6033730136778.984375,4.225720
"user_annotation","layer_1/forward/mlp",6033730141077.089844,66.922952
"user_annotation","python_gc/generation_0",6033730179040.322266,1.874683
"user_annotation","python_gc/generation_0",6033730188401.365234,0.114537
"user_annotation","python_gc/generation_0",6033730198398.928711,0.138530
"user_annotation","python_gc/generation_1",6033730201828.587891,1.038267
"user_annotation","layer_2/forward/attention",6033730208289.745117,22.262891
"user_annotation","layer_2/forward/mlp",6033730230626.638672,52.531226
"user_annotation","python_gc/generation_0",6033730255553.215820,0.093368
"user_annotation","python_gc/generation_0",6033730260827.898438,0.081139
"user_annotation","python_gc/generation_0",6033730272748.125000,0.081148
"user_annotation","python_gc/generation_0",6033730276239.235352,0.086707
"user_annotation","layer_2/recompute/attention",6033730378052.267578,24.614304
"user_annotation","layer_2/recompute/mlp",6033730402764.666016,34.748716
"user_annotation","python_gc/generation_0",6033730412636.864258,0.123692
"user_annotation","python_gc/generation_0",6033730419152.011719,0.101550
"user_annotation","python_gc/generation_0",6033730428366.783203,0.083876
"user_annotation","python_gc/generation_0",6033730432514.180664,0.096229
"user_annotation","layer_1/recompute/attention",6033730461784.568359,4.958509
"user_annotation","layer_1/recompute/mlp",6033730466838.990234,71.938908
"user_annotation","python_gc/generation_0",6033730517022.694336,0.109130
"user_annotation","python_gc/generation_0",6033730523271.632812,0.096480
"user_annotation","python_gc/generation_0",6033730531265.459961,0.082258
"user_annotation","python_gc/generation_1",6033730534452.668945,0.238432
"user_annotation","layer_0/recompute/attention",6033730558272.031250,55.435969
"user_annotation","layer_0/recompute/mlp",6033730613798.439453,1.246646
