gpu,start_ns,end_ns,duration_s
0,618685193,25430502313,24.81181712
1,628086149,25422108144,24.794021995
2,627028966,25422173891,24.795144925
3,631926751,25422229733,24.790302982
4,625414753,25422059695,24.796644942
5,625372302,25422093696,24.796721394
6,628050893,25422081927,24.794031034
7,625803902,25422036936,24.796233034
