
=== [1/13] preflight (laptop checks, no side effects)
20:39:07  project jrao123-vul = zq87jyw; tokens present; truss/ssh config OK

=== [2/13] create workstation job
20:39:10  creating: truss train workstation --node-count 1 --accelerator B200 --project-id jrao123-vul --team Parsed
Launching workstation jrao123-vul with 8x B200...

Workstation created!

Once the job is running, SSH in with:
  ssh training-job-w56e6mq-0.ssh.baseten.co

If you haven't set up SSH yet, run:
  truss ssh setup

View logs:
  truss train logs --job-id w56e6mq --tail

Stop the workstation:
  truss train stop --job-id w56e6mq
20:39:35  created job w56e6mq

21:01:45    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:02:00    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:02:16    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:02:31    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:02:46    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:03:01    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:03:17    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:03:32    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:03:47    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:04:02    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:04:18    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:04:33    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:04:48    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:05:04    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:05:19    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:05:34    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:05:49    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:06:05    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:06:20    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:06:35    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:06:50    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:07:06    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:07:21    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:07:36    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:07:51    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:08:07    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:08:22    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:08:37    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:08:52    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:09:08    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:09:23    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:09:38    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:09:54    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:10:09    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:10:24    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:10:39    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:10:55    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:11:10    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:11:25    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:11:41    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:11:56    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:12:11    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:12:27    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:12:42    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:12:57    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:13:12    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:13:28    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:13:44    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:13:59    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:14:14    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:14:29    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:14:45    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:15:00    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:15:15    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:15:31    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:15:46    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:16:01    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:16:16    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:16:32    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:16:47    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:17:02    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:17:18    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:17:33    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:17:48    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:18:03    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:18:19    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:18:34    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:18:49    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:19:05    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:19:20    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:19:35    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:19:50    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:20:06    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:20:21    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:20:36    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:20:52    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:21:07    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:21:22    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:21:37    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:21:53    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:22:08    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:22:23    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:22:38    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:22:54    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:23:09    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:23:24    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:23:40    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:23:55    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:24:10    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:24:25    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:24:41    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:24:56    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:25:11    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:25:27    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:25:42    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:25:57    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:26:12    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:26:28    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:26:43    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:26:58    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:27:14    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:27:29    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:27:44    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:28:00    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:28:15    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:28:30    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:28:45    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:29:01    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:29:16    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:29:31    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:29:47    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:30:02    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:30:17    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:30:32    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:30:48    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:31:03    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:31:18    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:31:34    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:31:49    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:32:08    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:32:23    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:32:38    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:32:53    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:33:09    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:33:24    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:33:39    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:33:54    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:34:10    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:34:25    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:34:40    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:34:55    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:35:11    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:35:26    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:35:41    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:35:57    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:36:12    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:36:27    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:36:43    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:36:58    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:37:13    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:37:28    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:37:44    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:37:59    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:38:14    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:38:29    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:38:45    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:39:00    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:39:15    status=TRAINING_JOB_DEPLOYING; waiting 15s
21:39:31    status=TRAINING_JOB_DEPLOYING; waiting 15s

21:39:46  FATAL [step wait for job w56e6mq to reach RUNNING]: job w56e6mq not RUNNING after 60m (last status TRAINING_JOB_DEPLOYING; B200 capacity?) — it is still queued; stop it with: truss train stop --remote baseten --job-id w56e6mq
