phase,gpu,metric,avg
step,7,NVLink TX Requests Protocol Data [Throughput %],0.75
step,7,NVLink TX Requests User Data [Throughput %],1.71
step,7,NVLink TX Responses Protocol Data [Throughput %],0.23
step,7,NVLink TX Responses User Data [Throughput %],1.4
forward,0,GR Active [Throughput %],93.63
forward,0,SMs Active [Throughput %],65.75
forward,0,SM Issue [Throughput %],25.53
forward,0,Tensor Active [Throughput %],21.31
forward,0,DRAM Read Bandwidth [Throughput %],11.12
forward,0,DRAM Write Bandwidth [Throughput %],7.3
forward,0,NVLink RX Requests Protocol Data [Throughput %],0.78
forward,0,NVLink RX Requests User Data [Throughput %],1.77
forward,0,NVLink RX Responses Protocol Data [Throughput %],0.23
forward,0,NVLink RX Responses User Data [Throughput %],1.41
forward,0,NVLink TX Requests Protocol Data [Throughput %],0.61
forward,0,NVLink TX Requests User Data [Throughput %],1.79
forward,0,NVLink TX Responses Protocol Data [Throughput %],0.41
forward,0,NVLink TX Responses User Data [Throughput %],1.59
forward,1,GR Active [Throughput %],92.13
forward,1,SMs Active [Throughput %],66.85
forward,1,SM Issue [Throughput %],26.05
forward,1,Tensor Active [Throughput %],22.19
forward,1,DRAM Read Bandwidth [Throughput %],11.14
forward,1,DRAM Write Bandwidth [Throughput %],7.3
forward,1,NVLink RX Requests Protocol Data [Throughput %],0.6
forward,1,NVLink RX Requests User Data [Throughput %],1.77
forward,1,NVLink RX Responses Protocol Data [Throughput %],0.35
forward,1,NVLink RX Responses User Data [Throughput %],1.56
forward,1,NVLink TX Requests Protocol Data [Throughput %],0.73
forward,1,NVLink TX Requests User Data [Throughput %],1.81
forward,1,NVLink TX Responses Protocol Data [Throughput %],0.23
forward,1,NVLink TX Responses User Data [Throughput %],1.41
forward,2,GR Active [Throughput %],91.91
forward,2,SMs Active [Throughput %],66.23
forward,2,SM Issue [Throughput %],25.85
forward,2,Tensor Active [Throughput %],21.73
forward,2,DRAM Read Bandwidth [Throughput %],11.12
forward,2,DRAM Write Bandwidth [Throughput %],7.33
forward,2,NVLink RX Requests Protocol Data [Throughput %],0.62
forward,2,NVLink RX Requests User Data [Throughput %],1.81
forward,2,NVLink RX Responses Protocol Data [Throughput %],0.34
forward,2,NVLink RX Responses User Data [Throughput %],1.55
forward,2,NVLink TX Requests Protocol Data [Throughput %],0.73
forward,2,NVLink TX Requests User Data [Throughput %],1.79
forward,2,NVLink TX Responses Protocol Data [Throughput %],0.23
forward,2,NVLink TX Responses User Data [Throughput %],1.44
forward,3,GR Active [Throughput %],91.36
forward,3,SMs Active [Throughput %],66.6
forward,3,SM Issue [Throughput %],25.93
forward,3,Tensor Active [Throughput %],22.11
forward,3,DRAM Read Bandwidth [Throughput %],11.23
forward,3,DRAM Write Bandwidth [Throughput %],7.36
forward,3,NVLink RX Requests Protocol Data [Throughput %],0.62
forward,3,NVLink RX Requests User Data [Throughput %],1.82
forward,3,NVLink RX Responses Protocol Data [Throughput %],0.34
forward,3,NVLink RX Responses User Data [Throughput %],1.53
forward,3,NVLink TX Requests Protocol Data [Throughput %],0.72
forward,3,NVLink TX Requests User Data [Throughput %],1.79
forward,3,NVLink TX Responses Protocol Data [Throughput %],0.23
forward,3,NVLink TX Responses User Data [Throughput %],1.45
forward,4,GR Active [Throughput %],92.65
forward,4,SMs Active [Throughput %],66.56
forward,4,SM Issue [Throughput %],25.91
forward,4,Tensor Active [Throughput %],21.93
forward,4,DRAM Read Bandwidth [Throughput %],11.21
forward,4,DRAM Write Bandwidth [Throughput %],7.3
forward,4,NVLink RX Requests Protocol Data [Throughput %],0.6
forward,4,NVLink RX Requests User Data [Throughput %],1.77
forward,4,NVLink RX Responses Protocol Data [Throughput %],0.35
forward,4,NVLink RX Responses User Data [Throughput %],1.55
forward,4,NVLink TX Requests Protocol Data [Throughput %],0.73
forward,4,NVLink TX Requests User Data [Throughput %],1.79
forward,4,NVLink TX Responses Protocol Data [Throughput %],0.23
forward,4,NVLink TX Responses User Data [Throughput %],1.4
forward,5,GR Active [Throughput %],92.11
forward,5,SMs Active [Throughput %],65.49
forward,5,SM Issue [Throughput %],25.66
forward,5,Tensor Active [Throughput %],21.26
forward,5,DRAM Read Bandwidth [Throughput %],11.11
forward,5,DRAM Write Bandwidth [Throughput %],7.23
forward,5,NVLink RX Requests Protocol Data [Throughput %],0.59
forward,5,NVLink RX Requests User Data [Throughput %],1.75
forward,5,NVLink RX Responses Protocol Data [Throughput %],0.35
forward,5,NVLink RX Responses User Data [Throughput %],1.55
forward,5,NVLink TX Requests Protocol Data [Throughput %],0.74
forward,5,NVLink TX Requests User Data [Throughput %],1.79
forward,5,NVLink TX Responses Protocol Data [Throughput %],0.23
forward,5,NVLink TX Responses User Data [Throughput %],1.37
forward,6,GR Active [Throughput %],92.52
forward,6,SMs Active [Throughput %],68.96
forward,6,SM Issue [Throughput %],26.5
forward,6,Tensor Active [Throughput %],23.37
forward,6,DRAM Read Bandwidth [Throughput %],11.61
forward,6,DRAM Write Bandwidth [Throughput %],7.59
forward,6,NVLink RX Requests Protocol Data [Throughput %],0.66
forward,6,NVLink RX Requests User Data [Throughput %],1.94
forward,6,NVLink RX Responses Protocol Data [Throughput %],0.32
forward,6,NVLink RX Responses User Data [Throughput %],1.51
forward,6,NVLink TX Requests Protocol Data [Throughput %],0.7
forward,6,NVLink TX Requests User Data [Throughput %],1.78
forward,6,NVLink TX Responses Protocol Data [Throughput %],0.25
forward,6,NVLink TX Responses User Data [Throughput %],1.57
forward,7,GR Active [Throughput %],91.97
forward,7,SMs Active [Throughput %],65.36
forward,7,SM Issue [Throughput %],25.66
forward,7,Tensor Active [Throughput %],21.26
forward,7,DRAM Read Bandwidth [Throughput %],11.07
forward,7,DRAM Write Bandwidth [Throughput %],7.2
forward,7,NVLink RX Requests Protocol Data [Throughput %],0.59
forward,7,NVLink RX Requests User Data [Throughput %],1.74
forward,7,NVLink RX Responses Protocol Data [Throughput %],0.36
forward,7,NVLink RX Responses User Data [Throughput %],1.56
forward,7,NVLink TX Requests Protocol Data [Throughput %],0.74
forward,7,NVLink TX Requests User Data [Throughput %],1.79
forward,7,NVLink TX Responses Protocol Data [Throughput %],0.23
forward,7,NVLink TX Responses User Data [Throughput %],1.39
backward,0,GR Active [Throughput %],96.63
backward,0,SMs Active [Throughput %],69.78
backward,0,SM Issue [Throughput %],20.13
backward,0,Tensor Active [Throughput %],21.98
backward,0,DRAM Read Bandwidth [Throughput %],11.68
backward,0,DRAM Write Bandwidth [Throughput %],7.05
backward,0,NVLink RX Requests Protocol Data [Throughput %],0.8
backward,0,NVLink RX Requests User Data [Throughput %],1.65
backward,0,NVLink RX Responses Protocol Data [Throughput %],0.23
backward,0,NVLink RX Responses User Data [Throughput %],1.44
backward,0,NVLink TX Requests Protocol Data [Throughput %],0.59
backward,0,NVLink TX Requests User Data [Throughput %],1.67
backward,0,NVLink TX Responses Protocol Data [Throughput %],0.45
backward,0,NVLink TX Responses User Data [Throughput %],1.66
backward,1,GR Active [Throughput %],94.54
backward,1,SMs Active [Throughput %],71.23
backward,1,SM Issue [Throughput %],20.46
backward,1,Tensor Active [Throughput %],22.98
backward,1,DRAM Read Bandwidth [Throughput %],11.75
backward,1,DRAM Write Bandwidth [Throughput %],7.1
backward,1,NVLink RX Requests Protocol Data [Throughput %],0.58
backward,1,NVLink RX Requests User Data [Throughput %],1.64
backward,1,NVLink RX Responses Protocol Data [Throughput %],0.36
backward,1,NVLink RX Responses User Data [Throughput %],1.59
backward,1,NVLink TX Requests Protocol Data [Throughput %],0.72
backward,1,NVLink TX Requests User Data [Throughput %],1.68
backward,1,NVLink TX Responses Protocol Data [Throughput %],0.23
backward,1,NVLink TX Responses User Data [Throughput %],1.42
backward,2,GR Active [Throughput %],96.16
backward,2,SMs Active [Throughput %],70.67
backward,2,SM Issue [Throughput %],20.34
backward,2,Tensor Active [Throughput %],22.52
backward,2,DRAM Read Bandwidth [Throughput %],11.75
backward,2,DRAM Write Bandwidth [Throughput %],7.13
backward,2,NVLink RX Requests Protocol Data [Throughput %],0.59
backward,2,NVLink RX Requests User Data [Throughput %],1.68
backward,2,NVLink RX Responses Protocol Data [Throughput %],0.38
backward,2,NVLink RX Responses User Data [Throughput %],1.6
backward,2,NVLink TX Requests Protocol Data [Throughput %],0.74
backward,2,NVLink TX Requests User Data [Throughput %],1.66
backward,2,NVLink TX Responses Protocol Data [Throughput %],0.23
backward,2,NVLink TX Responses User Data [Throughput %],1.46
backward,3,GR Active [Throughput %],96.12
backward,3,SMs Active [Throughput %],71.34
backward,3,SM Issue [Throughput %],20.51
backward,3,Tensor Active [Throughput %],22.93
backward,3,DRAM Read Bandwidth [Throughput %],11.87
backward,3,DRAM Write Bandwidth [Throughput %],7.18
backward,3,NVLink RX Requests Protocol Data [Throughput %],0.6
backward,3,NVLink RX Requests User Data [Throughput %],1.7
backward,3,NVLink RX Responses Protocol Data [Throughput %],0.37
backward,3,NVLink RX Responses User Data [Throughput %],1.6
backward,3,NVLink TX Requests Protocol Data [Throughput %],0.74
backward,3,NVLink TX Requests User Data [Throughput %],1.67
backward,3,NVLink TX Responses Protocol Data [Throughput %],0.23
backward,3,NVLink TX Responses User Data [Throughput %],1.49
backward,4,GR Active [Throughput %],96.38
backward,4,SMs Active [Throughput %],70.9
backward,4,SM Issue [Throughput %],20.37
backward,4,Tensor Active [Throughput %],22.68
backward,4,DRAM Read Bandwidth [Throughput %],11.81
backward,4,DRAM Write Bandwidth [Throughput %],7.14
backward,4,NVLink RX Requests Protocol Data [Throughput %],0.58
backward,4,NVLink RX Requests User Data [Throughput %],1.65
backward,4,NVLink RX Responses Protocol Data [Throughput %],0.38
backward,4,NVLink RX Responses User Data [Throughput %],1.61
backward,4,NVLink TX Requests Protocol Data [Throughput %],0.75
backward,4,NVLink TX Requests User Data [Throughput %],1.67
backward,4,NVLink TX Responses Protocol Data [Throughput %],0.23
backward,4,NVLink TX Responses User Data [Throughput %],1.43
backward,5,GR Active [Throughput %],95.35
backward,5,SMs Active [Throughput %],69.9
backward,5,SM Issue [Throughput %],20.13
backward,5,Tensor Active [Throughput %],22.05
backward,5,DRAM Read Bandwidth [Throughput %],11.72
backward,5,DRAM Write Bandwidth [Throughput %],7.09
backward,5,NVLink RX Requests Protocol Data [Throughput %],0.57
backward,5,NVLink RX Requests User Data [Throughput %],1.62
backward,5,NVLink RX Responses Protocol Data [Throughput %],0.38
backward,5,NVLink RX Responses User Data [Throughput %],1.6
backward,5,NVLink TX Requests Protocol Data [Throughput %],0.74
backward,5,NVLink TX Requests User Data [Throughput %],1.67
backward,5,NVLink TX Responses Protocol Data [Throughput %],0.22
backward,5,NVLink TX Responses User Data [Throughput %],1.4
backward,6,GR Active [Throughput %],96.41
backward,6,SMs Active [Throughput %],73.83
backward,6,SM Issue [Throughput %],21.14
backward,6,Tensor Active [Throughput %],24.18
backward,6,DRAM Read Bandwidth [Throughput %],12.34
backward,6,DRAM Write Bandwidth [Throughput %],7.49
backward,6,NVLink RX Requests Protocol Data [Throughput %],0.65
backward,6,NVLink RX Requests User Data [Throughput %],1.81
backward,6,NVLink RX Responses Protocol Data [Throughput %],0.35
backward,6,NVLink RX Responses User Data [Throughput %],1.57
backward,6,NVLink TX Requests Protocol Data [Throughput %],0.71
backward,6,NVLink TX Requests User Data [Throughput %],1.65
backward,6,NVLink TX Responses Protocol Data [Throughput %],0.25
backward,6,NVLink TX Responses User Data [Throughput %],1.61
backward,7,GR Active [Throughput %],96.24
backward,7,SMs Active [Throughput %],69.84
backward,7,SM Issue [Throughput %],20.1
backward,7,Tensor Active [Throughput %],22.07
backward,7,DRAM Read Bandwidth [Throughput %],11.63
backward,7,DRAM Write Bandwidth [Throughput %],7.05
backward,7,NVLink RX Requests Protocol Data [Throughput %],0.58
backward,7,NVLink RX Requests User Data [Throughput %],1.63
backward,7,NVLink RX Responses Protocol Data [Throughput %],0.39
backward,7,NVLink RX Responses User Data [Throughput %],1.62
backward,7,NVLink TX Requests Protocol Data [Throughput %],0.75
backward,7,NVLink TX Requests User Data [Throughput %],1.67
backward,7,NVLink TX Responses Protocol Data [Throughput %],0.22
backward,7,NVLink TX Responses User Data [Throughput %],1.41
optimizer,0,GR Active [Throughput %],20.84
optimizer,0,SMs Active [Throughput %],9.73
optimizer,0,SM Issue [Throughput %],1.11
optimizer,0,Tensor Active [Throughput %],0.0
optimizer,0,DRAM Read Bandwidth [Throughput %],1.77
optimizer,0,DRAM Write Bandwidth [Throughput %],1.45
optimizer,0,NVLink RX Requests Protocol Data [Throughput %],0.0
optimizer,0,NVLink RX Requests User Data [Throughput %],0.0
optimizer,0,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,0,NVLink RX Responses User Data [Throughput %],0.0
optimizer,0,NVLink TX Requests Protocol Data [Throughput %],0.0
optimizer,0,NVLink TX Requests User Data [Throughput %],0.0
optimizer,0,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,0,NVLink TX Responses User Data [Throughput %],0.0
optimizer,1,GR Active [Throughput %],24.12
optimizer,1,SMs Active [Throughput %],9.79
optimizer,1,SM Issue [Throughput %],1.16
optimizer,1,Tensor Active [Throughput %],0.0
optimizer,1,DRAM Read Bandwidth [Throughput %],1.84
optimizer,1,DRAM Write Bandwidth [Throughput %],1.52
optimizer,1,NVLink RX Requests Protocol Data [Throughput %],0.0
optimizer,1,NVLink RX Requests User Data [Throughput %],0.0
optimizer,1,NVLink RX Responses Protocol Data [Throughput %],0.0
optimizer,1,NVLink RX Responses User Data [Throughput %],0.0
optimizer,1,NVLink TX Requests Protocol Data [Throughput %],0.0
optimizer,1,NVLink TX Requests User Data [Throughput %],0.0
optimizer,1,NVLink TX Responses Protocol Data [Throughput %],0.0
optimizer,1,NVLink TX Responses User Data [Throughput %],0.0
optimizer,2,GR Active [Throughput %],24.75
optimizer,2,SMs Active [Throughput %],9.77
optimizer,2,SM Issue [Throughput %],1.2
optimizer,2,Tensor Active [Throughput %],0.0
optimizer,2,DRAM Read Bandwidth [Throughput %],1.81
optimizer,2,DRAM Write Bandwidth [Throughput %],1.53
optimizer,2,NVLink RX Requests Protocol Data [Throughput %],0.01
optimizer,2,NVLink RX Requests User Data [Throughput %],0.01
optimizer,2,NVLink RX Responses Protocol Data [Throughput %],0.01
