"ts_us","dur_us","name"
6029610413548.575195,34145.891000,"block_0/forward"
6029610447842.577148,130266.548000,"block_1/forward"
6029610578257.356445,141254.416000,"block_2/forward"
6029610909704.370117,102360.061000,"block_2/backward_including_recompute"
6029610909855.086914,60535.318000,"block_2/recompute"
6029611012159.799805,132618.829000,"block_1/backward_including_recompute"
6029611012314.011719,121971.316000,"block_1/recompute"
6029611144870.822266,165353.353000,"block_0/backward_including_recompute"
6029611145026.982422,159742.618000,"block_0/recompute"
