gpu,category,kernels,summed_gpu_s,max_ms,median_us
6,moe_permute,450,0.869,3.635,1815.7
6,hybridep_combine,225,0.85,4.399,3779.4
6,hybridep_dispatch,225,0.761,4.206,3481.1
6,nccl,428,0.431,18.805,450.5
6,activation,606,0.421,1.609,793.3
6,norm,1251,0.306,0.977,45.0
6,topk_router,683,0.144,0.581,20.4
6,hybridep_meta,750,0.087,1.546,1.7
6,cub_scan_sort,1278,0.076,2.053,1.8
6,other,1075,0.014,0.087,2.3
6,cross_entropy,8,0.006,0.76,757.3
6,nonzero_cub,369,0.001,0.006,1.6
7,gemm,21562,4.82,7.117,72.6
7,hybridep_sync,900,4.726,698.538,80.6
7,dsa_backward,312,3.718,52.334,527.8
7,cat_copy,10475,2.901,7.493,14.5
7,elementwise,35059,2.113,1.998,8.8
7,dsa_forward,156,1.243,8.776,7913.6
7,dsa_indexer,798,1.179,2.794,1383.1
7,hybridep_dispatch,225,0.972,5.003,4395.1
7,hybridep_combine,225,0.87,4.403,3899.1
7,moe_permute,450,0.745,3.357,1620.0
7,nccl,428,0.565,24.998,619.0
7,activation,540,0.352,1.625,758.1
7,norm,1251,0.305,0.963,45.2
7,topk_router,683,0.143,0.599,20.2
7,hybridep_meta,750,0.086,1.569,1.9
7,cub_scan_sort,1278,0.076,2.036,2.3
7,other,1075,0.014,0.086,2.3
7,cross_entropy,8,0.006,0.759,757.1
7,nonzero_cub,369,0.001,0.006,2.0
