waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
0,5984937639,7.868,3,0.001,1.034,laggard_gpu_busy,gemm=5.2ms;moe_permute=2.8ms;hybridep_combine=0.1ms,forward|moe
0,6051641183,12.733,2,0.0,1.027,laggard_gpu_busy,gemm=6.1ms;elementwise=3.3ms;moe_permute=2.8ms,forward|attention|dsa_indexer
0,6187179306,26.668,1,0.0,1.011,laggard_gpu_busy,gemm=13.3ms;elementwise=7.3ms;moe_permute=2.9ms,forward|moe
0,6265196856,26.115,2,0.0,1.016,laggard_gpu_busy,gemm=12.5ms;elementwise=7.3ms;moe_permute=3.1ms,forward|moe
0,6420325704,10.413,4,0.0,1.028,laggard_gpu_busy,gemm=6.9ms;moe_permute=2.8ms;cat_copy=0.7ms,forward|attention|dsa_indexer
0,6556489051,17.706,1,0.0,1.015,laggard_gpu_busy,gemm=6.7ms;elementwise=6.6ms;moe_permute=2.8ms,forward|moe
0,6629518375,13.208,1,0.0,1.019,laggard_gpu_busy,gemm=5.5ms;elementwise=4.8ms;moe_permute=2.5ms,forward|moe
0,6768548000,23.921,1,0.0,1.013,laggard_gpu_busy,elementwise=8.6ms;gemm=8.2ms;moe_permute=3.4ms,forward|attention|dsa_indexer
0,6917753633,17.137,1,0.0,1.016,laggard_gpu_busy,gemm=6.3ms;elementwise=6.1ms;moe_permute=2.6ms,forward|moe
0,6994926372,10.362,4,0.0,1.031,laggard_gpu_busy,gemm=6.0ms;moe_permute=2.6ms;elementwise=1.3ms,forward|moe
0,7133327957,16.584,3,0.0,1.02,laggard_gpu_busy,gemm=6.7ms;elementwise=6.4ms;moe_permute=3.0ms,forward|attention|dsa_indexer
0,7274624749,17.026,1,0.0,1.017,laggard_gpu_busy,gemm=6.3ms;elementwise=6.3ms;moe_permute=2.6ms,forward|moe
0,7342653014,22.969,1,0.0,1.047,laggard_gpu_busy,gemm=11.9ms;elementwise=6.3ms;moe_permute=2.8ms,forward|moe
0,7490670087,21.393,5,0.0,1.012,laggard_gpu_busy,gemm=9.3ms;elementwise=6.3ms;moe_permute=2.8ms,forward|attention|dsa_indexer
0,7647491630,8.555,4,0.0,1.039,laggard_gpu_busy,gemm=6.2ms;moe_permute=2.6ms;elementwise=0.1ms,forward|moe
0,7704940842,33.855,6,0.0,1.024,laggard_gpu_busy,gemm=18.8ms;elementwise=8.6ms;moe_permute=3.2ms,forward|moe
