category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_32x128_64x10_1x4_2cta_h_bz_NTN,624,0.012,151.2,0.157
gemm,nvjet_sm103_tst_128x160_64x8_2x1_2cta_v_bz_NNT,1366,0.011,57.6,0.212
gemm,nvjet_sm103_tst_256x224_64x4_2x1_2cta_v_bz_NNT,813,0.011,101.4,0.24
gemm,nvjet_sm103_tst_256x224_64x4_2x2_2cta_h_bz_TNT,632,0.009,118.6,0.223
gemm,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_TNT,912,0.008,63.9,0.158
gemm,nvjet_sm103_tst_256x136_64x4_1x2_h_bz_TNT,930,0.008,40.3,0.262
gemm,nvjet_sm103_tst_256x240_64x4_2x2_2cta_h_bz_TNT,472,0.007,128.8,0.237
gemm,splitKreduce_kernel,9039,0.007,3.4,0.064
gemm,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_TNT,860,0.006,54.1,0.154
gemm,nvjet_sm103_tst_128x240_64x6_2x1_2cta_v_bz_TNT,756,0.005,33.2,0.191
gemm,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_TNT,654,0.005,59.0,0.166
gemm,nvjet_sm103_tst_256x136_64x4_1x2_h_bz_NNT,563,0.005,69.4,0.183
gemm,nvjet_sm103_tst_64x32_64x16_2x1_2cta_v_bz_splitK_NTT,1224,0.005,33.2,0.036
gemm,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_TNT,602,0.004,43.8,0.127
gemm,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_NNT,650,0.004,51.6,0.127
gemm,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_NNT,520,0.004,61.7,0.116
gemm,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN,762,0.004,28.2,0.127
gemm,nvjet_sm103_tst_256x128_64x5_2x4f_2cta_h_bz_NNT,263,0.004,119.0,0.236
gemm,nvjet_sm103_tst_256x136_64x4_2x1_v_bz_TNT,418,0.004,72.1,0.182
gemm,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_NNT,135,0.004,194.7,0.782
gemm,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_NNT,442,0.003,59.8,0.185
gemm,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_TNT,548,0.003,31.6,0.186
gemm,nvjet_sm103_tst_128x232_64x4_2x1_v_bz_TNT,300,0.003,41.3,0.265
gemm,nvjet_sm103_tst_128x232_64x4_4x1f_v_bz_TNT,172,0.003,119.3,0.234
gemm,nvjet_sm103_tst_128x240_64x6_2x1_2cta_v_bz_NNT,380,0.003,65.3,0.167
gemm,nvjet_sm103_tst_128x256_64x6_4x1f_2cta_v_bz_NNT,151,0.003,118.0,0.295
gemm,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_TNT,688,0.003,36.8,0.121
gemm,nvjet_sm103_tst_192x224_64x5_2x2_2cta_h_bz_TNT,282,0.003,73.5,0.108
gemm,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_NNT,215,0.003,101.9,0.24
gemm,nvjet_sm103_tst_256x120_64x4_1x4f_h_bz_TNT,214,0.003,114.8,0.239
gemm,nvjet_sm103_tst_256x136_64x4_1x4_h_bz_TNT,308,0.003,67.0,0.149
gemm,nvjet_sm103_tst_64x512_64x5_2x2_2cta_h_bz_TNT,336,0.003,74.1,0.076
gemm,nvjet_sm103_tst_96x128_64x9_2x2_2cta_h_bz_NNN,625,0.003,33.2,0.108
gemm,nvjet_sm103_tst_96x64_64x13_2x2_2cta_h_bz_NNN,878,0.003,27.5,0.109
gemm,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_TNT,326,0.002,50.3,0.136
gemm,nvjet_sm103_tst_128x128_64x8_2x1_2cta_v_bz_NNT,438,0.002,39.0,0.123
gemm,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_NNT,305,0.002,41.3,0.119
gemm,nvjet_sm103_tst_128x144_64x8_2x2_2cta_h_bz_TNT,406,0.002,46.3,0.137
gemm,nvjet_sm103_tst_128x208_64x7_2x1_2cta_v_bz_NNT,358,0.002,45.7,0.12
gemm,nvjet_sm103_tst_128x208_64x7_2x2_2cta_h_bz_TNT,282,0.002,55.5,0.133
