gpu,idle_s,gaps_over_1ms,max_gap_ms,idle_pct
0,0.331,5,5.881,1.33
1,0.615,3,258.317,2.48
2,0.364,5,15.138,1.47
3,0.374,7,15.471,1.51
4,0.34,4,3.461,1.37
5,0.342,1,3.514,1.38
6,1.021,3,673.925,4.12
7,0.326,3,3.422,1.31
