gpu,idle_s,gaps_over_1ms,max_gap_ms,idle_pct
0,1.426,6,47.163,5.2
1,1.931,10,321.904,7.05
2,1.648,11,6.885,6.02
3,1.711,8,4.725,6.25
4,1.548,6,7.059,5.65
5,1.78,6,128.417,6.5
6,1.553,7,6.359,5.67
7,1.631,7,5.499,5.95
