gpu,start_ns,end_ns,duration_s
0,1714576381,29134448726,27.419872345
1,1727480475,29125456892,27.397976417
2,1728157226,29125480799,27.397323573
3,1726641184,29125471639,27.398830455
4,1727389274,29125413841,27.398024567
5,1728279140,29125457863,27.397178723
6,1728402569,29125407533,27.397004964
7,1727824816,29125472785,27.397647969
