step,loss
1,1.5649
2,1.2503
3,3.0294
4,1.1613
5,1.0827
6,0.5999
7,2.3167
8,0.8307
9,0.8143
10,0.4162
11,1.7932
12,0.6566
13,0.7725
14,0.3895
15,1.3348
16,0.4972
17,0.6734
18,0.329
19,0.9237
20,0.3681
21,0.5414
22,0.2762
23,0.5795
24,0.277
25,0.4428
