step,loss
1,1.6403
2,1.3521
3,1.4327
4,1.3756
5,2.219
6,0.7472
7,1.2023
8,0.7858
9,1.9441
10,1.0664
11,0.0177
12,0.2538
13,0.4383
14,0.2311
15,1.1366
16,0.4273
17,2.8601
18,1.1189
19,2.0129
20,0.3851
