category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_tst_256x208_64x4_2x1_2cta_v_bz_NNT,993,0.012,94.0,0.222
gemm,nvjet_sm103_tst_32x128_64x10_1x2_2cta_h_bz_splitK_NTN,1848,0.012,59.8,0.064
gemm,nvjet_sm103_tst_32x128_64x10_1x4_2cta_h_bz_NTN,624,0.012,151.1,0.159
gemm,nvjet_sm103_tst_128x160_64x8_2x1_2cta_v_bz_NNT,1402,0.011,58.5,0.211
gemm,nvjet_sm103_tst_256x224_64x4_2x1_2cta_v_bz_NNT,818,0.011,99.8,0.241
gemm,nvjet_sm103_tst_256x224_64x4_2x2_2cta_h_bz_TNT,654,0.01,123.4,0.235
gemm,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_TNT,910,0.008,63.7,0.173
gemm,nvjet_sm103_tst_256x136_64x4_1x2_h_bz_TNT,920,0.008,41.2,0.263
gemm,nvjet_sm103_tst_256x240_64x4_2x2_2cta_h_bz_TNT,448,0.007,127.4,0.234
gemm,splitKreduce_kernel,9021,0.007,3.5,0.07
gemm,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_TNT,834,0.006,52.3,0.13
gemm,nvjet_sm103_tst_128x240_64x6_2x1_2cta_v_bz_TNT,740,0.005,33.7,0.253
gemm,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_TNT,628,0.005,61.2,0.173
gemm,nvjet_sm103_tst_256x136_64x4_1x2_h_bz_NNT,570,0.005,69.9,0.211
gemm,nvjet_sm103_tst_64x32_64x16_2x1_2cta_v_bz_splitK_NTT,1224,0.005,33.2,0.037
gemm,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_TNT,608,0.004,44.2,0.123
gemm,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_NNT,595,0.004,53.1,0.129
gemm,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_NNT,508,0.004,63.7,0.146
gemm,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_NNT,463,0.004,61.4,0.173
gemm,nvjet_sm103_tst_256x128_64x5_2x4f_2cta_h_bz_NNT,289,0.004,120.6,0.194
gemm,nvjet_sm103_tst_256x136_64x4_2x1_v_bz_TNT,422,0.004,72.2,0.197
gemm,nvjet_sm103_tst_256x256_64x4_2x2f_2cta_h_bz_NNT,145,0.004,197.7,0.751
gemm,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_TNT,558,0.003,30.6,0.242
gemm,nvjet_sm103_tst_128x232_64x4_2x1_v_bz_TNT,310,0.003,53.9,0.206
gemm,nvjet_sm103_tst_128x240_64x6_2x1_2cta_v_bz_NNT,385,0.003,66.2,0.171
gemm,nvjet_sm103_tst_128x256_64x6_4x1f_2cta_v_bz_NNT,160,0.003,118.5,0.258
gemm,nvjet_sm103_tst_128x64_64x10_2x2_2cta_h_bz_TNT,636,0.003,36.2,0.118
gemm,nvjet_sm103_tst_176x128_64x8_1x2_2cta_h_bz_TNN,732,0.003,27.8,0.129
gemm,nvjet_sm103_tst_192x224_64x5_2x2_2cta_h_bz_TNT,302,0.003,74.2,0.159
gemm,nvjet_sm103_tst_192x288_64x5_2x1_2cta_v_bz_NNT,198,0.003,101.5,0.236
gemm,nvjet_sm103_tst_256x120_64x4_1x4f_h_bz_TNT,210,0.003,117.9,0.229
gemm,nvjet_sm103_tst_256x136_64x4_1x4_h_bz_TNT,318,0.003,67.5,0.152
gemm,nvjet_sm103_tst_64x512_64x5_2x2_2cta_h_bz_TNT,336,0.003,74.1,0.077
gemm,nvjet_sm103_tst_96x128_64x9_2x2_2cta_h_bz_NNN,621,0.003,32.9,0.078
gemm,nvjet_sm103_tst_96x64_64x13_2x2_2cta_h_bz_NNN,855,0.003,27.4,0.081
gemm,nvjet_sm103_tst_128x120_64x6_1x4_h_bz_TNT,336,0.002,50.2,0.083
