what,gpu,instances,wall_s,gpu_kernel_s
layer_forward,0,78,6.75,6.765
layer_recompute_forward,0,78,8.696,5.119
backward_minus_recompute_forward,0,1,,10.235
layer_forward,1,78,6.741,6.766
layer_recompute_forward,1,78,8.66,5.109
backward_minus_recompute_forward,1,1,,10.247
layer_forward,2,78,6.736,6.758
layer_recompute_forward,2,78,8.657,5.113
backward_minus_recompute_forward,2,1,,10.235
layer_forward,3,78,6.736,6.754
layer_recompute_forward,3,78,8.679,5.103
backward_minus_recompute_forward,3,1,,10.24
layer_forward,4,78,6.701,6.724
layer_recompute_forward,4,78,8.679,5.105
backward_minus_recompute_forward,4,1,,10.24
layer_forward,5,78,6.697,6.712
layer_recompute_forward,5,78,8.697,5.114
backward_minus_recompute_forward,5,1,,10.238
layer_forward,6,78,6.696,6.719
layer_recompute_forward,6,78,8.676,5.105
backward_minus_recompute_forward,6,1,,10.243
layer_forward,7,78,6.698,6.717
layer_recompute_forward,7,78,8.68,5.095
backward_minus_recompute_forward,7,1,,10.232
