gpu,start_ns,end_ns,duration_s
0,1289854474,23899397633,22.609543159
1,1300479921,23890138517,22.589658596
2,1301553891,23890182723,22.588628832
3,1302533700,23890193164,22.587659464
4,1340578668,23890147512,22.549568844
5,1341590728,23890152330,22.548561602
6,1341209616,23890176294,22.548966678
7,1340135799,23890176211,22.550040412
