waiting_gpu,start_ns,wait_ms,laggard_gpu,laggard_sync_frac,laggard_busy_frac,kind,laggard_top_categories,laggard_nvtx
2,1833576126,6.095,5,0.001,1.068,laggard_gpu_busy,gemm=4.1ms;moe_permute=2.4ms;hybridep_meta=0.0ms,forward|attention|dsa_indexer
2,2100251474,12.572,6,0.0,1.024,laggard_gpu_busy,gemm=8.3ms;moe_permute=3.7ms;activation=0.6ms,forward|moe
2,2171930053,12.011,6,0.0,1.04,laggard_gpu_busy,gemm=8.2ms;moe_permute=3.0ms;activation=1.0ms,forward|attention|dsa_indexer
2,2447644302,15.121,4,0.0,0.963,laggard_gpu_busy,gemm=10.3ms;moe_permute=2.9ms;activation=1.0ms,forward|moe
2,2520050288,22.176,4,0.0,1.04,laggard_gpu_busy,gemm=17.9ms;moe_permute=3.5ms;activation=1.3ms,forward|attention|dsa_indexer
2,2676148486,14.831,3,0.0,1.045,laggard_gpu_busy,gemm=11.0ms;moe_permute=3.1ms;activation=1.1ms,forward|moe
2,2809770905,21.738,4,0.0,1.037,laggard_gpu_busy,gemm=17.1ms;moe_permute=3.9ms;activation=1.2ms,forward|moe
2,2896707100,9.217,0,0.0,1.025,laggard_gpu_busy,gemm=6.4ms;moe_permute=3.1ms;hybridep_combine=0.0ms,forward|attention|dsa_indexer
2,3029619819,18.114,6,0.0,1.02,laggard_gpu_busy,gemm=13.9ms;moe_permute=3.1ms;activation=1.1ms,forward|moe
2,3100489830,8.619,4,0.001,1.034,laggard_gpu_busy,gemm=5.5ms;moe_permute=2.5ms;activation=0.6ms,forward|moe
2,3225907892,7.375,5,0.001,1.033,laggard_gpu_busy,gemm=5.1ms;moe_permute=2.5ms;hybridep_meta=0.0ms,forward|attention|dsa_indexer
2,3358334497,10.79,7,0.0,1.057,laggard_gpu_busy,gemm=7.5ms;moe_permute=2.8ms;activation=0.9ms,forward|moe
2,3418403597,13.76,6,0.0,1.084,laggard_gpu_busy,gemm=11.0ms;moe_permute=2.8ms;activation=0.8ms,forward|moe
2,3489525033,11.438,3,0.0,1.036,laggard_gpu_busy,gemm=7.7ms;moe_permute=2.9ms;activation=1.0ms,forward|moe
