gpu,start_ns,end_ns,duration_s
0,800830091,24129616381,23.32878629
1,813238890,24120340424,23.307101534
2,817716995,24120319142,23.302602147
3,855811141,24120298432,23.264487291
4,814051549,24120356557,23.306305008
5,813073283,24120550267,23.307476984
6,828837743,24120457063,23.29161932
7,821582330,24120289340,23.29870701
