"category","name","calls","sum_ms","max_ms"
"cuda_runtime","cudaStreamSynchronize",91,1757.796145,727.914516
"cuda_runtime","cudaEventSynchronize",4,108.514807,50.883496
"user_annotation","python_gc/generation_0",15,3.337990,1.912084
"user_annotation","python_gc/generation_1",1,1.688944,1.688944
