category,kernel,instances_all_gpus,s_per_gpu,median_us,max_ms
gemm,nvjet_sm103_sss_tf32_384x128_32x3_2x2_2cta_h_bz_splitK_NTT,600,0.012,163.9,0.18
gemm,nvjet_sm103_tss_128x256_64x6_2x2_2cta_h_bz_TNT,1200,0.012,79.9,0.083
gemm,nvjet_sm103_tst_32x128_64x10_1x4_2cta_h_bz_NTN,624,0.012,152.1,0.157
gemm,nvjet_sm103_tst_128x160_64x8_2x1_2cta_v_bz_NNT,1385,0.011,58.0,0.206
gemm,nvjet_sm103_tst_256x224_64x4_2x1_2cta_v_bz_NNT,807,0.011,101.0,0.242
gemm,nvjet_sm103_tst_256x224_64x4_2x2_2cta_h_bz_TNT,622,0.009,130.4,0.233
gemm,nvjet_sm103_tst_256x136_64x4_1x2_h_bz_TNT,920,0.008,40.8,0.226
gemm,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_TNT,894,0.007,63.5,0.167
gemm,nvjet_sm103_tst_256x240_64x4_2x2_2cta_h_bz_TNT,452,0.007,125.1,0.244
gemm,splitKreduce_kernel,9016,0.007,3.5,0.102
gemm,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_TNT,810,0.006,53.3,0.104
gemm,nvjet_sm103_tst_128x240_64x6_2x1_2cta_v_bz_TNT,752,0.005,33.7,0.218
gemm,nvjet_sm103_tst_256x128_64x5_2x2_2cta_h_bz_TNT,652,0.005,62.0,0.168
gemm,nvjet_sm103_tst_256x136_64x4_1x2_h_bz_NNT,580,0.005,70.0,0.18
gemm,nvjet_sm103_tst_64x32_64x16_2x1_2cta_v_bz_splitK_NTT,1224,0.005,33.2,0.036
gemm,nvjet_sm103_tst_128x128_64x8_2x2_2cta_h_bz_TNT,618,0.004,43.8,0.126
gemm,nvjet_sm103_tst_128x160_64x8_2x2_2cta_h_bz_NNT,616,0.004,52.1,0.107
gemm,nvjet_sm103_tst_128x192_64x7_2x2_2cta_h_bz_NNT,505,0.004,61.8,0.157
gemm,nvjet_sm103_tst_128x224_64x7_2x1_2cta_v_bz_NNT,457,0.004,60.9,0.168
gemm,nvjet_sm103_tst_128x240_64x6_2x1_2cta_v_bz_NNT,387,0.004,66.5,0.175
gemm,nvjet_sm103_tst_256x128_64x5_2x4f_2cta_h_bz_NNT,275,0.004,118.2,0.21
