"category","name","calls","sum_ms","max_ms"
"cuda_runtime","cudaStreamSynchronize",95,838.555737,596.098365
"cuda_runtime","cudaEventSynchronize",4,94.548633,38.876270
"user_annotation","python_gc/generation_0",14,2.528871,1.255325
"user_annotation","python_gc/generation_1",2,2.256040,2.054391
