"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6042179602038.300781,21.521928
"user_annotation","python_gc/generation_0",6042179618810.208008,0.704243
"user_annotation","layer_0/forward/mlp",6042179623632.200195,1.330758
"user_annotation","layer_1/forward/attention",6042179625221.345703,3.168274
"user_annotation","layer_1/forward/mlp",6042179628462.398438,446.935725
"user_annotation","layer_2/forward/attention",6042180075668.981445,19.816489
"user_annotation","layer_2/forward/mlp",6042180095559.912109,301.067087
"user_annotation","python_gc/generation_0",6042180459696.301758,0.111889
"user_annotation","layer_2/recompute/attention",6042181252259.041016,5.100713
"user_annotation","layer_2/recompute/mlp",6042181257453.818359,162.328151
"user_annotation","python_gc/generation_0",6042181409029.252930,0.168738
"user_annotation","layer_1/recompute/attention",6042181614917.659180,3.793639
"user_annotation","layer_1/recompute/mlp",6042181618799.608398,404.483469
"user_annotation","layer_0/recompute/attention",6042182239188.444336,5.027586
"user_annotation","layer_0/recompute/mlp",6042182244304.019531,1.257792
