"ts_us","dur_us","name"
6030090443674.251953,34378.983000,"block_0/forward"
6030090478195.958008,145867.227000,"block_1/forward"
6030090624181.250977,128219.441000,"block_2/forward"
6030090946014.920898,103607.813000,"block_2/backward_including_recompute"
6030090946162.777344,76318.933000,"block_2/recompute"
6030091049753.960938,159466.413000,"block_1/backward_including_recompute"
6030091049888.410156,138597.525000,"block_1/recompute"
6030091209320.990234,225803.744000,"block_0/backward_including_recompute"
6030091209492.865234,220342.504000,"block_0/recompute"
