"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6065072130164.935547,24.116466
"user_annotation","layer_0/forward/mlp",6065072154367.827148,1.528079
"user_annotation","layer_1/forward/attention",6065072157498.411133,74.069763
"user_annotation","layer_1/forward/mlp",6065072231646.928711,1.413196
"user_annotation","layer_2/forward/attention",6065072234566.430664,89.340502
"user_annotation","layer_2/forward/mlp",6065072323986.343750,1.288016
"user_annotation","layer_3/forward/attention",6065072331944.791992,4.930479
"user_annotation","layer_3/forward/mlp",6065072336955.217773,128.961508
"user_annotation","layer_4/forward/attention",6065072473891.954102,5.031902
"user_annotation","layer_4/forward/mlp",6065072479003.568359,72.429255
"user_annotation","layer_5/forward/attention",6065072559290.428711,4.943813
"user_annotation","layer_5/forward/mlp",6065072564313.166016,72.629492
"user_annotation","layer_6/forward/attention",6065072644940.189453,45.559670
"user_annotation","layer_6/forward/mlp",6065072690576.489258,65.474840
"user_annotation","layer_7/forward/attention",6065072764064.771484,5.031624
"user_annotation","layer_7/forward/mlp",6065072769175.899414,70.345122
"user_annotation","layer_8/forward/attention",6065072847474.088867,5.011698
"user_annotation","layer_8/forward/mlp",6065072852566.810547,69.022800
"user_annotation","layer_9/forward/attention",6065072929419.736328,5.018463
"user_annotation","layer_9/forward/mlp",6065072934527.388672,71.324758
"user_annotation","layer_10/forward/attention",6065073013764.559570,50.453935
"user_annotation","layer_10/forward/mlp",6065073064296.623047,67.766280
"user_annotation","layer_11/forward/attention",6065073139779.912109,5.403693
"user_annotation","layer_11/forward/mlp",6065073145260.838867,71.061922
"user_annotation","layer_12/forward/attention",6065073224135.609375,4.861716
"user_annotation","layer_12/forward/mlp",6065073229075.318359,67.354758
"user_annotation","layer_13/forward/attention",6065073304113.334961,5.014535
"user_annotation","layer_13/forward/mlp",6065073309204.299805,71.073815
"user_annotation","layer_14/forward/attention",6065073388147.210938,48.645430
"user_annotation","layer_14/forward/mlp",6065073436871.576172,63.925662
"user_annotation","layer_15/forward/attention",6065073508432.109375,4.942683
"user_annotation","layer_15/forward/mlp",6065073513453.954102,70.100759
"user_annotation","layer_16/forward/attention",6065073591374.090820,4.861845
"user_annotation","layer_16/forward/mlp",6065073596318.756836,70.367807
"user_annotation","layer_17/forward/attention",6065073674362.313477,4.926452
"user_annotation","layer_17/forward/mlp",6065073679367.702148,66.188871
"user_annotation","layer_18/forward/attention",6065073753251.088867,46.821454
"user_annotation","layer_18/forward/mlp",6065073800148.597656,64.683091
"user_annotation","layer_19/forward/attention",6065073872412.750000,4.947157
"user_annotation","layer_19/forward/mlp",6065073877437.483398,70.917460
"user_annotation","layer_20/forward/attention",6065073956037.324219,4.834509
"user_annotation","layer_20/forward/mlp",6065073960951.874023,66.807586
"user_annotation","layer_21/forward/attention",6065074035929.767578,5.495249
"user_annotation","layer_21/forward/mlp",6065074041514.633789,69.252819
"user_annotation","layer_22/forward/attention",6065074118554.069336,45.989567
"user_annotation","layer_22/forward/mlp",6065074164619.920898,63.250189
"user_annotation","layer_23/forward/attention",6065074235647.100586,4.995755
"user_annotation","layer_23/forward/mlp",6065074240722.600586,69.509968
"user_annotation","layer_24/forward/attention",6065074317976.203125,5.162210
"user_annotation","layer_24/forward/mlp",6065074323218.585938,70.357823
"user_annotation","layer_25/forward/attention",6065074401330.131836,5.154050
"user_annotation","layer_25/forward/mlp",6065074406561.416992,66.647561
"user_annotation","layer_26/forward/attention",6065074480870.921875,48.709318
"user_annotation","layer_26/forward/mlp",6065074529657.810547,62.677990
"user_annotation","layer_27/forward/attention",6065074600245.632812,5.232652
"user_annotation","layer_27/forward/mlp",6065074605555.044922,69.413929
"user_annotation","layer_28/forward/attention",6065074682728.178711,5.077196
"user_annotation","layer_28/forward/mlp",6065074687884.989258,73.952043
"user_annotation","layer_29/forward/attention",6065074769627.315430,5.218609
"user_annotation","layer_29/forward/mlp",6065074774925.256836,73.842049
"user_annotation","layer_30/forward/attention",6065074856433.565430,48.118354
"user_annotation","layer_30/forward/mlp",6065074904631.115234,65.435849
"user_annotation","layer_31/forward/attention",6065074977883.524414,5.212088
"user_annotation","layer_31/forward/mlp",6065074983174.517578,67.206005
"user_annotation","layer_32/forward/attention",6065075058231.900391,5.067779
"user_annotation","layer_32/forward/mlp",6065075063375.540039,67.516237
"user_annotation","layer_33/forward/attention",6065075138622.416992,5.163284
"user_annotation","layer_33/forward/mlp",6065075143861.986328,67.342162
"user_annotation","layer_34/forward/attention",6065075219013.756836,46.364806
"user_annotation","layer_34/forward/mlp",6065075265455.032227,63.573820
"user_annotation","layer_35/forward/attention",6065075336989.510742,5.107048
"user_annotation","layer_35/forward/mlp",6065075342174.388672,71.402722
"user_annotation","layer_36/forward/attention",6065075421400.396484,5.241198
"user_annotation","layer_36/forward/mlp",6065075426719.190430,66.151830
"user_annotation","layer_37/forward/attention",6065075500519.419922,5.190653
"user_annotation","layer_37/forward/mlp",6065075505788.531250,67.330554
"user_annotation","layer_38/forward/attention",6065075580953.972656,59.859240
"user_annotation","layer_38/forward/mlp",6065075640894.002930,64.459032
"user_annotation","layer_39/forward/attention",6065075713399.282227,5.364819
"user_annotation","layer_39/forward/mlp",6065075718845.409180,71.006805
"user_annotation","layer_40/forward/attention",6065075797875.228516,5.158712
"user_annotation","layer_40/forward/mlp",6065075803114.222656,69.283646
"user_annotation","layer_41/forward/attention",6065075880270.203125,5.254482
"user_annotation","layer_41/forward/mlp",6065075885602.942383,67.558452
"user_annotation","layer_42/forward/attention",6065075961397.694336,44.723429
"user_annotation","layer_42/forward/mlp",6065076006197.221680,63.672089
"user_annotation","layer_43/forward/attention",6065076077873.809570,5.328149
"user_annotation","layer_43/forward/mlp",6065076083279.331055,68.789828
"user_annotation","layer_44/forward/attention",6065076160265.658203,5.100928
"user_annotation","layer_44/forward/mlp",6065076165443.746094,70.102761
"user_annotation","layer_45/forward/attention",6065076243631.676758,5.220605
"user_annotation","layer_45/forward/mlp",6065076248932.454102,64.197813
"user_annotation","layer_46/forward/attention",6065076321112.605469,45.663844
"user_annotation","layer_46/forward/mlp",6065076366856.388672,61.824517
"user_annotation","layer_47/forward/attention",6065076436716.914062,5.244726
"user_annotation","layer_47/forward/mlp",6065076442039.601562,70.092546
"user_annotation","layer_48/forward/attention",6065076519989.983398,5.213199
"user_annotation","layer_48/forward/mlp",6065076525278.912109,66.669052
"user_annotation","layer_49/forward/attention",6065076599688.878906,5.167184
"user_annotation","layer_49/forward/mlp",6065076604932.699219,65.444874
"user_annotation","layer_50/forward/attention",6065076678325.135742,47.629153
"user_annotation","layer_50/forward/mlp",6065076726036.878906,61.891370
"user_annotation","layer_51/forward/attention",6065076795765.082031,5.209781
"user_annotation","layer_51/forward/mlp",6065076801050.668945,78.875391
"user_annotation","layer_52/forward/attention",6065076887922.512695,5.174685
"user_annotation","layer_52/forward/mlp",6065076893175.716797,64.993065
"user_annotation","layer_53/forward/attention",6065076966015.154297,5.108524
"user_annotation","layer_53/forward/mlp",6065076971199.946289,66.092138
"user_annotation","layer_54/forward/attention",6065077045282.297852,46.453824
"user_annotation","layer_54/forward/mlp",6065077091814.824219,61.758313
"user_annotation","layer_55/forward/attention",6065077161507.071289,5.094531
"user_annotation","layer_55/forward/mlp",6065077166678.302734,66.593182
"user_annotation","layer_56/forward/attention",6065077241272.497070,5.064324
"user_annotation","layer_56/forward/mlp",6065077246414.969727,66.933528
"user_annotation","layer_57/forward/attention",6065077321364.750977,5.807521
"user_annotation","layer_57/forward/mlp",6065077327249.799805,66.317699
"user_annotation","layer_58/forward/attention",6065077401550.474609,47.114267
"user_annotation","layer_58/forward/mlp",6065077448742.149414,61.630410
"user_annotation","layer_59/forward/attention",6065077518358.061523,5.053231
"user_annotation","layer_59/forward/mlp",6065077523500.246094,71.486981
"user_annotation","layer_60/forward/attention",6065077602961.543945,5.210213
"user_annotation","layer_60/forward/mlp",6065077608251.924805,69.312974
"user_annotation","layer_61/forward/attention",6065077685624.064453,5.121110
"user_annotation","layer_61/forward/mlp",6065077690823.341797,66.614618
"user_annotation","layer_62/forward/attention",6065077765607.737305,49.330584
"user_annotation","layer_62/forward/mlp",6065077815012.849609,62.444468
"user_annotation","layer_63/forward/attention",6065077885958.138672,5.365742
"user_annotation","layer_63/forward/mlp",6065077891402.801758,69.943296
"user_annotation","layer_64/forward/attention",6065077969555.837891,5.267232
"user_annotation","layer_64/forward/mlp",6065077974900.149414,64.866302
"user_annotation","layer_65/forward/attention",6065078047969.469727,5.210937
"user_annotation","layer_65/forward/mlp",6065078053258.890625,68.503048
"user_annotation","layer_66/forward/attention",6065078130057.489258,47.801274
"user_annotation","layer_66/forward/mlp",6065078177942.588867,62.620104
"user_annotation","layer_67/forward/attention",6065078248845.073242,5.291012
"user_annotation","layer_67/forward/mlp",6065078254214.337891,69.370644
"user_annotation","layer_68/forward/attention",6065078331831.326172,5.374040
"user_annotation","layer_68/forward/mlp",6065078337284.418945,66.097163
"user_annotation","layer_69/forward/attention",6065078411817.771484,5.237017
