gpu,idle_s,gaps_over_1ms,max_gap_ms,idle_pct
0,1.409,11,121.191,5.09
1,1.483,11,69.408,5.36
2,1.852,15,408.581,6.7
3,1.367,14,69.354,4.94
4,1.333,9,69.219,4.82
5,1.525,13,179.192,5.51
6,1.383,14,67.843,5.0
7,1.534,14,203.902,5.55
