"category","name","ts_us","ms"
"user_annotation","layer_0/forward/attention",6052770340056.146484,20.115249
"user_annotation","layer_0/forward/mlp",6052770360251.761719,1.482832
"user_annotation","layer_1/forward/attention",6052770362037.568359,4.403226
"user_annotation","layer_1/forward/mlp",6052770366530.123047,52.913419
"user_annotation","python_gc/generation_0",6052770402657.824219,0.932619
"user_annotation","layer_2/forward/attention",6052770419739.326172,12.139718
"user_annotation","layer_2/forward/mlp",6052770431955.523438,38.150278
"user_annotation","layer_2/recompute/attention",6052770563192.627930,24.203375
"user_annotation","layer_2/recompute/mlp",6052770587511.433594,21.301563
"user_annotation","layer_1/recompute/attention",6052770632184.462891,4.881151
"user_annotation","layer_1/recompute/mlp",6052770637158.935547,56.760925
"user_annotation","python_gc/generation_0",6052770684253.830078,0.185707
"user_annotation","layer_0/recompute/attention",6052770715755.549805,40.933426
"user_annotation","layer_0/recompute/mlp",6052770756778.088867,1.219885
