"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","c2clink__enabled_mask","c2clink__present","device__attribute_architecture","device__attribute_async_engine_count","device__attribute_can_flush_remote_writes","device__attribute_can_map_host_memory","device__attribute_can_tex2d_gather","device__attribute_can_use_64_bit_stream_mem_ops","device__attribute_can_use_64_bit_stream_mem_ops_v1","device__attribute_can_use_host_pointer_for_registered_mem","device__attribute_can_use_stream_mem_ops_v1","device__attribute_can_use_stream_wait_value_nor","device__attribute_can_use_stream_wait_value_nor_v1","device__attribute_chip","device__attribute_clock_rate","device__attribute_cluster_launch","device__attribute_compute_capability_major","device__attribute_compute_capability_minor","device__attribute_compute_mode","device__attribute_compute_preemption_supported","device__attribute_concurrent_kernels","device__attribute_concurrent_managed_access","device__attribute_confidential_computing_mode","device__attribute_cooperative_launch","device__attribute_cooperative_multi_device_launch","device__attribute_deferred_mapping_cuda_array_supported","device__attribute_device_index","device__attribute_direct_managed_mem_access_from_host","device__attribute_display_name","device__attribute_dma_buf_supported","device__attribute_ecc_enabled","device__attribute_fb_bus_width","device__attribute_fbp_count","device__attribute_generic_compression_supported","device__attribute_global_l1_cache_supported","device__attribute_global_memory_bus_width","device__attribute_gpu_direct_rdma_flush_writes_options","device__attribute_gpu_direct_rdma_supported","device__attribute_gpu_direct_rdma_with_cuda_vmm_supported","device__attribute_gpu_direct_rdma_writes_ordering","device__attribute_gpu_overlap","device__attribute_gpu_pci_device_id","device__attribute_gpu_pci_ext_device_id","device__attribute_gpu_pci_ext_downstream_link_rate","device__attribute_gpu_pci_ext_downstream_link_width","device__attribute_gpu_pci_ext_gen","device__attribute_gpu_pci_ext_gpu_gen","device__attribute_gpu_pci_ext_gpu_link_rate","device__attribute_gpu_pci_ext_gpu_link_width","device__attribute_gpu_pci_revision_id","device__attribute_gpu_pci_sub_system_id","device__attribute_handle_type_fabric_supported","device__attribute_handle_type_posix_file_descriptor_supported","device__attribute_handle_type_win32_handle_supported","device__attribute_handle_type_win32_kmt_handle_supported","device__attribute_host_native_atomic_supported","device__attribute_host_numa_id","device__attribute_host_register_supported","device__attribute_implementation","device__attribute_integrated","device__attribute_ipc_event_supported","device__attribute_kernel_exec_timeout","device__attribute_l2_cache_size","device__attribute_l2s_count","device__attribute_limits_max_cta_per_sm","device__attribute_limits_num_tpcs","device__attribute_local_l1_cache_supported","device__attribute_managed_memory","device__attribute_max_access_policy_window_size","device__attribute_max_block_dim_x","device__attribute_max_block_dim_y","device__attribute_max_block_dim_z","device__attribute_max_blocks_per_multiprocessor","device__attribute_max_gpu_frequency_khz","device__attribute_max_grid_dim_x","device__attribute_max_grid_dim_y","device__attribute_max_grid_dim_z","device__attribute_max_ipc_per_multiprocessor","device__attribute_max_ipc_per_scheduler","device__attribute_max_mem_frequency_khz","device__attribute_max_persisting_l2_cache_size","device__attribute_max_pitch","device__attribute_max_registers_per_block","device__attribute_max_registers_per_multiprocessor","device__attribute_max_registers_per_thread","device__attribute_max_shared_memory_per_block","device__attribute_max_shared_memory_per_block_optin","device__attribute_max_shared_memory_per_multiprocessor","device__attribute_max_threads_per_block","device__attribute_max_threads_per_multiprocessor","device__attribute_max_warps_per_multiprocessor","device__attribute_max_warps_per_scheduler","device__attribute_maximum_surface1d_layered_layers","device__attribute_maximum_surface1d_layered_width","device__attribute_maximum_surface1d_width","device__attribute_maximum_surface2d_height","device__attribute_maximum_surface2d_layered_height","device__attribute_maximum_surface2d_layered_layers","device__attribute_maximum_surface2d_layered_width","device__attribute_maximum_surface2d_width","device__attribute_maximum_surface3d_depth","device__attribute_maximum_surface3d_height","device__attribute_maximum_surface3d_width","device__attribute_maximum_surfacecubemap_layered_layers","device__attribute_maximum_surfacecubemap_layered_width","device__attribute_maximum_surfacecubemap_width","device__attribute_maximum_texture1d_layered_layers","device__attribute_maximum_texture1d_layered_width","device__attribute_maximum_texture1d_linear_width","device__attribute_maximum_texture1d_mipmapped_width","device__attribute_maximum_texture1d_width","device__attribute_maximum_texture2d_gather_height","device__attribute_maximum_texture2d_gather_width","device__attribute_maximum_texture2d_height","device__attribute_maximum_texture2d_layered_height","device__attribute_maximum_texture2d_layered_layers","device__attribute_maximum_texture2d_layered_width","device__attribute_maximum_texture2d_linear_height","device__attribute_maximum_texture2d_linear_pitch","device__attribute_maximum_texture2d_linear_width","device__attribute_maximum_texture2d_mipmapped_height","device__attribute_maximum_texture2d_mipmapped_width","device__attribute_maximum_texture2d_width","device__attribute_maximum_texture3d_depth","device__attribute_maximum_texture3d_depth_alternate","device__attribute_maximum_texture3d_height","device__attribute_maximum_texture3d_height_alternate","device__attribute_maximum_texture3d_width","device__attribute_maximum_texture3d_width_alternate","device__attribute_maximum_texturecubemap_layered_layers","device__attribute_maximum_texturecubemap_layered_width","device__attribute_maximum_texturecubemap_width","device__attribute_mem_sync_domain_count","device__attribute_memory_clock_rate","device__attribute_memory_pools_supported","device__attribute_mempool_supported_handle_types","device__attribute_mps_enabled","device__attribute_multi_gpu_board","device__attribute_multi_gpu_board_group_id","device__attribute_multicast_supported","device__attribute_multiprocessor_count","device__attribute_num_l2s_per_fbp","device__attribute_num_schedulers_per_multiprocessor","device__attribute_num_tex_per_multiprocessor","device__attribute_numa_config","device__attribute_pageable_memory_access","device__attribute_pageable_memory_access_uses_host_page_tables","device__attribute_pci_bus_id","device__attribute_pci_device_id","device__attribute_pci_domain_id","device__attribute_ram_location","device__attribute_ram_type","device__attribute_reserved_shared_memory_per_block","device__attribute_sass_level","device__attribute_single_to_double_precision_perf_ratio","device__attribute_sparse_cuda_array_supported","device__attribute_stream_priorities_supported","device__attribute_surface_alignment","device__attribute_tcc_driver","device__attribute_tensor_map_access_supported","device__attribute_texture_alignment","device__attribute_texture_pitch_alignment","device__attribute_total_constant_memory","device__attribute_total_memory","device__attribute_unified_addressing","device__attribute_unified_function_pointers","device__attribute_virtual_address_management_supported","device__attribute_warp_size","dram__bytes_read.avg","dram__bytes_read.max","dram__bytes_read.min","dram__bytes_read.sum","dram__bytes_write.avg","dram__bytes_write.max","dram__bytes_write.min","dram__bytes_write.sum","dram__throughput.avg.pct_of_peak_sustained_elapsed","dram__throughput.max.pct_of_peak_sustained_elapsed","dram__throughput.min.pct_of_peak_sustained_elapsed","dram__throughput.sum.pct_of_peak_sustained_elapsed","gpu__time_duration.avg","gpu__time_duration.max","gpu__time_duration.min","gpu__time_duration.sum","inst_executed","launch__barrier_count","launch__block_dim_x","launch__block_dim_y","launch__block_dim_z","launch__block_size","launch__cluster_dim_x","launch__cluster_dim_y","launch__cluster_dim_z","launch__cluster_max_active","launch__cluster_max_potential_size","launch__cluster_scheduling_policy","launch__cluster_size","launch__context_id","launch__device_id","launch__func_cache_config","launch__function_pcs","launch__grid_dim_x","launch__grid_dim_y","launch__grid_dim_z","launch__grid_size","launch__kernel_name","launch__occupancy_cluster_gpu_pct","launch__occupancy_cluster_pct","launch__occupancy_limit_barriers","launch__occupancy_limit_blocks","launch__occupancy_limit_registers","launch__occupancy_limit_shared_mem","launch__occupancy_limit_warps","launch__occupancy_per_barrier_count","launch__occupancy_per_block_size","launch__occupancy_per_cluster_size","launch__occupancy_per_register_count","launch__occupancy_per_shared_mem_size","launch__persisting_l2_cache_size","launch__preferred_cluster_dim_x","launch__preferred_cluster_dim_y","launch__preferred_cluster_dim_z","launch__preferred_cluster_size","launch__registers_per_thread","launch__registers_per_thread_allocated","launch__shared_mem_config_size","launch__shared_mem_per_block","launch__shared_mem_per_block_allocated","launch__shared_mem_per_block_driver","launch__shared_mem_per_block_dynamic","launch__shared_mem_per_block_static","launch__sm_count","launch__stack_size","launch__stream_id","launch__thread_count","launch__tpc_count","launch__tpc_enabled","launch__uses_cdp","launch__uses_green_context","launch__uses_mps","launch__uses_nvlink_centric_scheduling","launch__uses_vgpu","launch__waves_per_multiprocessor","numa__cpu_affinity","numa__dev_display_name_all","numa__id_cpu","numa__id_memory","nvlink__bandwidth","nvlink__count_logical","nvlink__count_physical","nvlink__destination_ports","nvlink__dev0Id","nvlink__dev0type","nvlink__dev1Id","nvlink__dev1type","nvlink__dev_display_name_all","nvlink__enabled_mask","nvlink__is_direct_link","nvlink__is_nvswitch_connected","nvlink__max_count","nvlink__peer_access","nvlink__peer_atomic","nvlink__source_ports","nvlink__system_access","nvlink__system_atomic","profiler__perfworks_session_reuse","profiler__replayer_passes","profiler__replayer_passes_type_warmup","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","sm__cycles_active.max.pct_of_peak_sustained_elapsed","sm__cycles_active.min.pct_of_peak_sustained_elapsed","sm__cycles_active.sum.pct_of_peak_sustained_elapsed","sm__maximum_warps_avg_per_active_cycle","sm__maximum_warps_per_active_cycle_pct","sm__ops_path_tensor_src_bf16_dst_fp32.avg","sm__ops_path_tensor_src_bf16_dst_fp32.max","sm__ops_path_tensor_src_bf16_dst_fp32.min","sm__ops_path_tensor_src_bf16_dst_fp32.sum","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_elapsed","sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_elapsed","sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_elapsed","sm__warps_active.avg.pct_of_peak_sustained_active","sm__warps_active.max.pct_of_peak_sustained_active","sm__warps_active.min.pct_of_peak_sustained_active","sm__warps_active.sum.pct_of_peak_sustained_active","smsp__maximum_warps_avg_per_active_cycle"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mbyte","Mbyte","Mbyte","Gbyte","Mbyte","Mbyte","Mbyte","Gbyte","%","%","%","%","ms","ms","ms","ms","inst","","block","block","block","","","","","cluster","block","","","","","","","","","","","","%","%","block","block","block","block","block","","","","","","Mbyte","","","","","register/thread","register/thread","Kbyte","Kbyte/block","Kbyte/block","Kbyte/block","Kbyte/block","byte/block","SM","","","thread","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pass","pass","%","%","%","%","warp","%","","","","","%","%","%","%","%","%","%","%","warp"
"0","17355","python3.12","127.0.0.1","17355  ""<default domain>:profile:none:none:none:none:none:none"" ","","void prepare_grouped_gemm_data<bfloat16_t, bfloat16_t, bfloat16_t, float, tuple<int, int, int>, tuple<long, C<1>, C<0>>, tuple<long, C<1>, C<0>>, tuple<long, C<1>, C<0>>>(T1 *, T2 *, T3 *, T4 *, T4 *, T1 **, T2 **, T3 **, T4 **, T4 **, T5 *, T6 *, T7 *, T8 *, const int *, int, int, int, std::array<long, 3>, std::array<long, 3>, std::array<long, 3>, std::array<long, 3>, std::array<long, 3>, long, long, bool, bool)","1","7","(256, 1, 1)","(1, 1, 1)","0","10.3","0","0","416","4","0","1","1","1","0","1","0","1","0","419","2032000","1","10","3","0","1","1","1","No-CC","1","1","1","0","0","NVIDIA L20D","1","1","7680","16","1","1","7680","1","1","1","100","1","649728222","12674","32000","16","5","5","64000","16","161","425136350","1","1","0","0","0","0","1","419","0","1","0","132644864","192","32","74","1","1","134217728","1024","1024","64","32","2032000","2147483647","65535","65535","4","1","3996000","82903040","2147483647","65536","65536","255","49152","232448","233472","1024","2048","64","16","2048","32768","32768","65536","32768","2048","32768","131072","16384","16384","16384","2046","32768","32768","2048","32768","268435456","32768","131072","32768","32768","65536","32768","2048","32768","65000","2097120","131072","32768","32768","131072","16384","32768","16384","8192","16384","8192","2046","32768","32768","4","3996000","1","9","0","0","0","1","148","12","4","1","0","1","0","60","0","0","1","0","1024","10","64","1","1","512","0","1","512","32","65536","287428771840","1","1","1","32","0.000192","0.001024","0.000000","0.000012","0.000000","0.000000","0.000000","0.000000","0.031784","0.158919","0.000000","0.031784","0.005088","0.005088","0.005088","0.005088","1297","0","256","1","1","256","0","0","0","0","8","PolicySpread","0","1","0","CachePreferNone","1","1","1","1","1","","0.000000","0.000000","32.000000","32.000000","8.000000","32.000000","8.000000","1440","3670","0","5504","1696","24.870912","0","0","0","0","32","32.000000","32.768000","1.024000","1.024000","1.024000","0.000000","0","148","1024","7","256","74","all","0","0","0","0","0","0.00","8","8","8","8","0","0","0","0","0","0","0","0","1","2097144","0","0","144","0","0","0","0","0","0","3.000000","0","0.291830","43.190870","0.000000","0.291830","64.000000","100.000000","0","0","0","0","0.000000","0.000000","0.000000","0.000000","12.408296","1836.427765","0.000000","12.408296","16.000000"
"1","17355","python3.12","127.0.0.1","17355  ""<default domain>:profile:none:none:none:none:none:none"" ","","void device_kernel<enable_3x_kernel_for_sm10<gemm::GemmUniversal<gemm::GroupProblemShape<tuple<int, int, int>>, gemm::CollectiveMma<gemm::MainloopSm100ArrayTmaUmmaWarpSpecialized<6, 8, 2, tuple<C<2>, C<1>, C<1>>>, tuple<C<256>, C<256>, C<64>>, bfloat16_t, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, TiledMMA<MMA_Atom<SM100_MMA_F16BF16_2x1SM_SS<bfloat16_t, bfloat16_t, float, 256, 256, 0, 0, 0, 0>>, Layout<tuple<C<1>, C<1>, C<1>>, tuple<C<0>, C<0>, C<0>>>, tuple<Underscore, Underscore, Underscore>>, SM100_TMA_2SM_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity, SM100_TMA_2SM_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity>, epilogue::CollectiveEpilogue<epilogue::Sm100PtrArrayTmaWarpSpecialized<4, 2, 32, 0, 0>, tuple<C<128>, C<256>, C<64>>, tuple<Layout<C<128>, C<1>>, Layout<C<32>, C<1>>>, void, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, epilogue::FusionCallbacks<epilogue::Sm100PtrArrayTmaWarpSpecialized<4, 2, 32, 0, 0>, epilogue::LinearCombination<bfloat16_t, float, bfloat16_t, float, 2>, tuple<C<128>, C<256>, C<64>>, tuple<Layout<C<128>, C<1>>, Layout<C<32>, C<1>>>, >, SM100::SM100_TMEM_LOAD_32dp32b32x, SM90_TMA_LOAD, ComposedLayout<Swizzle<2, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<32>>, tuple<C<32>, C<1>>>>, AutoVectorizingCopyWithAssumedAlignment<128>, SM90_TMA_STORE, ComposedLayout<Swizzle<2, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<32>>, tuple<C<32>, C<1>>>>, AutoVectorizingCopyWithAssumedAlignment<128>, AutoVectorizingCopyWithAssumedAlignment<128>>, void, void>>>(Params)","1","7","(384, 1, 1)","(148, 1, 1)","0","10.3","0","0","416","4","0","1","1","1","0","1","0","1","0","419","2032000","1","10","3","0","1","1","1","No-CC","1","1","1","0","0","NVIDIA L20D","1","1","7680","16","1","1","7680","1","1","1","100","1","649728222","12674","32000","16","5","5","64000","16","161","425136350","1","1","0","0","0","0","1","419","0","1","0","132644864","192","32","74","1","1","134217728","1024","1024","64","32","2032000","2147483647","65535","65535","4","1","3996000","82903040","2147483647","65536","65536","255","49152","232448","233472","1024","2048","64","16","2048","32768","32768","65536","32768","2048","32768","131072","16384","16384","16384","2046","32768","32768","2048","32768","268435456","32768","131072","32768","32768","65536","32768","2048","32768","65000","2097120","131072","32768","32768","131072","16384","32768","16384","8192","16384","8192","2046","32768","32768","4","3996000","1","9","0","0","0","1","148","12","4","1","0","1","0","60","0","0","1","0","1024","10","64","1","1","512","0","1","512","32","65536","287428771840","1","1","1","32","402.603656","434.368000","193.725696","25.766634","16.863180","17.998336","8.989184","1.079244","63.197081","63.894128","57.264608","63.197081","5.536768","5.536768","5.536768","5.536768","368952523","7","384","1","1","384","2","1","1","74","16","PolicySpread","2","1","0","CachePreferNone","1","148","1","1","148","","0.585938","3.125000","9.000000","32.000000","1.000000","1.000000","5.000000","780","157","466","2028","5460","24.870912","0","0","0","0","168","168.000000","233.472000","218.112000","218.112000","1.024000","217.088000","0","148","1024","7","56832","74","all","0","0","0","0","0","1","8","8","8","8","0","0","0","0","0","0","0","0","1","2097144","0","0","144","0","0","0","0","0","1","3.000000","0","96.117612","97.763328","94.774858","96.117612","12.000000","18.750000","58243238939.68","58384711680","57982058496","8619999363072","90.217634","90.436772","89.813070","90.217634","18.279417","18.613319","18.010679","18.279417","3.000000"
