k,laggard_gpu,lateness_ms,laggard_gpu_idle_since_prev_release_ms,laggard_interval_ms,sum_wait_all_gpus_ms,laggard_nvtx
94,7,8.567,0.153,23.855,63.244,forward|layer|moe
95,1,0.143,0.003,3.999,1.592,forward|layer|moe
96,1,0.049,0.851,33.618,0.433,forward|layer|moe|hybridep_dispatch
97,1,0.544,0.005,5.001,5.594,forward|layer|moe|moe_experts
98,6,7.377,0.177,24.013,64.463,forward|layer|moe
99,1,0.111,0.006,4.11,1.469,forward|layer|moe
100,3,0.041,0.874,31.67,0.376,forward|layer|moe|hybridep_dispatch
101,0,0.775,0.003,4.81,5.058,forward|layer|moe|moe_experts
102,3,12.896,0.194,27.252,90.445,forward|layer|moe
103,5,0.03,0.006,3.972,1.036,forward|layer|moe
104,3,0.102,0.884,31.761,0.751,forward|layer|moe|hybridep_dispatch
105,1,0.761,0.004,4.874,5.317,forward|layer|moe|moe_experts
106,3,15.941,0.182,30.703,117.763,forward|layer|attention
107,6,0.21,0.005,4.212,2.2,forward|layer|attention
108,2,0.046,3.076,105.453,0.416,forward|layer|moe|hybridep_dispatch
109,3,0.396,0.004,4.405,4.084,forward|layer|moe|moe_experts
110,2,12.137,0.164,27.18,90.137,forward|layer|moe
111,1,0.034,0.004,3.695,0.699,forward|layer|moe
112,3,0.042,0.901,31.227,0.366,forward|layer|moe|hybridep_dispatch
113,0,0.417,0.003,5.006,5.797,forward|layer|moe|moe_experts
114,5,13.289,0.17,26.626,84.858,forward|layer|moe
115,3,0.061,0.004,4.134,0.821,forward|layer|moe
116,5,0.045,0.888,31.642,0.384,forward|layer|moe|hybridep_dispatch
117,3,0.838,0.005,4.976,5.136,forward|layer|moe|moe_experts
118,0,11.327,0.168,24.833,70.816,forward|layer|moe
119,3,0.016,0.004,4.069,0.887,forward|layer|moe
120,0,0.027,0.866,32.316,0.303,forward|layer|moe|hybridep_dispatch
121,0,0.536,0.003,4.968,5.576,forward|layer|moe|moe_experts
122,6,14.284,0.15,29.6,108.693,forward|layer|attention
123,1,0.064,0.003,4.052,1.264,forward|layer|attention
124,3,0.023,3.578,103.152,0.232,forward|layer|moe|hybridep_dispatch
125,1,0.498,0.002,4.183,4.15,forward|layer|moe|moe_experts
126,5,4.845,0.132,20.759,39.543,forward|layer|moe
127,3,0.017,0.003,3.493,0.295,forward|layer|moe
128,6,0.029,0.918,31.146,0.292,forward|layer|moe|hybridep_dispatch
129,0,0.557,0.005,4.809,5.088,forward|layer|moe|moe_experts
130,6,4.99,0.195,21.565,43.377,forward|layer|moe
131,1,0.048,0.003,3.945,0.645,forward|layer|moe
132,6,0.059,0.922,31.58,0.498,forward|layer|moe|hybridep_dispatch
133,1,0.434,0.007,4.875,5.189,forward|layer|moe|moe_experts
134,5,17.921,0.179,31.908,128.567,forward|layer|moe
135,2,0.054,0.006,4.003,1.097,forward|layer|moe
136,7,0.068,0.96,32.093,0.564,forward|layer|moe|hybridep_dispatch
137,0,0.653,0.003,4.39,3.624,forward|layer|moe|moe_experts
138,1,7.191,0.157,22.949,55.552,forward|layer|attention
139,5,0.031,0.005,3.723,0.337,forward|layer|attention
140,2,0.031,3.368,101.785,0.285,forward|layer|moe|hybridep_dispatch
141,3,0.409,0.005,4.477,4.436,forward|layer|moe|moe_experts
142,2,7.948,0.168,23.288,58.641,forward|layer|moe
143,4,0.19,0.005,3.826,1.591,forward|layer|moe
144,0,1.164,4.532,37.317,7.365,forward|layer|moe|hybridep_dispatch
145,3,0.659,0.003,4.795,4.424,forward|layer|moe|moe_experts
146,0,12.755,1.882,30.551,96.881,forward|layer|moe
147,4,0.063,0.006,4.027,1.241,forward|layer|moe
148,0,0.015,0.859,31.511,0.202,forward|layer|moe|hybridep_dispatch
149,0,0.487,0.004,4.756,4.912,forward|layer|moe|moe_experts
150,5,9.519,0.159,23.966,63.923,forward|layer|moe
151,0,0.034,0.002,3.905,0.813,forward|layer|moe
152,4,0.07,0.862,32.167,0.547,forward|layer|moe|hybridep_dispatch
153,0,0.866,0.003,4.568,5.078,forward|layer|moe|moe_experts
154,1,10.853,0.166,25.666,77.367,forward|layer|attention
155,4,0.166,0.005,3.825,1.574,forward|layer|attention
156,6,0.058,3.187,103.001,0.45,forward|layer|moe|hybridep_dispatch
157,1,0.405,0.003,4.87,4.593,forward|layer|moe|moe_experts
158,6,14.774,0.144,28.494,101.15,forward|layer|moe
159,7,0.178,0.005,4.201,2.018,forward|layer|moe
160,6,0.183,0.945,37.524,1.284,forward|layer|moe|hybridep_dispatch
161,1,0.78,0.006,4.902,5.223,forward|layer|moe|moe_experts
162,7,12.775,0.191,27.514,92.185,forward|layer|moe
163,6,0.047,0.005,4.093,1.182,forward|layer|moe
164,7,0.053,0.895,31.284,0.478,forward|layer|moe|hybridep_dispatch
165,7,0.802,0.01,4.344,4.454,forward|layer|moe|moe_experts
166,0,5.919,0.133,21.783,46.875,forward|layer|moe
167,4,0.109,0.004,3.623,0.871,forward|layer|moe
168,7,0.078,0.873,33.052,0.574,forward|layer|moe|hybridep_dispatch
169,0,0.605,0.004,4.898,5.628,forward|layer|moe|moe_experts
170,4,12.968,0.196,27.458,90.924,forward|layer|attention
171,1,0.161,0.004,4.021,1.517,forward|layer|attention
172,7,0.038,3.383,101.76,0.335,forward|layer|moe|hybridep_dispatch
173,0,0.803,0.004,4.773,4.662,forward|layer|moe|moe_experts
174,7,11.653,0.189,26.211,81.772,forward|layer|moe
175,1,0.106,0.003,4.037,1.473,forward|layer|moe
176,1,0.046,0.919,32.877,0.351,forward|layer|moe|hybridep_dispatch
177,1,0.49,0.003,4.931,5.251,forward|layer|moe|moe_experts
178,6,14.246,0.171,28.959,103.959,forward|layer|moe
179,3,0.16,0.002,4.139,1.906,forward|layer|moe
180,3,0.085,0.895,34.08,0.698,forward|layer|moe|hybridep_dispatch
181,0,0.804,0.004,4.863,5.335,forward|layer|moe|moe_experts
182,1,10.424,0.178,24.943,71.332,forward|layer|moe
183,1,0.191,0.003,4.144,1.914,forward|layer|moe
184,1,0.156,0.85,34.777,1.092,forward|layer|moe|hybridep_dispatch
185,3,0.898,0.004,5.009,6.522,forward|layer|moe|moe_experts
186,1,27.822,0.183,39.332,184.869,forward|layer|attention
187,6,0.028,0.004,3.991,1.248,forward|layer|attention
188,0,0.018,3.087,101.442,0.205,forward|layer|moe|hybridep_dispatch
189,1,0.802,0.003,4.276,4.359,forward|layer|moe|moe_experts
190,0,8.419,0.178,23.147,57.832,forward|layer|moe
191,4,0.08,0.004,3.586,0.721,forward|layer|moe
192,0,0.08,0.852,32.956,0.641,forward|layer|moe|hybridep_dispatch
193,0,0.548,0.004,5.081,6.637,forward|layer|moe|moe_experts
194,6,15.677,0.142,29.551,107.99,forward|layer|moe
195,2,0.182,0.005,4.168,1.884,forward|layer|moe
196,6,0.057,0.91,33.466,0.56,forward|layer|moe|hybridep_dispatch
197,1,0.784,0.004,4.609,4.844,forward|layer|moe|moe_experts
198,0,9.984,0.164,25.559,76.844,forward|layer|moe
199,4,0.216,0.003,3.924,2.009,forward|layer|moe
200,4,0.159,0.863,34.536,1.193,forward|layer|moe|hybridep_dispatch
201,0,0.567,0.005,4.973,5.457,forward|layer|moe|moe_experts
202,4,21.483,0.185,34.953,151.234,forward|layer|attention
203,2,0.091,0.004,4.041,1.373,forward|layer|attention
204,6,0.051,3.083,107.161,0.47,forward|layer|moe|hybridep_dispatch
205,1,0.424,0.004,4.903,4.736,forward|layer|moe|moe_experts
206,6,12.097,0.155,26.456,83.982,forward|layer|moe
207,3,0.027,0.004,4.083,1.056,forward|layer|moe
208,6,0.165,0.995,37.307,1.234,forward|layer|moe|hybridep_dispatch
209,0,0.758,0.004,4.852,4.556,forward|layer|moe|moe_experts
210,7,7.272,0.164,22.882,54.526,forward|layer|moe
211,6,0.095,0.004,4.098,1.372,forward|layer|moe
212,7,0.055,0.937,32.02,0.434,forward|layer|moe|hybridep_dispatch
213,1,0.761,0.004,4.772,4.549,forward|layer|moe|moe_experts
214,3,9.64,0.186,24.736,69.63,forward|layer|moe
215,7,0.074,0.004,3.987,0.916,forward|layer|moe
216,3,0.907,1.809,36.058,6.221,forward|layer|moe|hybridep_dispatch
217,7,0.533,0.006,5.022,5.395,forward|layer|moe|moe_experts
218,2,9.992,0.146,24.486,66.797,forward|layer|attention
219,7,0.131,0.003,4.162,1.467,forward|layer|attention
220,1,0.053,3.212,104.979,0.408,forward|layer|moe|hybridep_dispatch
221,0,0.817,0.004,4.861,6.491,forward|layer|moe|moe_experts
222,1,15.922,0.179,28.79,102.15,forward|layer|moe
