gpu,category,kernels,summed_gpu_s,max_ms,median_us
0,gemm,21516,4.881,7.217,75.2
0,dsa_backward,312,3.636,55.938,531.2
0,hybridep_sync,900,2.727,42.326,81.7
0,cat_copy,9890,2.666,8.679,12.8
0,elementwise,33646,1.234,0.763,8.4
0,dsa_forward,156,1.21,9.32,7659.8
0,nccl,429,1.168,53.198,821.5
0,dsa_indexer,714,1.054,2.639,1147.2
0,hybridep_dispatch,225,0.975,5.092,4450.0
0,hybridep_combine,225,0.868,4.589,3909.3
0,moe_permute,450,0.767,3.859,1651.3
0,topk_router,836,0.35,5.103,425.6
0,norm,1251,0.306,1.031,45.0
0,activation,381,0.171,1.711,376.7
0,hybridep_meta,750,0.083,2.425,1.7
0,cub_scan_sort,1280,0.076,2.049,1.9
0,other,1076,0.014,0.093,2.3
0,cross_entropy,8,0.006,0.759,757.4
0,nonzero_cub,384,0.001,0.006,1.8
1,gemm,21534,5.103,8.294,76.0
1,dsa_backward,312,3.773,56.512,530.7
1,cat_copy,9907,2.697,9.238,12.9
1,hybridep_sync,900,2.551,32.207,68.0
1,nccl,429,1.279,444.589,554.1
1,dsa_forward,156,1.258,10.581,7910.2
1,elementwise,33680,1.24,0.762,8.5
1,dsa_indexer,756,1.08,2.65,1538.3
1,hybridep_dispatch,225,0.971,5.098,4459.8
1,hybridep_combine,225,0.876,4.477,3928.3
1,moe_permute,450,0.779,4.762,1608.0
1,topk_router,836,0.364,7.733,429.8
1,norm,1251,0.308,1.011,45.2
1,activation,381,0.177,2.554,364.9
1,hybridep_meta,750,0.086,1.005,1.7
1,cub_scan_sort,1276,0.077,2.156,2.0
1,other,1070,0.014,0.105,2.2
1,cross_entropy,8,0.006,0.762,757.7
1,nonzero_cub,369,0.001,0.006,1.8
2,gemm,21549,4.969,7.103,74.9
2,dsa_backward,312,3.753,55.678,527.0
2,hybridep_sync,900,2.703,32.43,332.3
2,cat_copy,9907,2.672,8.813,12.8
2,dsa_forward,156,1.246,9.592,7889.9
2,elementwise,33764,1.234,0.762,8.4
2,dsa_indexer,840,1.059,2.323,775.9
2,nccl,429,0.977,40.744,773.4
2,hybridep_combine,225,0.873,4.483,3901.6
2,hybridep_dispatch,225,0.818,4.238,3744.9
2,moe_permute,450,0.788,3.518,1716.2
2,topk_router,836,0.356,5.17,426.1
2,norm,1251,0.306,1.023,45.0
2,activation,381,0.247,2.183,579.7
2,hybridep_meta,750,0.08,2.364,2.0
2,cub_scan_sort,1276,0.076,2.075,2.2
2,other,1070,0.014,0.09,2.3
2,cross_entropy,8,0.006,0.76,757.2
2,nonzero_cub,369,0.001,0.006,2.0
3,gemm,21497,5.081,7.75,74.8
3,dsa_backward,312,3.756,54.057,525.9
3,cat_copy,9907,2.677,8.512,12.8
3,hybridep_sync,900,2.513,42.028,79.5
3,nccl,429,1.371,446.117,661.0
3,dsa_forward,156,1.252,9.469,7936.6
3,elementwise,33764,1.234,0.763,8.4
3,dsa_indexer,840,1.063,2.605,1851.2
3,hybridep_dispatch,225,0.975,5.005,4459.6
3,hybridep_combine,225,0.872,4.526,3913.0
3,moe_permute,450,0.799,4.215,1742.5
3,topk_router,836,0.359,5.562,425.5
3,norm,1251,0.307,1.016,45.2
3,activation,381,0.177,1.861,376.3
3,hybridep_meta,750,0.083,1.062,1.7
3,cub_scan_sort,1276,0.076,2.097,2.0
3,other,1070,0.014,0.093,2.2
3,cross_entropy,8,0.006,0.758,756.9
3,nonzero_cub,369,0.001,0.006,1.8
4,gemm,21585,5.034,7.958,75.9
4,dsa_backward,312,3.76,55.47,528.2
4,hybridep_sync,900,2.758,43.239,287.0
4,cat_copy,9907,2.683,9.212,12.8
4,nccl,429,1.291,446.333,684.9
4,dsa_forward,156,1.253,10.269,7906.1
4,elementwise,33848,1.236,0.764,8.4
4,dsa_indexer,924,1.092,3.05,1315.2
4,hybridep_combine,225,0.871,4.464,3885.8
4,hybridep_dispatch,225,0.81,4.258,3698.6
4,moe_permute,450,0.777,4.362,1603.7
4,topk_router,836,0.358,6.003,426.6
4,norm,1251,0.307,1.048,44.9
4,activation,381,0.175,2.01,369.4
4,hybridep_meta,750,0.083,1.071,1.9
4,cub_scan_sort,1276,0.077,2.106,2.1
4,other,1070,0.014,0.101,2.3
4,cross_entropy,8,0.006,0.76,757.5
4,nonzero_cub,369,0.001,0.006,1.8
5,gemm,21596,4.852,6.802,75.6
5,dsa_backward,312,3.756,58.949,530.8
5,hybridep_sync,900,2.921,40.472,231.2
5,cat_copy,9907,2.661,8.96,12.8
5,nccl,429,1.358,446.815,790.6
5,dsa_forward,156,1.243,8.691,7888.5
5,elementwise,33890,1.231,0.764,8.1
5,dsa_indexer,966,1.109,3.234,1540.9
5,hybridep_combine,225,0.874,4.521,3918.2
5,hybridep_dispatch,225,0.824,4.193,3755.0
5,moe_permute,450,0.751,3.931,1533.2
5,topk_router,836,0.345,5.331,425.3
