phase,gpu,metric,avg
step,7,NVLink TX Requests Protocol Data [Throughput %],0.85
step,7,NVLink TX Requests User Data [Throughput %],2.09
step,7,NVLink TX Responses Protocol Data [Throughput %],0.28
step,7,NVLink TX Responses User Data [Throughput %],1.72
forward,0,GR Active [Throughput %],92.49
forward,0,SMs Active [Throughput %],63.71
forward,0,SM Issue [Throughput %],21.58
forward,0,Tensor Active [Throughput %],26.8
forward,0,DRAM Read Bandwidth [Throughput %],11.22
forward,0,DRAM Write Bandwidth [Throughput %],8.03
forward,0,NVLink RX Requests Protocol Data [Throughput %],0.91
forward,0,NVLink RX Requests User Data [Throughput %],2.21
forward,0,NVLink RX Responses Protocol Data [Throughput %],0.28
forward,0,NVLink RX Responses User Data [Throughput %],1.76
forward,0,NVLink TX Requests Protocol Data [Throughput %],0.76
forward,0,NVLink TX Requests User Data [Throughput %],2.24
forward,0,NVLink TX Responses Protocol Data [Throughput %],0.45
forward,0,NVLink TX Responses User Data [Throughput %],1.91
forward,1,GR Active [Throughput %],98.53
forward,1,SMs Active [Throughput %],65.73
forward,1,SM Issue [Throughput %],22.42
forward,1,Tensor Active [Throughput %],28.07
forward,1,DRAM Read Bandwidth [Throughput %],11.22
forward,1,DRAM Write Bandwidth [Throughput %],8.03
forward,1,NVLink RX Requests Protocol Data [Throughput %],0.75
forward,1,NVLink RX Requests User Data [Throughput %],2.21
forward,1,NVLink RX Responses Protocol Data [Throughput %],0.39
forward,1,NVLink RX Responses User Data [Throughput %],1.9
forward,1,NVLink TX Requests Protocol Data [Throughput %],0.88
forward,1,NVLink TX Requests User Data [Throughput %],2.27
forward,1,NVLink TX Responses Protocol Data [Throughput %],0.28
forward,1,NVLink TX Responses User Data [Throughput %],1.74
forward,2,GR Active [Throughput %],92.31
forward,2,SMs Active [Throughput %],64.9
forward,2,SM Issue [Throughput %],22.06
forward,2,Tensor Active [Throughput %],27.27
forward,2,DRAM Read Bandwidth [Throughput %],11.18
forward,2,DRAM Write Bandwidth [Throughput %],8.06
forward,2,NVLink RX Requests Protocol Data [Throughput %],0.76
forward,2,NVLink RX Requests User Data [Throughput %],2.24
forward,2,NVLink RX Responses Protocol Data [Throughput %],0.38
forward,2,NVLink RX Responses User Data [Throughput %],1.87
forward,2,NVLink TX Requests Protocol Data [Throughput %],0.86
forward,2,NVLink TX Requests User Data [Throughput %],2.23
forward,2,NVLink TX Responses Protocol Data [Throughput %],0.29
forward,2,NVLink TX Responses User Data [Throughput %],1.77
forward,3,GR Active [Throughput %],98.36
