gpu,idle_s,gaps_over_1ms,max_gap_ms,idle_pct
0,0.775,7,444.01,3.43
1,0.333,6,3.099,1.48
2,0.789,5,447.066,3.49
3,0.354,8,5.47,1.57
4,0.347,7,3.867,1.54
5,0.346,8,5.44,1.54
6,0.341,5,5.538,1.51
7,0.353,5,5.834,1.57
