gpu,category,kernels,summed_gpu_s,max_ms,median_us
6,nonzero_cub,21294,0.035,0.006,1.7
6,other,3866,0.029,0.085,5.6
6,cross_entropy,8,0.006,0.758,757.1
6,optimizer,52,0.003,0.084,74.1
7,gemm,21517,4.93,7.488,75.8
7,cat_copy,30946,4.121,8.287,3.6
7,hybridep_sync,900,4.053,212.337,271.5
7,dsa_backward,312,3.725,52.797,529.0
7,fp32_simt_head,16,1.853,117.127,115882.9
7,elementwise,52522,1.309,0.966,2.0
7,dsa_forward,156,1.25,9.254,7969.4
7,dsa_indexer,798,1.179,2.726,1381.1
7,nccl,435,0.976,204.352,945.0
7,hybridep_combine,225,0.865,4.377,3871.6
7,hybridep_dispatch,225,0.812,4.197,3679.0
7,moe_permute,450,0.747,3.625,1624.1
7,norm,1251,0.305,0.972,44.9
7,topk_router,458,0.141,0.594,436.6
7,cub_scan_sort,11198,0.101,2.044,1.5
7,hybridep_meta,750,0.074,0.542,1.7
7,nonzero_cub,21294,0.037,0.006,1.7
7,other,3866,0.03,0.084,5.7
7,cross_entropy,8,0.006,0.758,756.9
7,optimizer,52,0.003,0.082,74.5
