k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
73,9.717,9.815,1.01,3,9.596,9.796,9.691,9.815,9.72,9.692,9.72,9.704
74,9.694,9.753,1.006,6,9.467,9.73,9.705,9.742,9.714,9.707,9.753,9.734
75,9.838,10.328,1.05,6,9.473,9.714,9.702,9.716,10.28,9.706,10.328,9.784
76,9.724,9.851,1.013,6,9.473,9.721,9.745,9.756,9.767,9.721,9.851,9.76
77,9.878,10.571,1.07,6,9.503,9.72,9.698,9.956,9.723,9.721,10.571,10.13
78,9.696,9.739,1.004,7,9.473,9.728,9.701,9.73,9.733,9.731,9.736,9.739
79,9.695,9.756,1.006,7,9.473,9.742,9.701,9.716,9.722,9.715,9.734,9.756
80,9.695,9.799,1.011,6,9.467,9.715,9.703,9.716,9.717,9.711,9.799,9.729
81,9.686,9.754,1.007,6,9.468,9.715,9.69,9.722,9.705,9.712,9.754,9.726
82,9.673,9.718,1.005,4,9.466,9.707,9.685,9.696,9.718,9.69,9.715,9.709
83,9.669,9.713,1.005,6,9.463,9.698,9.684,9.701,9.701,9.69,9.713,9.704
84,9.672,9.715,1.004,6,9.46,9.701,9.68,9.71,9.71,9.695,9.715,9.706
85,9.671,9.716,1.005,7,9.461,9.713,9.682,9.702,9.693,9.696,9.707,9.716
86,9.66,9.697,1.004,1,9.458,9.697,9.684,9.691,9.695,9.685,9.691,9.682
87,9.663,9.708,1.005,5,9.455,9.69,9.682,9.696,9.688,9.708,9.695,9.689
88,9.662,9.703,1.004,4,9.459,9.698,9.679,9.691,9.703,9.69,9.688,9.691
89,9.666,9.729,1.007,4,9.458,9.693,9.675,9.696,9.729,9.689,9.694,9.691
90,9.69,9.743,1.005,1,9.486,9.743,9.703,9.717,9.715,9.711,9.729,9.714
91,9.685,9.726,1.004,1,9.486,9.726,9.701,9.721,9.716,9.709,9.714,9.708
92,9.687,9.725,1.004,1,9.518,9.725,9.703,9.719,9.704,9.7,9.714,9.709
93,9.685,9.738,1.006,1,9.49,9.738,9.701,9.713,9.711,9.695,9.712,9.717
94,9.679,9.779,1.01,1,9.459,9.779,9.684,9.696,9.702,9.692,9.705,9.712
95,9.671,9.724,1.005,7,9.459,9.697,9.679,9.693,9.716,9.696,9.702,9.724
96,9.667,9.71,1.004,7,9.462,9.7,9.681,9.691,9.7,9.688,9.707,9.71
97,9.667,9.718,1.005,7,9.46,9.696,9.674,9.69,9.699,9.69,9.709,9.718
98,9.669,9.711,1.004,1,9.46,9.711,9.679,9.695,9.691,9.705,9.707,9.703
99,9.677,9.739,1.006,2,9.464,9.715,9.739,9.696,9.701,9.699,9.706,9.695
100,9.668,9.711,1.004,7,9.467,9.704,9.687,9.692,9.685,9.692,9.706,9.711
101,9.669,9.708,1.004,6,9.464,9.704,9.683,9.699,9.689,9.695,9.708,9.705
102,9.685,9.778,1.01,6,9.467,9.71,9.688,9.719,9.712,9.704,9.778,9.705
103,9.68,9.726,1.005,6,9.47,9.714,9.69,9.714,9.713,9.706,9.726,9.704
104,9.683,9.723,1.004,3,9.477,9.72,9.693,9.723,9.714,9.708,9.714,9.712
105,9.676,9.72,1.004,7,9.47,9.715,9.689,9.706,9.703,9.699,9.709,9.72
106,9.671,9.722,1.005,6,9.491,9.704,9.678,9.697,9.692,9.684,9.722,9.702
107,9.671,9.729,1.006,1,9.457,9.729,9.677,9.687,9.699,9.694,9.714,9.714
108,9.666,9.718,1.005,1,9.455,9.718,9.675,9.716,9.685,9.686,9.701,9.693
109,9.664,9.708,1.005,6,9.458,9.697,9.683,9.7,9.689,9.687,9.708,9.694
110,9.741,9.82,1.008,6,9.519,9.776,9.739,9.77,9.758,9.775,9.82,9.771
111,9.747,9.84,1.01,7,9.522,9.765,9.746,9.768,9.78,9.769,9.786,9.84
112,9.755,9.829,1.008,7,9.562,9.769,9.752,9.77,9.774,9.792,9.795,9.829
113,9.74,9.823,1.008,6,9.527,9.766,9.745,9.765,9.753,9.767,9.823,9.777
114,9.749,9.9,1.016,7,9.493,9.736,9.723,9.766,9.793,9.758,9.819,9.9
115,9.763,9.867,1.011,7,9.502,9.791,9.732,9.816,9.809,9.765,9.819,9.867
116,9.753,9.859,1.011,7,9.498,9.75,9.737,9.809,9.81,9.761,9.803,9.859
117,9.76,9.847,1.009,7,9.533,9.757,9.737,9.788,9.808,9.765,9.842,9.847
118,9.711,9.815,1.011,2,9.469,9.722,9.815,9.728,9.732,9.72,9.752,9.748
119,9.705,9.767,1.006,7,9.468,9.755,9.697,9.734,9.747,9.713,9.761,9.767
120,9.706,9.787,1.008,7,9.469,9.721,9.695,9.744,9.721,9.752,9.761,9.787
121,9.694,9.783,1.009,6,9.474,9.725,9.699,9.738,9.721,9.708,9.783,9.706
122,9.68,9.752,1.007,5,9.459,9.702,9.689,9.708,9.705,9.752,9.715,9.71
123,9.67,9.728,1.006,6,9.453,9.703,9.691,9.696,9.694,9.701,9.728,9.69
124,9.672,9.718,1.005,6,9.476,9.701,9.682,9.692,9.7,9.699,9.718,9.705
125,9.666,9.71,1.005,6,9.456,9.705,9.681,9.7,9.684,9.688,9.71,9.704
126,9.687,9.732,1.005,3,9.459,9.725,9.725,9.732,9.717,9.71,9.717,9.712
127,9.691,9.788,1.01,3,9.462,9.719,9.696,9.788,9.72,9.709,9.717,9.714
128,9.687,9.785,1.01,3,9.467,9.709,9.696,9.785,9.712,9.702,9.708,9.715
129,9.694,9.795,1.01,6,9.465,9.71,9.698,9.73,9.717,9.725,9.795,9.714
130,9.779,9.948,1.017,7,9.509,9.767,9.746,9.792,9.841,9.811,9.816,9.948
131,9.782,9.891,1.011,7,9.51,9.798,9.793,9.788,9.843,9.807,9.827,9.891
132,9.782,9.886,1.011,6,9.512,9.786,9.749,9.79,9.856,9.807,9.886,9.871
133,9.778,9.933,1.016,7,9.512,9.772,9.761,9.791,9.81,9.814,9.829,9.933
134,9.663,9.706,1.004,7,9.451,9.697,9.684,9.692,9.682,9.692,9.702,9.706
135,9.671,9.711,1.004,3,9.489,9.694,9.683,9.711,9.686,9.691,9.71,9.702
136,9.663,9.711,1.005,7,9.453,9.688,9.678,9.696,9.694,9.693,9.694,9.711
137,9.671,9.721,1.005,6,9.486,9.712,9.676,9.693,9.687,9.689,9.721,9.708
138,9.678,9.768,1.009,3,9.454,9.704,9.687,9.768,9.702,9.694,9.708,9.711
