k,mean_ms,max_ms,max_over_mean,heaviest_gpu,gpu0_ms,gpu1_ms,gpu2_ms,gpu3_ms,gpu4_ms,gpu5_ms,gpu6_ms,gpu7_ms
136,6.216,6.976,1.122,0,6.976,6.587,5.646,6.65,5.828,5.293,6.146,6.606
137,6.11,6.653,1.089,3,6.109,6.342,5.751,6.653,6.277,5.779,5.661,6.304
138,6.012,6.685,1.112,1,6.138,6.685,5.579,6.335,6.097,5.444,5.66,6.156
139,6.272,7.083,1.129,7,6.722,6.506,5.844,6.484,6.286,5.494,5.758,7.083
140,6.539,7.491,1.146,1,6.791,7.491,6.656,6.11,5.521,6.672,5.946,7.126
141,6.063,6.533,1.078,3,6.382,5.992,6.094,6.533,5.599,5.867,5.913,6.123
142,6.097,6.813,1.117,3,6.441,6.292,5.641,6.813,5.377,5.98,5.797,6.435
143,5.973,6.441,1.078,7,6.296,6.216,5.59,6.316,5.767,5.493,5.667,6.441
144,6.24,6.966,1.116,0,6.966,6.537,5.797,6.573,5.849,5.538,6.005,6.656
145,6.879,7.774,1.13,1,7.414,7.774,6.617,7.624,5.675,6.294,6.534,7.102
146,5.796,6.127,1.057,1,6.111,6.127,5.648,6.126,5.303,5.527,5.622,5.907
147,6.546,7.275,1.111,3,6.978,6.861,6.045,7.275,6.018,6.023,6.396,6.774
148,5.729,6.335,1.106,1,6.18,6.335,5.495,6.055,5.276,5.103,5.374,6.014
149,6.104,6.554,1.074,1,6.271,6.554,5.915,6.012,5.769,6.3,5.915,6.091
